model,horizon,fipsCode,rmse,mae,n
C1_component_osi,osi_target_t01h,39169,0.010315991719693145,0.005126963294412834,143
C1_component_osi,osi_target_t01h,39171,0.012395283630184545,0.007190067575000048,143
C1_component_osi,osi_target_t01h,39173,0.007578681154378943,0.00551825679366152,143
C1_component_osi,osi_target_t01h,39175,0.0026301513739235374,0.0016964099050487769,143
C1_component_osi,osi_target_t01h,42005,0.016547519498017794,0.009899240787730027,143
C1_component_osi,osi_target_t01h,42007,0.008763377167201453,0.005453926747653568,143
C1_component_osi,osi_target_t01h,42009,0.007524608927699563,0.005147969269281734,143
C1_component_osi,osi_target_t01h,42013,0.0015436849750343903,0.000828290629884293,143
C1_component_osi,osi_target_t01h,42015,0.00408968843948673,0.0025780580669178413,143
C1_component_osi,osi_target_t01h,42019,0.004053619983469051,0.0026014185477615153,143
C1_component_osi,osi_target_t01h,42021,0.015396177026749678,0.0063286087557829634,143
C1_component_osi,osi_target_t01h,42023,0.009072435576306445,0.0036479231681198917,143
C1_component_osi,osi_target_t01h,42025,0.0009781108002154667,0.00047924033940003734,143
C1_component_osi,osi_target_t01h,42027,0.001415309215583353,0.0009459630151684729,143
C1_component_osi,osi_target_t01h,42029,0.010644265632012437,0.004911612891780735,143
C1_component_osi,osi_target_t01h,42031,0.01233006361799129,0.007344451481839617,143
C1_component_osi,osi_target_t01h,42033,0.005802723852300034,0.004181854350887519,143
C1_component_osi,osi_target_t01h,42035,0.005059974363776112,0.002921015043118714,143
C1_component_osi,osi_target_t01h,42039,0.014560746563794419,0.007488303534405783,143
C1_component_osi,osi_target_t01h,42041,0.002964427285115629,0.0014646077430917504,143
C1_component_osi,osi_target_t01h,42043,0.0014881362642442117,0.0010023470480819074,143
C1_component_osi,osi_target_t01h,42045,0.001839899557345773,0.0007955759596029585,143
C1_component_osi,osi_target_t01h,42047,0.01351996374468231,0.004782964872494026,143
C1_component_osi,osi_target_t01h,42049,0.009113998113435875,0.004951696228574524,143
C1_component_osi,osi_target_t01h,42051,0.003431047746560174,0.002182076745442191,143
C1_component_osi,osi_target_t01h,42053,0.09603927920283496,0.0352095684967838,143
C1_component_osi,osi_target_t01h,42055,0.0010662456140037983,0.0005416349270016021,143
C1_component_osi,osi_target_t01h,42057,0.003772881703139418,0.0022689587959354904,143
C1_component_osi,osi_target_t01h,42059,0.011712636366578957,0.0059732136054601575,143
C1_component_osi,osi_target_t01h,42061,0.0021162740206384385,0.0012944515943889145,143
C1_component_osi,osi_target_t01h,42063,0.008325125354412198,0.004977966124008963,143
C1_component_osi,osi_target_t01h,42065,0.011049390484583239,0.0050006585945029415,143
C1_component_osi,osi_target_t01h,42067,0.0023911458608268576,0.00119641149646325,143
C1_component_osi,osi_target_t01h,42069,0.0020003990104513225,0.0008981554815468477,143
C1_component_osi,osi_target_t01h,42075,0.006411154859694175,0.0024523473439034523,143
C1_component_osi,osi_target_t01h,42077,0.003414549340699154,0.0016051757273225673,143
C1_component_osi,osi_target_t01h,42079,0.0010598065961714602,0.0005240871893953212,143
C1_component_osi,osi_target_t01h,42081,0.0027039933449368057,0.0014027183008266395,143
C1_component_osi,osi_target_t01h,42083,0.0036139258454276095,0.0026412554591951367,143
C1_component_osi,osi_target_t01h,42085,0.005635044477264946,0.0036539458452147107,143
C1_component_osi,osi_target_t01h,42089,0.00545502569186089,0.0025070227107819756,143
C1_component_osi,osi_target_t01h,42091,0.003666895075864508,0.0016842778190112504,143
C1_component_osi,osi_target_t01h,42095,0.0032501991113331346,0.0017312712499808344,143
C1_component_osi,osi_target_t01h,42097,0.0027143727436560834,0.0011987393879888816,143
C1_component_osi,osi_target_t01h,42101,0.004639470467049555,0.002357208790072472,143
C1_component_osi,osi_target_t01h,42103,0.0031556632107279598,0.0017014881351273565,143
C1_component_osi,osi_target_t01h,42109,0.006335851743264589,0.001527239626701769,143
C1_component_osi,osi_target_t01h,42113,0.00497304114649362,0.003681991067382405,143
C1_component_osi,osi_target_t01h,42115,0.004462204605069413,0.0021675179896591787,143
C1_component_osi,osi_target_t01h,42119,0.0028871364783244233,0.0014213253810367778,143
C1_component_osi,osi_target_t01h,42121,0.022292176339791775,0.008866104371198264,143
C1_component_osi,osi_target_t01h,42125,0.017813489992050666,0.009193249422990253,143
C1_component_osi,osi_target_t01h,42127,0.0020539630547377614,0.0012736880183905296,143
C1_component_osi,osi_target_t01h,42129,0.005039059516349819,0.0027298108612129894,143
C1_component_osi,osi_target_t01h,42131,0.015900126690363652,0.0035649445008971363,143
C1_component_osi,osi_target_t01h,42133,0.002692403341374764,0.0010810230692663366,143
C1_component_osi,osi_target_t01h,54007,0.025029664572998798,0.013034324598035746,143
C1_component_osi,osi_target_t01h,54009,0.023442435879939705,0.01144322608930049,143
C1_component_osi,osi_target_t01h,54013,0.04522640655005281,0.022562782103482868,143
C1_component_osi,osi_target_t01h,54015,0.0515668844619054,0.026919482619336164,143
C1_component_osi,osi_target_t01h,54019,0.0054665447064737045,0.0025874910787451614,143
C1_component_osi,osi_target_t01h,54023,0.0022237844334574474,0.0016098884528422926,143
C1_component_osi,osi_target_t01h,54025,0.002014991797718633,0.001054084911731043,143
C1_component_osi,osi_target_t01h,54027,0.002295543294910493,0.0014369814218564594,143
C1_component_osi,osi_target_t01h,54029,0.01363454665519857,0.006868947582085214,143
