horizon,model,fold,n,baseline_rmse,baseline_mae,baseline_sse,baseline_bias,candidate_rmse,candidate_mae,candidate_sse,candidate_bias,rmse_delta,rmse_change_pct,sse_reduction,changed_predictions
osi_target_t48h,C2_equal_blend,0,4608,0.0036392904166209178,0.0015829419166334278,0.0610303552658328,0.0004354946096411628,0.0036392904166209178,0.0015829419166334278,0.0610303552658328,0.0004354946096411628,0.0,0.0,0.0,0
osi_target_t48h,C2_equal_blend,1,4512,0.0058832227184225806,0.001992845249818843,0.15617074071019088,-0.0002519274228604039,0.0058832227184225806,0.001992845249818843,0.15617074071019088,-0.0002519274228604039,0.0,0.0,0.0,0
osi_target_t48h,C2_equal_blend,2,4608,0.01306425472325888,0.0032728128459627356,0.7864692547930765,-0.0012454042803612887,0.01306425472325888,0.0032728128459627356,0.7864692547930765,-0.0012454042803612887,0.0,0.0,0.0,0
osi_target_t48h,C2_equal_blend,3,4608,0.005354711862712802,0.002145526600464257,0.13212490352337658,0.00047140149482353656,0.005354711862712802,0.002145526600464257,0.13212490352337658,0.00047140149482353656,0.0,0.0,0.0,0
osi_target_t48h,C2_equal_blend,4,4608,0.006993325282212045,0.0021272052029876498,0.22536160590102303,-0.00025617965780373026,0.006993325282212045,0.0021272052029876498,0.22536160590102303,-0.00025617965780373026,0.0,0.0,0.0,0
osi_target_t48h,C3_aligned_component,0,4608,0.0035596060603751136,0.0015335695484256253,0.05838702476571296,0.0004032458255279022,0.0035596060603751136,0.0015335695484256253,0.05838702476571296,0.0004032458255279022,0.0,0.0,0.0,0
osi_target_t48h,C3_aligned_component,1,4512,0.005611576820732769,0.0019905927502216385,0.14208195240041366,-0.0002198486001562486,0.005611576820732769,0.0019905927502216385,0.14208195240041366,-0.0002198486001562486,0.0,0.0,0.0,0
osi_target_t48h,C3_aligned_component,2,4608,0.013500463938315648,0.003300934617074284,0.8398657223412999,-0.0013298262698539856,0.013500463938315648,0.003300934617074284,0.8398657223412999,-0.0013298262698539856,0.0,0.0,0.0,0
osi_target_t48h,C3_aligned_component,3,4608,0.005264419633654127,0.0022293009356493688,0.12770663767696763,0.0007569943102912262,0.005264419633654127,0.0022293009356493688,0.12770663767696763,0.0007569943102912262,0.0,0.0,0.0,0
osi_target_t48h,C3_aligned_component,4,4608,0.006689026511913473,0.0020238973615005363,0.20617609271999077,-0.0002647210278503945,0.006689026511913473,0.0020238973615005363,0.20617609271999077,-0.0002647210278503945,0.0,0.0,0.0,0
osi_target_t48h,v18_rule,0,4608,0.0036632306388987446,0.0015956445257807718,0.06183594415303605,0.0004560453424232713,0.0036632306388987446,0.0015956445257807718,0.06183594415303605,0.0004560453424232713,0.0,0.0,0.0,0
osi_target_t48h,v18_rule,1,4512,0.005855181393125153,0.0019970723373512436,0.15468556894855234,-0.00027187300705922685,0.005855181393125153,0.0019970723373512436,0.15468556894855234,-0.00027187300705922685,0.0,0.0,0.0,0
osi_target_t48h,v18_rule,2,4608,0.013066410316828946,0.0032591786642496433,0.7867288100401179,-0.001280845725181886,0.013066410316828946,0.0032591786642496433,0.7867288100401179,-0.001280845725181886,0.0,0.0,0.0,0
osi_target_t48h,v18_rule,3,4608,0.0053724652793763,0.002168728024357481,0.13300246968470258,0.0005056889175742389,0.0053724652793763,0.002168728024357481,0.13300246968470258,0.0005056889175742389,0.0,0.0,0.0,0
osi_target_t48h,v18_rule,4,4608,0.006925166870368426,0.0021494377477357354,0.22099016992872228,-0.00019436995091425306,0.006925166870368426,0.0021494377477357354,0.22099016992872228,-0.00019436995091425306,0.0,0.0,0.0,0
