config,horizon,rank,feature,importance
RF,osi_target_t48h,131,is_metro,0.00039942597467434803
RF,osi_target_t48h,132,gust_exceed_30,0.00038516221763301993
RF,osi_target_t48h,133,storm_phase,0.0002905630416353882
RF,osi_target_t48h,134,tp_rate_next_6h,0.00024580613312710715
RF,osi_target_t48h,135,gust_x_phase,0.0002343919946462993
RF,osi_target_t48h,136,total_tp_next_6h,0.00018452386619562423
RF,osi_target_t48h,137,days_since_onset,0.0001381980382549088
RF,osi_target_t48h,138,is_worsening,0.00013216070193137233
RF,osi_target_t48h,139,total_tp_next_1h,0.00012867398815602187
RF,osi_target_t48h,140,tp_t,9.722239310912579e-05
RF,osi_target_t48h,141,gust_gt40_next_6h,9.55323938920772e-05
RF,osi_target_t48h,142,sdwe_t,8.782470552770984e-05
RF,osi_target_t48h,143,gust_gt30_next_1h,8.562948208967722e-05
RF,osi_target_t48h,144,rain_t,6.268137723633915e-05
RF,osi_target_t48h,145,tp_at_t1h,2.6343237739336987e-05
RF,osi_target_t48h,146,tp_rate_next_1h,1.8391094762511325e-05
RF,osi_target_t48h,147,csnow_t,1.2649071742298492e-05
RF,osi_target_t48h,148,gust_gt40_next_1h,1.2379653878760258e-05
RF,osi_target_t48h,149,gust_gt30_frac_next_1h,5.5213811325934736e-06
RF,osi_target_t48h,150,is_snowing,1.9673788420626967e-06
RF,osi_target_t48h,151,icing_risk_t,1.0262036521879066e-07
RF,osi_target_t48h,152,window_len_next_1h,0.0
RF,osi_target_t48h,153,window_len_next_6h,0.0
RF,osi_target_t48h,154,is_full_next_6h,0.0
RF,osi_target_t48h,155,window_len_next_24h,0.0
RF,osi_target_t48h,156,has_weather_at_t6h,0.0
RF,osi_target_t48h,157,is_full_next_24h,0.0
RF,osi_target_t48h,158,has_weather_at_t24h,0.0
RF,osi_target_t48h,159,has_weather_at_t1h,0.0
RF,osi_target_t48h,160,is_full_next_1h,0.0
RF,osi_target_t48h,161,is_full_next_48h,0.0
RF,osi_target_t48h,162,window_len_next_48h,0.0
RF,osi_target_t48h,163,has_weather_at_t48h,0.0
