horizon,model,rmse,mae,n,fipsCode
osi_target_t24h,v1.8_rule,0.00652426064935717,0.004092412553080721,120,39035
osi_target_t24h,v1.12,0.006120153240558258,0.0038050695872490926,120,39035
osi_target_t24h,RF,0.005800131623777898,0.0034884598033553104,120,39035
osi_target_t24h,v1.8_rule,0.0010810651589514978,0.0004793888611729653,120,39037
osi_target_t24h,v1.12,0.0012350764631969603,0.0005920690359854357,120,39037
osi_target_t24h,RF,0.0015857100763659578,0.0009637425369889683,120,39037
osi_target_t24h,v1.8_rule,0.004770764221155596,0.003058860911184977,120,39039
osi_target_t24h,v1.12,0.004913980289912956,0.0022903047074182403,120,39039
osi_target_t24h,RF,0.004882743706136141,0.00224559960606064,120,39039
osi_target_t24h,v1.8_rule,0.002602617391750381,0.0015358358102042656,120,39045
osi_target_t24h,v1.12,0.0027041738112550803,0.0015809238483662392,120,39045
osi_target_t24h,RF,0.003368535524260167,0.0020492433136433483,120,39045
osi_target_t24h,v1.8_rule,0.002532141211398122,0.002324185799634512,120,39049
osi_target_t24h,v1.12,0.0015742583953072102,0.0009883403268300464,120,39049
osi_target_t24h,RF,0.0021012420152750704,0.0013516445886397378,120,39049
osi_target_t24h,v1.8_rule,0.0025007734891772564,0.0014602537121687896,120,39051
osi_target_t24h,v1.12,0.0020606721417666934,0.0011122148039824818,120,39051
osi_target_t24h,RF,0.0022137411111525264,0.00126700761130786,120,39051
osi_target_t24h,v1.8_rule,0.003073329698155368,0.001321407004193235,120,39053
osi_target_t24h,v1.12,0.0030556848898034275,0.0012155895917255557,120,39053
osi_target_t24h,RF,0.0029319729088318914,0.0012020184528038793,120,39053
osi_target_t24h,v1.8_rule,0.0035365757477270445,0.002181415419458189,120,39055
osi_target_t24h,v1.12,0.0037041475976479395,0.0022708617399892863,120,39055
osi_target_t24h,RF,0.0047324300741303695,0.0028025004293720226,120,39055
osi_target_t24h,v1.8_rule,0.012760050469366787,0.007029233848055207,120,39059
osi_target_t24h,v1.12,0.012702342842446677,0.006440149976912818,120,39059
osi_target_t24h,RF,0.013283847160666572,0.006502997074278847,120,39059
osi_target_t24h,v1.8_rule,0.0020570808476013547,0.0009656306290663498,120,39061
osi_target_t24h,v1.12,0.0017630606489031375,0.0008456805049386095,120,39061
osi_target_t24h,RF,0.0015549763542087535,0.0007424128666444317,120,39061
osi_target_t24h,v1.8_rule,0.002442921249433166,0.0012860144586611666,120,39063
osi_target_t24h,v1.12,0.0016961575850080184,0.0008038301874786652,120,39063
osi_target_t24h,RF,0.003038774726639643,0.0016062723298678199,120,39063
osi_target_t24h,v1.8_rule,0.0017132034266273783,0.0010339945171609964,120,39065
osi_target_t24h,v1.12,0.0015827560415087125,0.0009692423120178469,120,39065
osi_target_t24h,RF,0.0018167253080043277,0.0011136193825107994,120,39065
osi_target_t24h,v1.8_rule,0.0029833092080821075,0.0012155750742356955,120,39069
osi_target_t24h,v1.12,0.003038127109539465,0.0012846368466675083,120,39069
osi_target_t24h,RF,0.0026577067856410276,0.0012745559420909195,120,39069
osi_target_t24h,v1.8_rule,0.003955580544544689,0.0027872864068324366,120,39073
osi_target_t24h,v1.12,0.0029451981223145582,0.0020581965702901133,120,39073
osi_target_t24h,RF,0.0032759669301943273,0.0022877496400236117,120,39073
osi_target_t24h,v1.8_rule,0.014603395254890798,0.0072603691227780464,120,39075
osi_target_t24h,v1.12,0.014501461954065507,0.006657722103440178,120,39075
osi_target_t24h,RF,0.00853589847603429,0.005065820420345792,120,39075
osi_target_t24h,v1.8_rule,0.002084097426041881,0.0018664496065207814,120,39077
osi_target_t24h,v1.12,0.0024388962171326732,0.0015255652520456667,120,39077
osi_target_t24h,RF,0.0037864387429065193,0.0022086607768475293,120,39077
osi_target_t24h,v1.8_rule,0.007285596270872644,0.003511803913795346,120,39081
osi_target_t24h,v1.12,0.007262271124978694,0.003637161296773227,120,39081
osi_target_t24h,RF,0.007904130582698194,0.0038933096130481224,120,39081
osi_target_t24h,v1.8_rule,0.0026632594771424448,0.0014629298978211997,120,39085
osi_target_t24h,v1.12,0.002111030177831482,0.0011824620855599827,120,39085
osi_target_t24h,RF,0.0028145056414436266,0.001412710838408166,120,39085
osi_target_t24h,v1.8_rule,0.0037727997219997476,0.00139058784554017,120,39087
osi_target_t24h,v1.12,0.0039196905862838695,0.0013883865108972702,120,39087
osi_target_t24h,RF,0.004045391466777846,0.001667015460337569,120,39087
osi_target_t24h,v1.8_rule,0.010346879134151946,0.005600325645186617,120,39089
osi_target_t24h,v1.12,0.007888079886977992,0.003787330323677563,120,39089
osi_target_t24h,RF,0.005726334799563294,0.0027692138138947146,120,39089
osi_target_t24h,v1.8_rule,0.009968612838388067,0.006444047830545648,120,39091
osi_target_t24h,v1.12,0.010392864669063561,0.007025337342995786,120,39091
osi_target_t24h,RF,0.011203569036740585,0.007882673763038162,120,39091
osi_target_t24h,v1.8_rule,0.0016454550935449902,0.000968523792635805,120,39093
osi_target_t24h,v1.12,0.0014892108890226972,0.0009137795428451107,120,39093
osi_target_t24h,RF,0.0011055273321448017,0.0006253450415275835,120,39093
osi_target_t24h,v1.8_rule,0.001697552914257878,0.001569975230180857,120,39095
osi_target_t24h,v1.12,0.00125984610108397,0.0006985415438681389,120,39095
osi_target_t24h,RF,0.001024856289267976,0.0005707647928103646,120,39095
osi_target_t24h,v1.8_rule,0.0028337618230161433,0.0013344544935107278,120,39097
osi_target_t24h,v1.12,0.0023147497272587247,0.001020215724353262,120,39097
osi_target_t24h,RF,0.0022186482337411034,0.0010015769253626722,120,39097
osi_target_t24h,v1.8_rule,0.0010160110650726361,0.0005629972562479764,120,39099
osi_target_t24h,v1.12,0.0009613237652012331,0.0005156762532467965,120,39099
osi_target_t24h,RF,0.0010721682332205044,0.0006216273817063247,120,39099
osi_target_t24h,v1.8_rule,0.006558745565977927,0.004803522039358214,120,39101
osi_target_t24h,v1.12,0.007114314040069992,0.005030612319324287,120,39101
osi_target_t24h,RF,0.007612328829679782,0.00611001459848445,120,39101
osi_target_t24h,v1.8_rule,0.004215739775125428,0.0030979047447962675,120,39103
osi_target_t24h,v1.12,0.004041090237642508,0.0025213464189176213,120,39103
osi_target_t24h,RF,0.005272605126414409,0.004556647664418796,120,39103
osi_target_t24h,v1.8_rule,0.0039340885598163995,0.002722070603090976,120,39105
osi_target_t24h,v1.12,0.00367593450844849,0.0016201220089106206,120,39105
osi_target_t24h,RF,0.0034777622371546723,0.0015356941547592037,120,39105
osi_target_t24h,v1.8_rule,0.008692182497832992,0.006006219874083783,120,39107
osi_target_t24h,v1.12,0.009279716882538876,0.006287867625313728,120,39107
osi_target_t24h,RF,0.0088715933770083,0.006728941336860022,120,39107
osi_target_t24h,v1.8_rule,0.0019742772654011823,0.0018530112440488908,120,39109
osi_target_t24h,v1.12,0.0017188073932516068,0.0010407642213886281,120,39109
osi_target_t24h,RF,0.0018900448912005424,0.001074699613480672,120,39109
osi_target_t24h,v1.8_rule,0.008560002327004474,0.0047187758947960495,120,39111
osi_target_t24h,v1.12,0.008481771697391949,0.004651718564282803,120,39111
osi_target_t24h,RF,0.009120382739557271,0.005003847425832577,120,39111
osi_target_t24h,v1.8_rule,0.0015601601087304297,0.0007829688942253659,120,39113
osi_target_t24h,v1.12,0.00137474769620708,0.0006656386710645075,120,39113
osi_target_t24h,RF,0.0009671493658089067,0.0004986084660849029,120,39113
osi_target_t24h,v1.8_rule,0.03449805925365227,0.0071821439452149655,120,39115
