case,reference,pair,horizon,fold,n,rmse,sse,mae,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
R_only,B0,R_only_minus_B0,6,0,6624,0.006390577988673027,0.27052076208216397,0.002555031403788563,0.0001473490510851791,0.006388329605056966,2.2483836160606258e-06,0.035195172369961725,-0.00019032001594349035
R_only,B0,R_only_minus_B0,6,1,6486,0.009176495738422039,0.5461735682057841,0.0031613495659727803,-0.00044844055063179465,0.009175530588236936,9.651501851025424e-07,0.010518739770093433,-0.00011488302597773004
R_only,B0,R_only_minus_B0,6,2,6624,0.01254190462504009,1.0419510376347396,0.0037702308609042948,-0.0007430713445609853,0.012539288368735009,2.616256305081749e-06,0.02086447195523977,-0.0004346591253423515
R_only,B0,R_only_minus_B0,6,3,6624,0.012031788735113702,0.9589163396622931,0.0032423242945720217,0.00045892606011910817,0.012031875504081455,-8.676896775215714e-08,-0.000721159122052395,1.3830774925449596e-05
R_only,B0,R_only_minus_B0,6,4,6624,0.007981931657112907,0.4220232072517115,0.002783202320228009,4.631395910726792e-05,0.007978413080888645,3.5185762242619795e-06,0.04410120394355843,-0.00037198853542119714
NR_both,B0,NR_both_minus_B0,6,0,6624,0.0063838251459815585,0.26994935242734586,0.0025497475690071333,0.00014391071654924775,0.006388329605056966,-4.504459075407689e-06,-0.07051074934897317,0.000381089638874621
NR_both,B0,NR_both_minus_B0,6,1,6486,0.00917459220232112,0.5459469995236903,0.003152775101102703,-0.0004575833611937798,0.009175530588236936,-9.383859158156038e-07,-0.010227047981492543,0.00011168565611607839
NR_both,B0,NR_both_minus_B0,6,2,6624,0.0125466001182631,1.04273136407082,0.003763930059195923,-0.0007542607396579051,0.012539288368735009,7.311749528091799e-06,0.058310721574295066,-0.0012149855614227434
NR_both,B0,NR_both_minus_B0,6,3,6624,0.012018971703409927,0.9568744296680092,0.003234053886172148,0.0004488222102120912,0.012031875504081455,-1.2903800671527216e-05,-0.10724679346250099,0.0020557407692093355
NR_both,B0,NR_both_minus_B0,6,4,6624,0.007983989756876473,0.42224086830870566,0.002782670408216563,4.5528784188010706e-05,0.007978413080888645,5.5766759878284056e-06,0.0698970576139546,-0.0005896495924153644
NR_both,N_only,NR_both_minus_N_only,6,0,6624,0.0063838251459815585,0.26994935242734586,0.0025497475690071333,0.00014391071654924775,0.006381545708401867,2.279437579691228e-06,0.03571920791369809,-0.0001927442646765809
NR_both,N_only,NR_both_minus_N_only,6,1,6486,0.00917459220232112,0.5459469995236903,0.003152775101102703,-0.0004575833611937798,0.009173692503990681,8.996983304389999e-07,0.009807373966896904,-0.00010707037636281669
NR_both,N_only,NR_both_minus_N_only,6,2,6624,0.0125466001182631,1.04273136407082,0.003763930059195923,-0.0007542607396579051,0.012544097619007986,2.502499255114393e-06,0.019949615597081305,-0.0004159173326832022
NR_both,N_only,NR_both_minus_N_only,6,3,6624,0.012018971703409927,0.9568744296680092,0.003234053886172148,0.0004488222102120912,0.012019065281509393,-9.357809946548834e-08,-0.000778580507498905,1.4900249596827564e-05
NR_both,N_only,NR_both_minus_N_only,6,4,6624,0.007983989756876473,0.42224086830870566,0.002782670408216563,4.5528784188010706e-05,0.007982726131215074,1.263625661399037e-06,0.015829500356501214,-0.00013364550554773036
NR_both,R_only,NR_both_minus_R_only,6,0,6624,0.0063838251459815585,0.26994935242734586,0.0025497475690071333,0.00014391071654924775,0.006390577988673027,-6.752842691468315e-06,-0.1056687314267557,0.0005714096548181113
NR_both,R_only,NR_both_minus_R_only,6,1,6486,0.00917459220232112,0.5459469995236903,0.003152775101102703,-0.0004575833611937798,0.009176495738422039,-1.9035361009181462e-06,-0.02074360578567802,0.00022656868209380843
NR_both,R_only,NR_both_minus_R_only,6,2,6624,0.0125466001182631,1.04273136407082,0.003763930059195923,-0.0007542607396579051,0.01254190462504009,4.69549322301005e-06,0.037438438286607756,-0.0007803264360803919
NR_both,R_only,NR_both_minus_R_only,6,3,6624,0.012018971703409927,0.9568744296680092,0.003234053886172148,0.0004488222102120912,0.012031788735113702,-1.2817031703775059e-05,-0.1065264025653101,0.002041909994283886
