case,horizon,space,group,n,rmse,mae,sse,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
NB_P48,osi_target_t01h,component_clipped,common_120_215,22944,0.012881572306251579,0.0036056003827212024,3.807210462182769,6.369194313091443e-05,0.012881572306251579,0.0,0.0,0.0
NB_P48,osi_target_t01h,aligned,full,34177,0.017512188340666222,0.0051184391078197035,10.481290959349618,1.6979287142452906e-05,0.01751543915129438,-3.2508106281581295e-06,-0.01855968668600383,0.003891672915344202
NB_P48,osi_target_t01h,aligned,common_120_215,22944,0.012318467561113993,0.0034518201343768386,3.4816290902359714,7.424101374324987e-05,0.012325350266945725,-6.8827058317313256e-06,-0.055841868041583975,0.003891672915344202
NB_P48,osi_target_t06h,component_clipped,full,32982,0.016247431187159732,0.005153770877592177,8.706556043625927,0.00015903789504835344,0.016247431187159732,0.0,0.0,0.0
NB_P48,osi_target_t06h,component_clipped,common_120_215,22944,0.012674554734460074,0.0036838837518163455,3.6858236845748165,0.0002390061932351375,0.012674554734460074,0.0,0.0,0.0
NB_P48,osi_target_t06h,aligned,full,32982,0.015704490003164644,0.0048778705355553,8.13438384845077,5.306382724439223e-05,0.01570824624527064,-3.7562421059955664e-06,-0.023912549162685703,0.003891672915344202
NB_P48,osi_target_t06h,aligned,common_120_215,22944,0.012318467561113993,0.0034518201343768386,3.4816290902359714,7.424101374324987e-05,0.012325350266945725,-6.8827058317313256e-06,-0.055841868041583975,0.003891672915344202
NB_P48,osi_target_t24h,component_clipped,full,28680,0.01363012843468114,0.0043960020609303575,5.328181904864508,6.563508394135092e-05,0.01363012843468114,0.0,0.0,0.0
NB_P48,osi_target_t24h,component_clipped,common_120_215,22944,0.012351184882079353,0.0035178119660870585,3.500147764792515,5.411725853369705e-05,0.012351184882079353,0.0,0.0,0.0
NB_P48,osi_target_t24h,aligned,full,28680,0.013421531124961021,0.004240056471631104,5.1663434351343716,9.247104805894367e-05,0.013426585219527803,-5.054094566782352e-06,-0.03764244209638612,0.003891672915343314
NB_P48,osi_target_t24h,aligned,common_120_215,22944,0.012318467561113993,0.0034518201343768386,3.4816290902359714,7.424101374324987e-05,0.012325350266945725,-6.8827058317313256e-06,-0.055841868041583975,0.003891672915344202
NB_P48,osi_target_t48h,component_clipped,full,22944,0.012332158259541832,0.003448931479646909,3.4893723296519243,-5.985133992674954e-05,0.01234645607437439,-1.4297814832558986e-05,-0.11580501114190067,0.008095796321168969
NB_P48,osi_target_t48h,component_clipped,common_120_215,22944,0.012332158259541832,0.003448931479646909,3.4893723296519243,-5.985133992674954e-05,0.01234645607437439,-1.4297814832558986e-05,-0.11580501114190067,0.008095796321168969
NB_P48,osi_target_t48h,aligned,full,22944,0.012318467561113993,0.0034518201343768386,3.4816290902359714,7.424101374324987e-05,0.012325350266945725,-6.8827058317313256e-06,-0.055841868041583975,0.003891672915344202
NB_P48,osi_target_t48h,aligned,common_120_215,22944,0.012318467561113993,0.0034518201343768386,3.4816290902359714,7.424101374324987e-05,0.012325350266945725,-6.8827058317313256e-06,-0.055841868041583975,0.003891672915344202
