case,horizon,start,end,common_target,n,rmse,mae,sse,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
NB_P24,osi_target_t06h,120,215,True,22944,0.0077211144981667885,0.0021926775801264483,1.3678205350481787,-0.0001324787250324035,0.007719715877085945,1.3986210808435498e-06,0.018117520166716083,-0.0004954956612079897
NB_P24,osi_target_t24h,73,76,False,0,,,0.0,,,,,0.0
NB_P24,osi_target_t24h,77,95,False,0,,,0.0,,,,,0.0
NB_P24,osi_target_t24h,96,143,False,11472,0.01049732196347063,0.004714383003225435,1.2641429111394398,7.567278103811038e-05,0.010616169485079483,-0.00011884752160885338,-1.119495329985909,0.02878653049678115
NB_P24,osi_target_t24h,144,215,False,17208,0.006716555924119287,0.001489977850262499,0.7762894208751911,-0.0002047383814821128,0.006713761658672963,2.794265446324183e-06,0.04161996788663025,-0.0006457796274808025
NB_P24,osi_target_t24h,120,215,True,22944,0.007738926264991934,0.00224086216662688,1.374138639039427,-0.00014268752310059383,0.007738976522688962,-5.02576970283497e-08,-0.0006494101239540306,1.784776473567895e-05
NB_P24,osi_target_t48h,73,76,False,0,,,0.0,,,,,0.0
NB_P24,osi_target_t48h,77,95,False,0,,,0.0,,,,,0.0
NB_P24,osi_target_t48h,96,143,False,5736,0.009851380342539039,0.00431227695207857,0.5566770485316992,-5.147371735132227e-05,0.009851380342539039,0.0,0.0,0.0
NB_P24,osi_target_t48h,144,215,False,17208,0.006820769116646474,0.0015425792030725142,0.8005659142234318,-0.00019162948224700884,0.006820769116646474,0.0,0.0,0.0
NB_P24,osi_target_t48h,120,215,True,22944,0.007691202257793633,0.0022350036403240283,1.357242962755131,-0.0001565905410230873,0.007691202257793633,0.0,0.0,0.0
NB_P48,osi_target_t01h,73,76,False,956,0.023564781526417063,0.00639516555292622,0.5308657755387052,-0.00042991651861295414,0.023564781526417063,0.0,0.0,0.0
NB_P48,osi_target_t01h,77,95,False,4541,0.01817013743080561,0.005990448524231025,1.4992288338090627,-0.0002877164727915715,0.01817013743080561,0.0,0.0,0.0
NB_P48,osi_target_t01h,96,143,False,11472,0.010182346088195437,0.004506357341283647,1.1894189315754986,0.00010463299334423611,0.01018711961213732,-4.773523941882518e-06,-0.04685842636219517,0.0011154699646429567
NB_P48,osi_target_t01h,144,215,False,17208,0.006838677978057795,0.0014842913620114963,0.8047754237181501,-0.00022008313350202043,0.006839871177132626,-1.1931990748312998e-06,-0.017444759468865367,0.0002808557636462261
NB_P48,osi_target_t01h,120,215,True,22944,0.007715773145491196,0.0021967616613616453,1.365928713658681,-0.00012998498995056727,0.007719715877085945,-3.942731594749026e-06,-0.05107353246577295,0.0013963257282896269
NB_P48,osi_target_t06h,73,76,False,0,,,0.0,,,,,0.0
NB_P48,osi_target_t06h,77,95,False,4302,0.017060083755936113,0.005875674318574152,1.2520818612816065,-0.00024383185006686368,0.017060083755936113,0.0,0.0,0.0
NB_P48,osi_target_t06h,96,143,False,11472,0.010182346088195437,0.004506357341283647,1.1894189315754986,0.00010463299334423611,0.01018711961213732,-4.773523941882518e-06,-0.04685842636219517,0.0011154699646429567
NB_P48,osi_target_t06h,144,215,False,17208,0.006838677978057795,0.0014842913620114963,0.8047754237181501,-0.00022008313350202043,0.006839871177132626,-1.1931990748312998e-06,-0.017444759468865367,0.0002808557636462261
NB_P48,osi_target_t06h,120,215,True,22944,0.007715773145491196,0.0021967616613616453,1.365928713658681,-0.00012998498995056727,0.007719715877085945,-3.942731594749026e-06,-0.05107353246577295,0.0013963257282896269
NB_P48,osi_target_t24h,73,76,False,0,,,0.0,,,,,0.0
NB_P48,osi_target_t24h,77,95,False,0,,,0.0,,,,,0.0
