cv_seed,pair,candidate,reference,horizon,severity,n,rmse,mae,sse,sae,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
20260917,I3_minus_I1,I3,I1,1,zero,14503,0.0020319039432410684,0.0005998331509109966,0.05987757360200343,8.699380187662184,0.0005998331509109966,0.0020319039432410684,0.0,0.0,0.0
20260917,I3_minus_I1,I3,I1,1,0_to_.01,16098,0.004379462591403576,0.0024657201551320164,0.3087546913058245,39.6931630573152,0.0015306337979950789,0.004379462591403576,0.0,0.0,0.0
20260917,I3_minus_I1,I3,I1,1,.01_to_.05,2628,0.01520912722926328,0.011179501973575699,0.6079025242275118,29.37973118655694,-0.005298476295003466,0.01520912722926328,0.0,0.0,0.0
20260917,I3_minus_I1,I3,I1,1,above_.05,948,0.058152119594827544,0.035541544886172595,3.205822224675827,33.69338455209162,-0.026401520079163496,0.058152119594827544,0.0,0.0,0.0
20260917,I3_minus_I1,I3,I1,6,zero,14147,0.0020175439282879765,0.0005998256935657604,0.057585130110881566,8.485734086874812,0.0005998256935657604,0.0020175439282879765,0.0,0.0,0.0
20260917,I3_minus_I1,I3,I1,6,0_to_.01,15675,0.004364799759374029,0.002464211356993894,0.29863190102559,38.62651302087929,0.0015219915682885509,0.004364799759374029,0.0,0.0,0.0
20260917,I3_minus_I1,I3,I1,6,.01_to_.05,2421,0.01508760580791058,0.011355427847019945,0.5511063904650657,27.491490817635288,-0.006186074590198299,0.01508760580791058,0.0,0.0,0.0
20260917,I3_minus_I1,I3,I1,6,above_.05,739,0.05751819432563752,0.03878598861395262,2.4448652393980503,28.662845585710986,-0.030551899349688563,0.05751819432563752,0.0,0.0,0.0
20260917,I3_minus_I1,I3,I1,24,zero,12791,0.002272073572659663,0.0005665802998793545,0.0660312136257279,7.247128615756824,0.0005665802998793545,0.0023451584204515078,-7.308484779184471e-05,-3.1164141046716054,0.004316319079905984
20260917,I3_minus_I1,I3,I1,24,0_to_.01,13815,0.004553925930379552,0.0025194451856164557,0.28649880465617994,34.806135239291336,0.0013843820537561033,0.004545793419872903,8.132510506649211e-06,0.17890189358575892,-0.0010223592259325787
20260917,I3_minus_I1,I3,I1,24,.01_to_.05,1763,0.014564947824001608,0.011763187521927999,0.3739987741193126,20.738499601159063,-0.009968740247529312,0.014714487366605309,-0.00014953954260370043,-1.016274226060243,0.007719177989170878
20260917,I3_minus_I1,I3,I1,24,above_.05,311,0.06649538746574478,0.054467825210477036,1.3751289683622732,16.93949364045836,-0.050714659047941306,0.06630480364785557,0.00019058381788920886,0.2874359132430282,-0.007871275473481099
20260917,I3_minus_I1,I3,I1,48,zero,10947,0.002045551801041287,0.0004504432102818099,0.0458053369231264,4.931001822954973,0.0004504432102818099,0.002045551801041287,0.0,0.0,0.0
20260917,I3_minus_I1,I3,I1,48,0_to_.01,10861,0.0035346692361171903,0.0019564544179649294,0.13569610245766942,21.2490514335171,0.0007121920662803519,0.0035346692361171903,0.0,0.0,0.0
20260917,I3_minus_I1,I3,I1,48,.01_to_.05,985,0.015246411085895126,0.012432611309621507,0.22896625523510422,12.246122139977185,-0.01165149350068931,0.015246411085895126,0.0,0.0,0.0
20260917,I3_minus_I1,I3,I1,48,above_.05,151,0.08148202924350594,0.07100900333885055,1.002537484535573,10.722359504166432,-0.07100900333885055,0.08148202924350594,0.0,0.0,0.0
20260917,I3_minus_I2,I3,I2,1,zero,14503,0.0020319039432410684,0.0005998331509109966,0.05987757360200343,8.699380187662184,0.0005998331509109966,0.0020319039432410684,0.0,0.0,0.0
20260917,I3_minus_I2,I3,I2,1,0_to_.01,16098,0.004379462591403576,0.0024657201551320164,0.3087546913058245,39.6931630573152,0.0015306337979950789,0.004379462591403576,0.0,0.0,0.0
20260917,I3_minus_I2,I3,I2,1,.01_to_.05,2628,0.01520912722926328,0.011179501973575699,0.6079025242275118,29.37973118655694,-0.005298476295003466,0.01520912722926328,0.0,0.0,0.0
20260917,I3_minus_I2,I3,I2,1,above_.05,948,0.058152119594827544,0.035541544886172595,3.205822224675827,33.69338455209162,-0.026401520079163496,0.058152119594827544,0.0,0.0,0.0
20260917,I3_minus_I2,I3,I2,6,zero,14147,0.0020175439282879765,0.0005998256935657604,0.057585130110881566,8.485734086874812,0.0005998256935657604,0.0020175439282879765,0.0,0.0,0.0
20260917,I3_minus_I2,I3,I2,6,0_to_.01,15675,0.004364799759374029,0.002464211356993894,0.29863190102559,38.62651302087929,0.0015219915682885509,0.004364799759374029,0.0,0.0,0.0
20260917,I3_minus_I2,I3,I2,6,.01_to_.05,2421,0.01508760580791058,0.011355427847019945,0.5511063904650657,27.491490817635288,-0.006186074590198299,0.01508760580791058,0.0,0.0,0.0
20260917,I3_minus_I2,I3,I2,6,above_.05,739,0.05751819432563752,0.03878598861395262,2.4448652393980503,28.662845585710986,-0.030551899349688563,0.05751819432563752,0.0,0.0,0.0
20260917,I3_minus_I2,I3,I2,24,zero,12791,0.002272073572659663,0.0005665802998793545,0.0660312136257279,7.247128615756824,0.0005665802998793545,0.0022956190087150626,-2.3545436055399504e-05,-1.0256682823243657,0.0013756504791997831
20260917,I3_minus_I2,I3,I2,24,0_to_.01,13815,0.004553925930379552,0.0025194451856164557,0.28649880465617994,34.806135239291336,0.0013843820537561033,0.004686512124433583,-0.0001325861940540303,-2.829101697246861,0.016925509598195998
20260917,I3_minus_I2,I3,I2,24,.01_to_.05,1763,0.014564947824001608,0.011763187521927999,0.3739987741193126,20.738499601159063,-0.009968740247529312,0.014481190180856656,8.37576431449525e-05,0.5783892214582975,-0.004289089976865168
