cv_seed,pair,candidate,reference,horizon,target_day,n,rmse,mae,sse,sae,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
20260918,I2_minus_I1,I2,I1,6,2026-03-19,5736,0.0018379112261636078,0.00036201558574552525,0.019375735785281126,2.076521399836333,4.4570224295826095e-05,0.0018379112261636078,0.0,0.0,0.0
20260918,I2_minus_I1,I2,I1,24,2026-03-15,5736,0.011222612258318956,0.0048577480574820316,0.7224321405656748,27.86404285771693,-0.0003094098743236838,0.011332641102976925,-0.00011002884465796843,-0.9709020488530729,0.014235194494232495
20260918,I2_minus_I1,I2,I1,24,2026-03-16,5736,0.009043138442578341,0.004228730761948866,0.4690806321864368,24.255999650538698,-1.37488481385217e-05,0.009239409684687764,-0.00019627124210942239,-2.1242833558370866,0.02058270923369887
20260918,I2_minus_I1,I2,I1,24,2026-03-17,5736,0.008495678548408655,0.003151211681004623,0.4140047137319028,18.075350202242518,-0.0002932824890663089,0.00852108864421808,-2.5410095809424646e-05,-0.29820245828173775,0.002480233119618813
20260918,I2_minus_I1,I2,I1,24,2026-03-18,5736,0.005618385775138361,0.000687363265801669,0.1810640600080373,3.942715692638373,-0.00010150260105139692,0.005700985706547104,-8.259993140874358e-05,-1.4488710489816592,0.00536304131055787
20260918,I2_minus_I1,I2,I1,24,2026-03-19,5736,0.0014198966519577603,0.00026477543513611044,0.011564386896853556,1.5187518959407296,-6.602975444081371e-05,0.001891250968945485,-0.0004713543169877247,-24.922885683994668,0.00895231128830003
20260918,I2_minus_I1,I2,I1,48,2026-03-16,5736,0.00927288199344624,0.004099853352408336,0.4932176489036809,23.51675882941421,-0.00021054149785129105,0.00927288199344624,0.0,0.0,0.0
20260918,I2_minus_I1,I2,I1,48,2026-03-17,5736,0.009416383954402644,0.0033467577979334026,0.5086012929513324,19.197002728945996,-0.00038668555168221483,0.009416383954402644,0.0,0.0,0.0
20260918,I2_minus_I1,I2,I1,48,2026-03-18,5736,0.0057493067220419115,0.0007931056965340136,0.18960077136969117,4.549254275319102,-9.873429878270908e-06,0.0057493067220419115,0.0,0.0,0.0
20260918,I2_minus_I1,I2,I1,48,2026-03-19,5736,0.0024940060921565033,0.00038429880708523815,0.03567830079992609,2.204337957440926,4.866421852177923e-05,0.0024940060921565033,0.0,0.0,0.0
20260918,I1_minus_B0,I1,B0,1,2026-03-14,5497,0.0194691842354253,0.006152487388519108,2.0836330939567533,33.82022317468954,-0.0004283986595843238,0.0194691842354253,0.0,0.0,0.0
20260918,I1_minus_B0,I1,B0,1,2026-03-15,5736,0.010719143393607489,0.00472218613855312,0.6590666012918367,27.086459690740696,-0.00017488376019428746,0.010719143393607489,0.0,0.0,0.0
