model,fipsCode,outer_fold,horizon,rmse,mae,n,sse,sae,evaluation_status
B4_gru_no_future,42059,3,osi_target_t01h,0.011459825436875142,0.005500279740537061,143,0.018779847770929337,0.7865399718284607,strict_nested_cv
B4_gru_no_future,42061,2,osi_target_t01h,0.0018109938640306995,0.0009583760200677296,143,0.0004689969355240464,0.13704776763916016,strict_nested_cv
B4_gru_no_future,42063,2,osi_target_t01h,0.007505109217851246,0.0046525884197228685,143,0.008054712787270546,0.6653201580047607,strict_nested_cv
B4_gru_no_future,42065,0,osi_target_t01h,0.011797163968148958,0.005348862095600013,143,0.019901752471923828,0.764887273311615,strict_nested_cv
B4_gru_no_future,42067,4,osi_target_t01h,0.0023885103928290756,0.0011801488417786078,143,0.000815812440123409,0.16876128315925598,strict_nested_cv
B4_gru_no_future,42069,2,osi_target_t01h,0.001759595607377554,0.0008513684831970775,143,0.0004427533131092787,0.12174570560455322,strict_nested_cv
B4_gru_no_future,42075,1,osi_target_t01h,0.0062225222843048785,0.0024023691384191786,143,0.005536929238587618,0.3435388207435608,strict_nested_cv
B4_gru_no_future,42077,4,osi_target_t01h,0.0038144438490787637,0.0019821537104683564,143,0.002080647274851799,0.2834479808807373,strict_nested_cv
B4_gru_no_future,42079,1,osi_target_t01h,0.0011328812612312277,0.0005965034435283379,143,0.0001835290458984673,0.08529999852180481,strict_nested_cv
B4_gru_no_future,42081,0,osi_target_t01h,0.002677668783698863,0.0015100738359493094,143,0.0010252970969304442,0.21594056487083435,strict_nested_cv
B4_gru_no_future,42083,2,osi_target_t01h,0.004361490854717772,0.0033236439980914934,143,0.0027202321216464043,0.47528108954429626,strict_nested_cv
B4_gru_no_future,42085,4,osi_target_t01h,0.005041484226025788,0.0034999333230869754,143,0.0036345685366541147,0.5004904866218567,strict_nested_cv
B4_gru_no_future,42089,1,osi_target_t01h,0.004992653299963273,0.002264191474127697,143,0.003564501879736781,0.3237793743610382,strict_nested_cv
B4_gru_no_future,42091,1,osi_target_t01h,0.003195582393110053,0.0014013654142911252,143,0.0014602798037230968,0.20039525628089905,strict_nested_cv
B4_gru_no_future,42095,0,osi_target_t01h,0.00349010732609692,0.001780652845790447,143,0.0017418614588677883,0.254633367061615,strict_nested_cv
B4_gru_no_future,42097,3,osi_target_t01h,0.0026763700591382043,0.0012096606493236374,143,0.0010243027936667204,0.17298147082328796,strict_nested_cv
B4_gru_no_future,42101,0,osi_target_t01h,0.0036660337251977607,0.001821381650996147,143,0.0019218919333070517,0.2604575753211975,strict_nested_cv
B4_gru_no_future,42103,0,osi_target_t01h,0.0029790901693411403,0.0015913330255523225,143,0.0012691218871623278,0.2275606244802475,strict_nested_cv
B4_gru_no_future,42109,2,osi_target_t01h,0.0060647421715562585,0.0014528578438941012,143,0.005259696859866381,0.20775866508483887,strict_nested_cv
B4_gru_no_future,42113,2,osi_target_t01h,0.004902788887002755,0.003432033275031416,143,0.003437339561060071,0.490780770778656,strict_nested_cv
B4_gru_no_future,42115,3,osi_target_t01h,0.004249478461396665,0.0020451200521515254,143,0.002582303714007139,0.2924521565437317,strict_nested_cv
B4_gru_no_future,42119,4,osi_target_t01h,0.003101201401104901,0.0015415698629246302,143,0.0013752954546362162,0.22044450044631958,strict_nested_cv
B4_gru_no_future,42121,1,osi_target_t01h,0.02186692000121119,0.008350077251221095,143,0.06837718933820724,1.194061040878296,strict_nested_cv
B4_gru_no_future,42125,4,osi_target_t01h,0.01708949270043469,0.008701009309416722,143,0.04176325723528862,1.2442443370819092,strict_nested_cv
B4_gru_no_future,42127,3,osi_target_t01h,0.0024792989825920576,0.001169965926975409,143,0.0008790100109763443,0.167305126786232,strict_nested_cv
B4_gru_no_future,42129,3,osi_target_t01h,0.005245756618313013,0.0026254573351214314,143,0.003935068380087614,0.37544041872024536,strict_nested_cv
B4_gru_no_future,42131,3,osi_target_t01h,0.015710659830200167,0.003481493210904398,143,0.03529595211148262,0.49785351753234863,strict_nested_cv
B4_gru_no_future,42133,3,osi_target_t01h,0.0024281835325437756,0.0009833355339091772,143,0.0008431387250311673,0.1406169831752777,strict_nested_cv
B4_gru_no_future,54007,4,osi_target_t01h,0.024479302690984066,0.012535131832245262,143,0.08569078147411346,1.7925238609313965,strict_nested_cv
B4_gru_no_future,54009,0,osi_target_t01h,0.022052637499201198,0.010589634298291578,143,0.06954358518123627,1.5143177509307861,strict_nested_cv
B4_gru_no_future,54013,2,osi_target_t01h,0.043628603017714214,0.02211845491521697,143,0.2721940279006958,3.1629395484924316,strict_nested_cv
