split_seed,horizon,mode,term_a,term_b,term_type,sse_term,total_osi_sse,N_signed_allocation
20260918,48,C1,P,P,square,0.5253855607407305,1.2516773089381812,0.10946624293915944
20260918,48,C1,P,N,twice_cross,0.13117822504172555,1.2516773089381812,0.10946624293915944
20260918,48,C1,P,D,twice_cross,0.42947054747546687,1.2516773089381812,0.10946624293915944
20260918,48,C1,P,R,twice_cross,-0.02866440339232832,1.2516773089381812,0.10946624293915944
20260918,48,C1,P,b,twice_cross,0.0007963414095272087,1.2516773089381812,0.10946624293915944
20260918,48,C1,N,N,square,0.033859380432411795,1.2516773089381812,0.10946624293915944
20260918,48,C1,N,D,twice_cross,0.026795907258689203,1.2516773089381812,0.10946624293915944
20260918,48,C1,N,R,twice_cross,-0.006890979922059243,1.2516773089381812,0.10946624293915944
20260918,48,C1,N,b,twice_cross,0.00013057263513980647,1.2516773089381812,0.10946624293915944
20260918,48,C1,D,D,square,0.15380508281973582,1.2516773089381812,0.10946624293915944
20260918,48,C1,D,R,twice_cross,-0.019053488918372392,1.2516773089381812,0.10946624293915944
20260918,48,C1,D,b,twice_cross,0.0003751893838719153,1.2516773089381812,0.10946624293915944
20260918,48,C1,R,R,square,0.002493799544502821,1.2516773089381812,0.10946624293915944
20260918,48,C1,R,b,twice_cross,-2.601492419817542e-05,1.2516773089381812,0.10946624293915944
20260918,48,C1,b,b,square,0.0020215893533376515,1.2516773089381812,0.10946624293915944
20260918,48,C3,P,P,square,0.44638665668031224,1.0653533685438896,0.10379033464281534
20260918,48,C3,P,N,twice_cross,0.12354009447675005,1.0653533685438896,0.10379033464281534
20260918,48,C3,P,D,twice_cross,0.35647742095927165,1.0653533685438896,0.10379033464281534
20260918,48,C3,P,R,twice_cross,-0.02742066654233866,1.0653533685438896,0.10379033464281534
20260918,48,C3,P,b,twice_cross,-0.0003914661805466532,1.0653533685438896,0.10379033464281534
20260918,48,C3,N,N,square,0.032949119485760195,1.0653533685438896,0.10379033464281534
20260918,48,C3,N,D,twice_cross,0.025052006379257204,1.0653533685438896,0.10379033464281534
20260918,48,C3,N,R,twice_cross,-0.006867346422803476,1.0653533685438896,0.10379033464281534
20260918,48,C3,N,b,twice_cross,-4.232411909345954e-05,1.0653533685438896,0.10379033464281534
20260918,48,C3,D,D,square,0.1293969363119209,1.0653533685438896,0.10379033464281534
20260918,48,C3,D,R,twice_cross,-0.01831954602271348,1.0653533685438896,0.10379033464281534
20260918,48,C3,D,b,twice_cross,-0.0001763630827604938,1.0653533685438896,0.10379033464281534
20260918,48,C3,R,R,square,0.0024530186329608894,1.0653533685438896,0.10379033464281534
20260918,48,C3,R,b,twice_cross,2.274725064593237e-05,1.0653533685438896,0.10379033464281534
20260918,48,C3,b,b,square,0.0022930807372669604,1.0653533685438896,0.10379033464281534
20260918,48,main,P,P,square,0.5253855607407305,1.2516773089381812,0.10946624293915944
20260918,48,main,P,N,twice_cross,0.13117822504172555,1.2516773089381812,0.10946624293915944
20260918,48,main,P,D,twice_cross,0.42947054747546687,1.2516773089381812,0.10946624293915944
20260918,48,main,P,R,twice_cross,-0.02866440339232832,1.2516773089381812,0.10946624293915944
