horizon,fipsCode,countyName,stateAbbr,fold,n,rmse,sse,mae,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
1,18173,Warrick County,IN,3,143,0.001997776808279964,0.0005707290411252829,0.000924660976216094,0.0007759581105431671,0.0018898260682287784,0.00010795074005118558,5.712205047121688,-6.0012753878825814e-05
1,18175,Washington County,IN,4,143,0.004150615900350402,0.002463548566370546,0.0013142329917606047,-0.00013403874218163565,0.004073218042094086,7.739785825631573e-05,1.9001648685746497,-9.102052013351377e-05
1,18177,Wayne County,IN,1,143,0.0015662578878553328,0.0003508024192914739,0.0007738340068018338,0.0006153449994044831,0.001510680867162733,5.5577020692599774e-05,3.678938543584076,-2.4454013706622676e-05
1,18179,Wells County,IN,0,143,0.004667841286824169,0.003115790145894185,0.0014655140064252208,-0.0008666414202899937,0.004610254500708322,5.758678611584699e-05,1.2491021072047026,-7.640428762809275e-05
1,18181,White County,IN,2,143,0.0018072496799888707,0.0004670596510322422,0.0007389167676569744,0.0002668326312832439,0.0019739948310464623,-0.0001667451510575916,-8.447091574662124,9.016209876649349e-05
1,18183,Whitley County,IN,1,143,0.0027792848287757264,0.0011045926548031973,0.0006462999985369194,-0.0001072032019588314,0.002768751975273275,1.053285350245117e-05,0.3804188167274125,-8.356442220305458e-06
1,39017,Butler County,OH,1,143,0.0008475883725336326,0.00010273206504335231,0.0002993425962137218,-9.969174166494345e-05,0.0008361757338834687,1.1412638650163819e-05,1.3648612591470322,-2.747915358567582e-06
1,39023,Clark County,OH,1,143,0.002715722440646211,0.0010546462175720062,0.001650331679601878,0.0007463396381375552,0.002710650027037575,5.0724136086361185e-06,0.18712904867987934,-3.9360471937369395e-06
1,39025,Clermont County,OH,1,143,0.0018175616845524344,0.0004724048582328909,0.0005961989963206275,-0.0003581314796417728,0.0017892010155521984,2.8360669000235912e-05,1.5851024425828975,-1.4627499043309302e-05
1,39027,Clinton County,OH,0,143,0.0010451685204909272,0.00015620994478020267,0.0005342707998362656,8.18382084385557e-05,0.0010947598105032338,-4.9591290012306576e-05,-4.529878566652046,1.517541832490727e-05
1,39029,Columbiana County,OH,2,143,0.007128975680808376,0.007267588078830686,0.004105215292021729,0.003441214831814706,0.007140966863418254,-1.1991182609877998e-05,-0.16792099500287927,2.4469228623882032e-05
1,39031,Coshocton County,OH,2,143,0.009034106936499474,0.011670957604035428,0.005690629324584701,-0.001666455446410863,0.0090145058969066,1.9601039592873418e-05,0.21743886816469882,-5.0589335188392856e-05
1,39033,Crawford County,OH,4,143,0.0066743968705315505,0.006370303022706674,0.003207260947172903,-0.001204016072049565,0.006695506114585443,-2.1109244053892605e-05,-0.3152748080971546,4.035868194782709e-05
1,39035,Cuyahoga County,OH,4,143,0.00525746683235294,0.003952656921540649,0.003458658574946303,-0.003387025025130134,0.005275701739203712,-1.8234906850772212e-05,-0.34563945712223765,2.746620272765267e-05
1,39037,Darke County,OH,0,143,0.0012655427646668807,0.00022902858395569892,0.0007355886911815736,0.00027107066505768323,0.0012853443966378,-1.9801631970919236e-05,-1.5405701400119876,7.22317721375224e-06
1,39039,Defiance County,OH,1,143,0.008608553679037022,0.010597329091615246,0.004624198751363765,-0.004408005825898932,0.008612678025250385,-4.124346213362981e-06,-0.04788691973938164,1.0156764012971692e-05
1,39045,Fairfield County,OH,2,143,0.004379954189005011,0.0027433118137829044,0.0024985177545871875,0.0018166140468952204,0.004400854789197807,-2.090060019279555e-05,-0.4749213776400363,2.624395742864983e-05
1,39049,Franklin County,OH,1,143,0.004660501432441404,0.0031059991250557382,0.0026957413665986913,-0.0006569334921479952,0.0046762741465132774,-1.5772714071873514e-05,-0.33729233098178657,2.1059079693094493e-05
1,39051,Fulton County,OH,2,143,0.00320059297295579,0.0014648627391303597,0.0018417220238365545,-0.0006376763254538832,0.0031861093426190008,1.4483630336789306e-05,0.45458673194447297,-1.322787686361621e-05
1,39053,Gallia County,OH,4,143,0.0026925098290447526,0.0010366941126688722,0.0010108444297870088,-0.00045086187539582375,0.0027163432318664804,-2.383340282172781e-05,-0.877407631779703,1.8434326454005437e-05
1,39055,Geauga County,OH,0,143,0.010857415540767636,0.016857336528161068,0.004155590683771848,-0.0013299268290564558,0.01084130241409295,1.6113126674686257e-05,0.14862722262722894,-4.9997689325148587e-05
1,39059,Guernsey County,OH,0,143,0.01799919611910056,0.04632786171353979,0.011068606160525322,-0.009886046552454524,0.01826179450610963,-0.00026259838700906993,-1.437965950833664,0.001361657103882967
1,39061,Hamilton County,OH,2,143,0.0014310977874447172,0.00029286984544377057,0.0006243229136363237,0.00048026696958037966,0.0014145961012327559,1.6501686211961315e-05,1.1665298806903923,-6.715100907694004e-06
1,39063,Hancock County,OH,0,143,0.001602747279108308,0.000367338234218539,0.0010015898028409565,0.0009512401524913059,0.0015951859081717852,7.561370936522713e-06,0.4740118940236071,-3.4578485454714683e-06
1,39065,Hardin County,OH,3,143,0.003130388124803584,0.0014013041631033161,0.0017063325632101843,0.0003853319018653096,0.003157636044944858,-2.7247920141273713e-05,-0.8629214942265317,2.4500988000589544e-05
