fipsCode,countyName,stateAbbr,target_day,n,true_P_mean,true_P_max,true_P_peak_hour,W0_P_mean,W0_P_max,W0_P_peak_hour,W1_P_mean,W1_P_max,W1_P_peak_hour,true_OSI_mean,true_OSI_max,true_OSI_peak_hour,W0_OSI_mean,W0_OSI_max,W0_OSI_peak_hour,W1_OSI_mean,W1_OSI_max,W1_OSI_peak_hour,rmse,sse,mae,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
42115,Susquehanna County,PA,4,24,0.002249320375,0.008938626,111,0.000984719941198267,0.004138977413607773,107,0.0014825989647288054,0.0038866162877305935,118,0.0014916666666666665,0.0054,111,0.0002321972796576006,0.001783257341328754,107,0.0005242937983910459,0.0018662448813082956,117,0.001982343896126833,9.431249574027151e-05,0.0011869611765865451,-0.0009673728682756208,0.0023790010904341484,-0.0003966571943073154,-16.67326660346039,4.151901277861331e-05
42115,Susquehanna County,PA,5,24,0.0015718855,0.010909347,143,0.0014801368544947273,0.008732464944077296,143,0.0028675386077578993,0.012241556913538865,143,0.0011666666666666668,0.0064,143,0.0007923071759179194,0.005521932388325494,143,0.001322049147509873,0.0069255691761101225,143,0.0010754288241551302,2.775713173976846e-05,0.0007915601462974868,0.00015538248084320656,0.0012773157484536038,-0.00020188692429847356,-15.805561353399911,1.1399720770173706e-05
42115,Susquehanna County,PA,6,24,0.012198233333333334,0.023578266,156,0.007170676276677256,0.012420590464532423,144,0.006053513140609798,0.012268848445379753,144,0.0081875,0.0138,156,0.00415852941672516,0.00749518617058784,151,0.0037893503323713565,0.0069837321292709025,144,0.006200420778692196,0.0009226852279881105,0.0046520773957819716,-0.004398149667628644,0.005704750173629216,0.0004956706050629799,8.688734650542052,-0.0001416250389435689
42115,Susquehanna County,PA,7,24,0.0031965569999999996,0.063626126,188,0.0006192170436511272,0.0034103774710568,181,0.00030893089803125,0.0016020063033951738,179,0.0025958333333333337,0.0337,188,0.0002895291419721638,0.0023683580514052413,181,0.00013931128106873264,0.0017048278241726892,179,0.007486547904225116,0.0013451615885341796,0.002735144614402066,-0.0024565220522646007,0.007508276541958832,-2.1728637733716034e-05,-0.28939581024072236,7.81961059852297e-06
42115,Susquehanna County,PA,8,24,0.0004692191666666667,0.009853604,215,0.00017676684248507226,0.001629627901483009,201,7.514642658236125e-05,0.0009410630347013403,201,0.0006125000000000001,0.0061,215,0.0,0.0,192,0.0,0.0,192,0.0015463667094192115,5.7390000000000004e-05,0.0006125000000000001,-0.0006125000000000001,0.0015463667094192115,0.0,0.0,0.0
42119,Union County,PA,4,24,9.146075e-05,0.000731686,112,0.0011048323021378597,0.003022903569744041,115,0.00034118412171163195,0.0009796408378135038,116,7.083333333333332e-05,0.0004,112,0.0004510866286084486,0.0018847757996698054,110,0.0,0.0,96,0.00014860462083439172,5.3e-07,7.083333333333332e-05,-7.083333333333332e-05,0.0007488931620176498,-0.0006002885411832581,-80.15676622897388,1.2930183234803051e-05
42119,Union County,PA,5,24,0.000575665,0.002797624,135,0.004401220339222175,0.027960382358280113,143,0.0036974517977115796,0.023412439318803623,143,0.0004,0.0017,136,0.0022352661811025775,0.01569872026743664,143,0.0019464842035911598,0.013879543051646043,143,0.0040754466942398496,0.0003986223781821724,0.0020088440518989848,0.0015464842035911597,0.004511194344144966,-0.00043574764990511605,-9.65925244321758,8.979860767332028e-05
42119,Union County,PA,6,24,0.00027977983333333335,0.001506478,149,0.00736735484570183,0.025469674815682256,144,0.006532753424046713,0.02152333449706865,144,0.00021250000000000002,0.0008,146,0.005191965322399835,0.015423404337838746,144,0.0048200323174237255,0.013844868210393305,144,0.006161687023142124,0.0009111932873077933,0.004607532317423725,0.004607532317423725,0.0066516606851481815,-0.0004899736620060571,-7.366185456514184,0.00015067686958051022
42119,Union County,PA,7,24,7.175000000000001e-06,8.61e-05,187,0.00017379053465589825,0.0011981517570252471,179,0.0004536429978245946,0.001238000029562663,182,0.0,0.0,168,0.0,0.0,168,0.0,0.0,168,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
42119,Union County,PA,8,24,0.000105812125,0.000559549,204,7.019427006492122e-05,0.00013870919262473692,201,0.00010029663774965599,0.0004701963861818446,215,6.666666666666667e-05,0.0003,204,0.0,0.0,192,0.0,0.0,192,0.0001224744871391589,3.5999999999999994e-07,6.666666666666667e-05,-6.666666666666667e-05,0.0001224744871391589,0.0,0.0,0.0
