horizon,rank,feature,importance,importance_fraction
osi_target_t06h,125,gust_x_phase,0.0036242005942623283,3.624200594262328e-05
osi_target_t06h,126,et0_t,0.0035707167009515423,3.5707167009515425e-05
osi_target_t06h,127,tp_at_t1h,0.0032344168759264693,3.2344168759264695e-05
osi_target_t06h,128,total_tp_next_1h,0.00288388027226776,2.8838802722677602e-05
osi_target_t06h,129,gust_exceed30_x_hso,0.002463948375775624,2.4639483757756237e-05
osi_target_t06h,130,is_metro,0.001637781124804009,1.637781124804009e-05
osi_target_t06h,131,is_snowing,0.0015042004053720955,1.5042004053720956e-05
osi_target_t06h,132,lcc_t,0.0011334277400066838,1.1334277400066837e-05
osi_target_t06h,133,rain_t,0.0007985188606650477,7.985188606650477e-06
osi_target_t06h,134,wind_change_1h,0.0007283808639223194,7.283808639223193e-06
osi_target_t06h,135,mcc_t,0.0003779468690632785,3.7794686906327854e-06
osi_target_t06h,136,tp_at_t24h,0.00011118057346744066,1.1118057346744067e-06
osi_target_t06h,137,gust_gt30_next_1h,0.0,0.0
osi_target_t06h,138,gust_gt40_next_1h,0.0,0.0
osi_target_t06h,139,direct_rad_t,0.0,0.0
osi_target_t06h,140,icing_risk_t,0.0,0.0
osi_target_t06h,141,tcc_t,0.0,0.0
osi_target_t24h,1,last_D_t,17.07109950707211,0.17071099507072116
osi_target_t24h,2,cumul_gust_since_onset,10.016565314540847,0.10016565314540851
osi_target_t24h,3,storm_onset_mean_osi,9.613033383782822,0.09613033383782826
osi_target_t24h,4,pct_forest,6.471104924661528,0.0647110492466153
osi_target_t24h,5,mslma_t,6.4218314455272,0.06421831445527203
osi_target_t24h,6,cumul_tp_since_onset,5.104277926301753,0.051042779263017556
osi_target_t24h,7,hours_since_obs,3.4029355564589134,0.03402935556458915
osi_target_t24h,8,last_outage_pct,3.3773794078530157,0.03377379407853017
osi_target_t24h,9,last_P_t,3.2856911466155783,0.0328569114661558
osi_target_t24h,10,gust_peak4h_mean_next_24h,2.6146342941877774,0.026146342941877784
osi_target_t24h,11,total_tp_next_48h,2.340962030138412,0.02340962030138413
osi_target_t24h,12,gust_last_obs,2.050014705392542,0.02050014705392543
osi_target_t24h,13,total_tp_next_24h,1.889546353212983,0.018895463532129838
osi_target_t24h,14,pct_wetland,1.47535412120016,0.014753541212001606
osi_target_t24h,15,last_osi,1.4535879672428325,0.014535879672428332
osi_target_t24h,16,t2m_at_t24h,1.190345626910533,0.011903456269105335
osi_target_t24h,17,gust_max_next_24h,1.1825127681385192,0.011825127681385198
osi_target_t24h,18,pressure_change_3h,1.1758424317287042,0.011758424317287047
osi_target_t24h,19,frac_zero_72h,1.0357817970754972,0.010357817970754976
osi_target_t24h,20,sp_t,0.9297659562832704,0.009297659562832707
osi_target_t24h,21,gust_max_last6h_obs,0.7832849890600571,0.007832849890600574
osi_target_t24h,22,last_N_t,0.744616555448527,0.007446165554485273
osi_target_t24h,23,pop_density,0.731061657606945,0.007310616576069453
osi_target_t24h,24,gust_gt30_next_24h,0.6566869516875478,0.00656686951687548
osi_target_t24h,25,gust_gt30_since_onset,0.6498408227324041,0.006498408227324043
osi_target_t24h,26,tree_canopy_std,0.637599060030224,0.0063759906003022435
osi_target_t24h,27,log_customers,0.6116762080728635,0.006116762080728638
osi_target_t24h,28,gust_mean_next_24h,0.5791948022393254,0.005791948022393256
osi_target_t24h,29,osi_mean_72h,0.5738177049509191,0.005738177049509193
osi_target_t24h,30,gust_max_next_48h,0.44108266936610946,0.004410826693661096
osi_target_t24h,31,osi_trend_last6h,0.42689183419684973,0.004268918341968499
osi_target_t24h,32,min_t2m_next_48h,0.417339749848949,0.004173397498489492
osi_target_t24h,33,forest_x_customers,0.41013510637672385,0.00410135106376724
osi_target_t24h,34,outage_pct_max_72h,0.4019424224122245,0.0040194242241222465
osi_target_t24h,35,min_t2m_next_24h,0.39614092161718023,0.003961409216171804
osi_target_t24h,36,wind_speed_max_next_48h,0.3844406270181062,0.003844406270181064
osi_target_t24h,37,total_tp_next_6h,0.3840399026918048,0.00384039902691805
osi_target_t24h,38,pre_event_mean_osi,0.3654395205285839,0.003654395205285841
osi_target_t24h,39,wind_speed_max_next_24h,0.3648754590364098,0.0036487545903640993
osi_target_t24h,40,tree_canopy_pct,0.3308704189886909,0.0033087041898869104
osi_target_t24h,41,min_t2m_next_6h,0.2992123232838085,0.0029921232328380862
osi_target_t24h,42,gust_gt40_next_24h,0.294136333146537,0.002941363331465371
osi_target_t24h,43,gust_max_obs,0.2876290675835368,0.002876290675835369
