fipsCode,countyName,sse_reduction_split42,sse_reduction_split20260917,sse_reduction_split20260918,confirmation_improved_splits,confirmation_worsened_splits
42133,York County,0.0,0.0,7.883200919318488e-07,1,0
54007,Braxton County,0.0,0.0,0.0,0,0
54009,Brooke County,0.0,0.0,0.0,0,0
54013,Calhoun County,3.537954781362984e-07,-6.886414236628724e-07,0.0,0,1
54015,Clay County,0.0,0.0,0.0,0,0
54019,Fayette County,0.0,0.0,0.0,0,0
54023,Grant County,2.7038736114829093e-05,1.2328630501352118e-05,-2.255096458000363e-05,1,1
54025,Greenbrier County,0.0,0.0,0.0,0,0
54027,Hampshire County,0.0,0.0,0.0,0,0
54029,Hancock County,0.0,0.0,0.0,0,0
54031,Hardy County,0.0,0.0,0.0,0,0
54033,Harrison County,0.0,0.0,0.0,0,0
54035,Jackson County,6.144475323097316e-08,-1.2097715998229432e-06,-1.665542490483611e-07,0,2
54037,Jefferson County,-8.981759072436771e-07,1.5109478825822437e-06,-1.657058539297502e-06,1,1
54039,Kanawha County,0.0,0.0,0.0,0,0
54041,Lewis County,0.0,0.0,0.0,0,0
54043,Lincoln County,0.0,0.0,0.0,0,0
54045,Logan County,0.0,0.0,0.0,0,0
54047,McDowell County,0.0,0.0,0.0,0,0
54053,Mason County,0.0,-8.601155411818622e-07,0.0,0,1
54055,Mercer County,0.0,0.0,0.0,0,0
54057,Mineral County,0.0,0.0,0.0,0,0
54059,Mingo County,0.0,0.0,0.0,0,0
54063,Monroe County,0.0,0.0,0.0,0,0
54067,Nicholas County,0.0,0.0,-2.8698967785567575e-07,0,1
54069,Ohio County,0.0,0.0,0.0,0,0
54071,Pendleton County,0.0,0.0,0.0,0,0
54073,Pleasants County,0.0,0.0,0.0,0,0
54075,Pocahontas County,0.0,-5.168191745345135e-06,0.0,0,1
54077,Preston County,0.0,0.0,0.0,0,0
54079,Putnam County,0.0,0.0,0.0,0,0
54081,Raleigh County,0.0,0.0,0.0,0,0
54083,Randolph County,0.0,0.0,0.0,0,0
54085,Ritchie County,0.0,0.0,0.0,0,0
54087,Roane County,0.0,-4.357458344844689e-08,0.0,0,1
54089,Summers County,0.0,0.0,0.0,0,0
54091,Taylor County,0.0,0.0,0.0,0,0
54093,Tucker County,0.0,0.0,0.0,0,0
54095,Tyler County,0.0,0.0,0.0,0,0
54097,Upshur County,0.0,0.0,0.0,0,0
54099,Wayne County,0.0,0.0,0.0,0,0
54101,Webster County,0.0,0.0,0.0,0,0
54103,Wetzel County,0.0,0.0,0.0,0,0
54105,Wirt County,0.0,0.0,0.0,0,0
54107,Wood County,0.0,0.0,0.0,0,0
54109,Wyoming County,0.0,0.0,0.0,0,0
