case,horizon,space,P71_group,n,rmse,mae,sse,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
AB_P24,osi_target_t01h,aligned,.5<=p<=1,286,0.028709058738557048,0.015936380163616162,0.23572407534502077,-0.00040617527940469447,0.022318165738020267,0.006390893000536781,28.635386418201602,-0.09326732607883464
AB_P24,osi_target_t06h,component_clipped,p=0,7314,0.01600317238221829,0.004004236921092159,1.8731265633215881,-0.0005302314670511315,0.01600317238221829,0.0,0.0,0.0
AB_P24,osi_target_t06h,component_clipped,0<p<.01,12006,0.012118788557097153,0.003383149669676147,1.7632616233160965,-7.203720499723712e-05,0.012118788557097153,0.0,0.0,0.0
AB_P24,osi_target_t06h,component_clipped,.01<=p<.1,8418,0.013875215200713088,0.005627389006240559,1.620646802418826,0.0017050234601297305,0.013875215200713088,0.0,0.0,0.0
AB_P24,osi_target_t06h,component_clipped,.1<=p<.5,4968,0.02710828102971857,0.01138518065404539,3.65077901711864,0.00017791971378173884,0.02710828102971857,0.0,0.0,0.0
AB_P24,osi_target_t06h,component_clipped,.5<=p<=1,276,0.03270639871119677,0.015154174127632113,0.29523955059699364,-0.008791763222997902,0.03270639871119677,0.0,0.0,0.0
AB_P24,osi_target_t06h,aligned,p=0,7314,0.015716665968018503,0.003928293439848697,1.806657391045082,-0.0004515737326551038,0.01550175097146026,0.000214914996558244,1.3863917498992073,-0.04907186385801143
AB_P24,osi_target_t06h,aligned,0<p<.01,12006,0.011838591950723037,0.003191267784402005,1.6826680260649458,-0.0001999557788306404,0.011763750084226613,7.484186649642406e-05,0.6362075525284672,-0.021207918638981305
AB_P24,osi_target_t06h,aligned,.01<=p<.1,8418,0.013034156398393998,0.005074927579000143,1.4301275635438,0.0013749868418394952,0.012886121587861645,0.00014803481053235305,1.148792594598813,-0.03230073676331835
AB_P24,osi_target_t06h,aligned,.1<=p<.5,4968,0.025154603059080953,0.010358523647149719,3.1435221455377067,-0.00011725082629512933,0.02526537423924385,-0.00011077118016289758,-0.43843079114513905,0.02774667937315778
AB_P24,osi_target_t06h,aligned,.5<=p<=1,276,0.02781243301944248,0.015145488694635246,0.21349467480722892,-0.0011767684595087877,0.02087118434522687,0.006941248674215611,33.257569668311795,-0.09326732607883462
AB_P24,osi_target_t24h,component_clipped,p=0,6360,0.016420273484182204,0.004534315235317919,1.7148174250383443,-0.0003958939038326167,0.015471878031553497,0.0009483954526287065,6.129801764818343,-0.19236692256236165
AB_P24,osi_target_t24h,component_clipped,0<p<.01,10440,0.012926761240159837,0.0033971805919145587,1.74453607031143,-0.0005064904037785833,0.012614773398161382,0.000311987841998455,2.4731941839234883,-0.08319268797156743
AB_P24,osi_target_t24h,component_clipped,.01<=p<.1,7320,0.013246385336916308,0.004756635836973202,1.2844164232966024,0.0015586803491352257,0.012386829927381937,0.0008595554095343714,6.9392686795050285,-0.16128279593944583
AB_P24,osi_target_t24h,component_clipped,.1<=p<.5,4320,0.015016359742942778,0.007473244473234838,0.9741213788953211,0.001060143805774927,0.014852721592596976,0.00016363815034580245,1.1017384883007963,-0.021114955680232472
AB_P24,osi_target_t24h,component_clipped,.5<=p<=1,240,0.0423328118598537,0.020452414407273987,0.43009607039082487,0.0018949164467124062,0.01686317109813775,0.02546964076171595,151.0370772702925,-0.36184810091440844
AB_P24,osi_target_t24h,aligned,p=0,6360,0.016044389116212386,0.004226287840240443,1.637206604635083,-0.0004800654511648332,0.01580211125919468,0.00024227785701770588,1.5331992861190136,-0.04907186385801121
AB_P24,osi_target_t24h,aligned,0<p<.01,10440,0.012566926023603158,0.003347102434863844,1.6487644538875372,-0.0003716997788453074,0.012485840774709338,8.108524889382032e-05,0.6494176111716987,-0.02120791863898086
AB_P24,osi_target_t24h,aligned,.01<=p<.1,7320,0.012528616285639399,0.004325482755629015,1.1489927745600137,0.0011936120160376614,0.012351257307499154,0.00017735897814024487,1.435958896529188,-0.03230073676331835
AB_P24,osi_target_t24h,aligned,.1<=p<.5,4320,0.012862887542852789,0.006494581950713251,0.7147607440611345,0.000873695352197575,0.013110176138693475,-0.00024728859584068584,-1.886233969891804,0.027746679373158
AB_P24,osi_target_t24h,aligned,.5<=p<=1,240,0.027182478519088525,0.01417376279333341,0.17733291322577016,-0.0013792017747715295,0.018715589218052903,0.008466889301035622,45.23976884932124,-0.09326732607883462
AB_P24,osi_target_t48h,component_clipped,p=0,5088,0.01578495889674735,0.0039359960949824566,1.2677511504687535,-0.0006659270758382052,0.01578495889674735,0.0,0.0,0.0
AB_P24,osi_target_t48h,component_clipped,0<p<.01,8352,0.011597304138948545,0.0032184386315769614,1.1233228134087125,-6.739328737993277e-05,0.011597304138948545,0.0,0.0,0.0
AB_P24,osi_target_t48h,component_clipped,.01<=p<.1,5856,0.011819436195316968,0.003306045506210644,0.8180777654865887,0.000675549432019518,0.011819436195316968,0.0,0.0,0.0
AB_P24,osi_target_t48h,component_clipped,.1<=p<.5,3456,0.008954253481607003,0.003685351466003394,0.2770974331068826,0.00018540188578526834,0.008954253481607003,0.0,0.0,0.0
AB_P24,osi_target_t48h,component_clipped,.5<=p<=1,192,0.007644089322720343,0.004868432856129282,0.011218963502155612,-0.003147953325415167,0.007644089322720343,0.0,0.0,0.0
AB_P24,osi_target_t48h,aligned,p=0,5088,0.016119818770323174,0.003880929192699048,1.322109458972866,-0.0008028907689335545,0.01581946783680516,0.0003003509335180142,1.8986159118401291,-0.048809156262006104
AB_P24,osi_target_t48h,aligned,0<p<.01,8352,0.011893156200287492,0.003100174788059861,1.1813667171058562,-0.0002857841857028272,0.011823894218750448,6.926198153704363e-05,0.5857797799578401,-0.013719746113591613
AB_P24,osi_target_t48h,aligned,.01<=p<.1,5856,0.011759144954401647,0.003603736180769035,0.8097529817833355,0.001134047518454954,0.011596485250460446,0.00016265970394120123,1.4026638281176007,-0.022247060502092686
AB_P24,osi_target_t48h,aligned,.1<=p<.5,3456,0.008560548067843383,0.00395635379609759,0.2532659900147381,0.0010705102507152964,0.00871102595542918,-0.00015047788758579608,-1.7274416165871997,0.008982109351193757
AB_P24,osi_target_t48h,aligned,.5<=p<=1,192,0.006706219543549197,0.004221534040961077,0.00863488906872599,-0.0010158938846631356,0.0067575273413088225,-5.130779775962529e-05,-0.7592688148811533,0.00013263267883297652
AB_P48,osi_target_t01h,component_clipped,p=0,7579,0.015801984222593383,0.003830069040133475,1.8924968040074925,-0.00047086896137930396,0.015801984222593383,0.0,0.0,0.0
AB_P48,osi_target_t01h,component_clipped,0<p<.01,12441,0.011914002929454506,0.003158726775266141,1.7659186580557518,-0.0002871476903313053,0.011914002929454506,0.0,0.0,0.0
AB_P48,osi_target_t01h,component_clipped,.01<=p<.1,8723,0.013718099875019143,0.0051264517298555985,1.6415487824508652,0.001020011575014584,0.013718099875019143,0.0,0.0,0.0
AB_P48,osi_target_t01h,component_clipped,.1<=p<.5,5148,0.031505862123289055,0.011438188630750095,5.110004404181992,-0.0004728526327843452,0.031505862123289055,0.0,0.0,0.0
AB_P48,osi_target_t01h,component_clipped,.5<=p<=1,286,0.041544205317156566,0.02256253956635589,0.49361340469414117,0.005626361763222023,0.041544205317156566,0.0,0.0,0.0
AB_P48,osi_target_t01h,aligned,p=0,7579,0.015511548057850669,0.003824313225528751,1.823568965361511,-0.00044640164830650985,0.015258361457521616,0.0002531866003290528,1.6593302041894242,-0.059044417643550284
AB_P48,osi_target_t01h,aligned,0<p<.01,12441,0.011796777012382346,0.003239911663801217,1.7313386755734945,-8.944992703230364e-05,0.011615384395314989,0.00018139261706735799,1.5616583222206826,-0.05283435456131258
AB_P48,osi_target_t01h,aligned,.01<=p<.1,8723,0.013656710141911528,0.005264985292949435,1.6268894993653504,0.00119824631868017,0.013683402443192647,-2.6692301281118144e-05,-0.19507064410282382,0.00636578826498746
AB_P48,osi_target_t01h,aligned,.1<=p<.5,5148,0.031904270892233653,0.011538740030275524,5.240059115997561,-0.0005747714842412535,0.03189354025390013,1.0730638333525389e-05,0.033645177826291395,-0.003524275692604384
AB_P48,osi_target_t01h,aligned,.5<=p<=1,286,0.02220766641625195,0.012273524698073189,0.14104960802948005,-0.001289988082904957,0.022318165738020267,-0.00011049932176831687,-0.495109334097632,0.001407141236706072
AB_P48,osi_target_t06h,component_clipped,p=0,7314,0.01600317238221829,0.004004236921092159,1.8731265633215881,-0.0005302314670511315,0.01600317238221829,0.0,0.0,0.0
AB_P48,osi_target_t06h,component_clipped,0<p<.01,12006,0.012118788557097153,0.003383149669676147,1.7632616233160965,-7.203720499723712e-05,0.012118788557097153,0.0,0.0,0.0
AB_P48,osi_target_t06h,component_clipped,.01<=p<.1,8418,0.013875215200713088,0.005627389006240559,1.620646802418826,0.0017050234601297305,0.013875215200713088,0.0,0.0,0.0
