comparison,horizon,model,fold,n,baseline_rmse,baseline_mae,baseline_sse,baseline_bias,candidate_rmse,candidate_mae,candidate_sse,candidate_bias,rmse_delta,rmse_change_pct,sse_reduction,changed_predictions
C_minus_A,osi_target_t01h,v18_rule,3,6864,0.010763841841827895,0.0037442126275296058,0.7952650387685543,-0.0007903471726204592,0.010772181111630311,0.0037453622019850336,0.7964977768297139,-0.0008380234354744096,8.339269802416088e-06,0.07747484518036973,-0.001232738061159644,3183
C_minus_A,osi_target_t01h,v18_rule,4,6864,0.008285448954481016,0.0033418365720722276,0.4712044322858598,0.00041385277844815867,0.008194020582882247,0.0033167633827978515,0.46086250481835866,0.00041176951158701335,-9.142837159876842e-05,-1.103481200609191,0.010341927467501122,3383
B_minus_A,osi_target_t01h,v18_rule,0,6864,0.00832417664354127,0.0031331711198448425,0.47561971686631455,0.00028682953349012084,0.008324445236677523,0.0031342726240579807,0.4756504106533133,0.00028885625303191713,2.6859313625310355e-07,0.003226663101396632,-3.069378699877001e-05,16
B_minus_A,osi_target_t01h,v18_rule,1,6721,0.01024650302141004,0.003404966674487347,0.7056433292315489,0.0006441097439538528,0.010130248042656465,0.0034002235607655086,0.6897219606520131,0.0006514915583109493,-0.00011625497875357438,-1.1345819984697192,0.015921368579535855,14
B_minus_A,osi_target_t01h,v18_rule,2,6864,0.01719845949761471,0.0036907573711891114,2.030282030401266,-0.0009591645235673344,0.017198632071630332,0.0036913696920577023,2.030322775408778,-0.0009580449906989378,1.7257401562290053e-07,0.0010034271711756304,-4.074500751194421e-05,7
B_minus_A,osi_target_t01h,v18_rule,3,6864,0.010763841841827895,0.0037442126275296058,0.7952650387685543,-0.0007903471726204592,0.01076373406523054,0.0037437483314021547,0.7952491131293579,-0.0007898030882344466,-1.0777659735505818e-07,-0.001001283732504632,1.592563919639023e-05,6
B_minus_A,osi_target_t01h,v18_rule,4,6864,0.008285448954481016,0.0033418365720722276,0.4712044322858598,0.00041385277844815867,0.008285291975210624,0.0033415673225498806,0.47118657721785634,0.00041446336143557646,-1.569792703916273e-07,-0.0018946380727746792,1.7855068003447272e-05,8
C_minus_B,osi_target_t06h,C0_direct_osi,0,6624,0.00820007796817277,0.0031312554491670264,0.445406230003561,0.00018032346189796457,0.00820007796817277,0.0031312554491670264,0.445406230003561,0.00018032346189796457,0.0,0.0,0.0,0
C_minus_B,osi_target_t06h,C0_direct_osi,1,6486,0.00888284672749171,0.00342923908715363,0.5117776093729388,0.0008044491822562863,0.00888284672749171,0.00342923908715363,0.5117776093729388,0.0008044491822562863,0.0,0.0,0.0,0
C_minus_B,osi_target_t06h,C0_direct_osi,2,6624,0.01409220199965764,0.003445928119306748,1.3154612012872013,-0.0007074555592926716,0.01409220199965764,0.003445928119306748,1.3154612012872013,-0.0007074555592926716,0.0,0.0,0.0,0
C_minus_B,osi_target_t06h,C0_direct_osi,3,6624,0.010181383092389208,0.0035472942859973745,0.6866475605285021,-0.0006759914855270912,0.010181383092389208,0.0035472942859973745,0.6866475605285021,-0.0006759914855270912,0.0,0.0,0.0,0
C_minus_B,osi_target_t06h,C0_direct_osi,4,6624,0.008226608779808813,0.0032522615510621865,0.44829305751416576,0.00024681783653658434,0.008226608779808813,0.0032522615510621865,0.44829305751416576,0.00024681783653658434,0.0,0.0,0.0,0
C_minus_A,osi_target_t06h,C0_direct_osi,0,6624,0.00820007796817277,0.0031312554491670264,0.445406230003561,0.00018032346189796457,0.00820007796817277,0.0031312554491670264,0.445406230003561,0.00018032346189796457,0.0,0.0,0.0,0
C_minus_A,osi_target_t06h,C0_direct_osi,1,6486,0.00888284672749171,0.00342923908715363,0.5117776093729388,0.0008044491822562863,0.00888284672749171,0.00342923908715363,0.5117776093729388,0.0008044491822562863,0.0,0.0,0.0,0
C_minus_A,osi_target_t06h,C0_direct_osi,2,6624,0.01409220199965764,0.003445928119306748,1.3154612012872013,-0.0007074555592926716,0.01409220199965764,0.003445928119306748,1.3154612012872013,-0.0007074555592926716,0.0,0.0,0.0,0
C_minus_A,osi_target_t06h,C0_direct_osi,3,6624,0.010181383092389208,0.0035472942859973745,0.6866475605285021,-0.0006759914855270912,0.010181383092389208,0.0035472942859973745,0.6866475605285021,-0.0006759914855270912,0.0,0.0,0.0,0
C_minus_A,osi_target_t06h,C0_direct_osi,4,6624,0.008226608779808813,0.0032522615510621865,0.44829305751416576,0.00024681783653658434,0.008226608779808813,0.0032522615510621865,0.44829305751416576,0.00024681783653658434,0.0,0.0,0.0,0
B_minus_A,osi_target_t06h,C0_direct_osi,0,6624,0.00820007796817277,0.0031312554491670264,0.445406230003561,0.00018032346189796457,0.00820007796817277,0.0031312554491670264,0.445406230003561,0.00018032346189796457,0.0,0.0,0.0,0
B_minus_A,osi_target_t06h,C0_direct_osi,1,6486,0.00888284672749171,0.00342923908715363,0.5117776093729388,0.0008044491822562863,0.00888284672749171,0.00342923908715363,0.5117776093729388,0.0008044491822562863,0.0,0.0,0.0,0
B_minus_A,osi_target_t06h,C0_direct_osi,2,6624,0.01409220199965764,0.003445928119306748,1.3154612012872013,-0.0007074555592926716,0.01409220199965764,0.003445928119306748,1.3154612012872013,-0.0007074555592926716,0.0,0.0,0.0,0
B_minus_A,osi_target_t06h,C0_direct_osi,3,6624,0.010181383092389208,0.0035472942859973745,0.6866475605285021,-0.0006759914855270912,0.010181383092389208,0.0035472942859973745,0.6866475605285021,-0.0006759914855270912,0.0,0.0,0.0,0
B_minus_A,osi_target_t06h,C0_direct_osi,4,6624,0.008226608779808813,0.0032522615510621865,0.44829305751416576,0.00024681783653658434,0.008226608779808813,0.0032522615510621865,0.44829305751416576,0.00024681783653658434,0.0,0.0,0.0,0
C_minus_B,osi_target_t06h,C1_component_osi,0,6624,0.007973436005922143,0.003052477272869527,0.4211253158493082,0.0002190378742926788,0.007973436005922143,0.003052477272869527,0.4211253158493082,0.0002190378742926788,0.0,0.0,0.0,0
C_minus_B,osi_target_t06h,C1_component_osi,1,6486,0.008892573952572761,0.003343953642873185,0.5128990745618134,0.0007439252154605693,0.008892573952572761,0.003343953642873185,0.5128990745618134,0.0007439252154605693,0.0,0.0,0.0,0
C_minus_B,osi_target_t06h,C1_component_osi,2,6624,0.0141986794921406,0.0034237672467797957,1.3354149554992176,-0.0007672287544291572,0.0141986794921406,0.0034237672467797957,1.3354149554992176,-0.0007672287544291572,0.0,0.0,0.0,0
C_minus_B,osi_target_t06h,C1_component_osi,3,6624,0.010043721828859518,0.003597860599820661,0.6682049303145727,-0.0005976805458229959,0.010043721828859518,0.003597860599820661,0.6682049303145727,-0.0005976805458229959,0.0,0.0,0.0,0
C_minus_B,osi_target_t06h,C1_component_osi,4,6624,0.008163332851389652,0.003316355933111073,0.4414233814788333,0.000403025363408725,0.008163332851389652,0.003316355933111073,0.4414233814788333,0.000403025363408725,0.0,0.0,0.0,0
C_minus_A,osi_target_t06h,C1_component_osi,0,6624,0.007973436005922143,0.003052477272869527,0.4211253158493082,0.0002190378742926788,0.007973436005922143,0.003052477272869527,0.4211253158493082,0.0002190378742926788,0.0,0.0,0.0,0
C_minus_A,osi_target_t06h,C1_component_osi,1,6486,0.008892573952572761,0.003343953642873185,0.5128990745618134,0.0007439252154605693,0.008892573952572761,0.003343953642873185,0.5128990745618134,0.0007439252154605693,0.0,0.0,0.0,0
C_minus_A,osi_target_t06h,C1_component_osi,2,6624,0.0141986794921406,0.0034237672467797957,1.3354149554992176,-0.0007672287544291572,0.0141986794921406,0.0034237672467797957,1.3354149554992176,-0.0007672287544291572,0.0,0.0,0.0,0
C_minus_A,osi_target_t06h,C1_component_osi,3,6624,0.010043721828859518,0.003597860599820661,0.6682049303145727,-0.0005976805458229959,0.010043721828859518,0.003597860599820661,0.6682049303145727,-0.0005976805458229959,0.0,0.0,0.0,0
C_minus_A,osi_target_t06h,C1_component_osi,4,6624,0.008163332851389652,0.003316355933111073,0.4414233814788333,0.000403025363408725,0.008163332851389652,0.003316355933111073,0.4414233814788333,0.000403025363408725,0.0,0.0,0.0,0
B_minus_A,osi_target_t06h,C1_component_osi,0,6624,0.007973436005922143,0.003052477272869527,0.4211253158493082,0.0002190378742926788,0.007973436005922143,0.003052477272869527,0.4211253158493082,0.0002190378742926788,0.0,0.0,0.0,0
B_minus_A,osi_target_t06h,C1_component_osi,1,6486,0.008892573952572761,0.003343953642873185,0.5128990745618134,0.0007439252154605693,0.008892573952572761,0.003343953642873185,0.5128990745618134,0.0007439252154605693,0.0,0.0,0.0,0
B_minus_A,osi_target_t06h,C1_component_osi,2,6624,0.0141986794921406,0.0034237672467797957,1.3354149554992176,-0.0007672287544291572,0.0141986794921406,0.0034237672467797957,1.3354149554992176,-0.0007672287544291572,0.0,0.0,0.0,0
