horizon,fipsCode,countyName,sse_reduction_split42,sse_reduction_split20260917,sse_reduction_split20260918,confirmation_improved_splits,confirmation_worsened_splits
osi_target_t01h,39159,Union County,-0.00019493166191455503,-0.00025606010536409767,-0.00012537043811689614,0,2
osi_target_t01h,39161,Van Wert County,0.0007676434062293446,0.0012055628346693947,0.00017389587255096147,2,0
osi_target_t01h,39163,Vinton County,4.8965982241854465e-05,1.8954201543425024e-05,-5.7171408166932936e-05,1,1
osi_target_t01h,39165,Warren County,3.687484087891755e-06,-3.398194505835426e-06,-6.242667245507164e-08,0,2
osi_target_t01h,39167,Washington County,4.7897995659827025e-06,7.181485362675166e-07,4.984637665760884e-06,2,0
osi_target_t01h,39169,Wayne County,-0.0008329773649720582,8.443552684239252e-05,-0.00013114711616090367,1,1
osi_target_t01h,39171,Williams County,-0.0008316934560087808,-0.0009780086785115133,-8.844611222991357e-05,0,2
osi_target_t01h,39173,Wood County,-0.0009066425379338945,-7.910602255963711e-06,-0.0010811401260349216,0,2
osi_target_t01h,39175,Wyandot County,3.125102529541132e-05,2.9283112818882665e-05,5.0639092695103764e-05,2,0
osi_target_t01h,42005,Armstrong County,0.0003675755451561999,-0.002420688638083042,-0.0022520527963076735,0,2
osi_target_t01h,42007,Beaver County,0.0016423915286741947,-0.0002706815254398011,-0.0006659066306545312,0,2
osi_target_t01h,42009,Bedford County,-0.0013162172338018804,-0.0006261129531131785,-0.0007923390141307309,0,2
osi_target_t01h,42013,Blair County,-7.294049757150035e-06,-3.1108141279740796e-05,2.6551940470321395e-05,1,1
osi_target_t01h,42015,Bradford County,3.074262218646061e-05,-4.643333800728733e-06,1.246562302542522e-05,1,1
osi_target_t01h,42019,Butler County,0.00011581662459227843,0.0011081327024665324,-0.002169314762357874,1,1
osi_target_t01h,42021,Cambria County,0.00483371882621314,0.003192342366979215,0.002956822952029644,2,0
osi_target_t01h,42023,Cameron County,0.00018253443732248707,-0.0001483219147393397,-0.00010782824324212861,0,2
osi_target_t01h,42025,Carbon County,-2.4902643181077367e-06,1.5364578876099965e-06,2.5360828332708564e-05,2,0
osi_target_t01h,42027,Centre County,-7.499550910791003e-06,-1.738022082604896e-05,6.560232737544099e-05,1,1
osi_target_t01h,42029,Chester County,-8.248522416760135e-05,-5.365529823588011e-06,4.9444660790407685e-05,1,1
osi_target_t01h,42031,Clarion County,0.001312033536063812,-0.0001953429746923037,-0.0004006236259451214,0,2
osi_target_t01h,42033,Clearfield County,-3.909449624403538e-06,0.0003167660374681202,-0.00038306795890401127,1,1
osi_target_t01h,42035,Clinton County,7.162906523195713e-06,9.907290801670823e-05,-0.0002678234723818857,1,1
osi_target_t01h,42039,Crawford County,0.0005734344653684463,0.0001369244678167611,1.2730521082641305e-05,2,0
osi_target_t01h,42041,Cumberland County,-5.0921813996130695e-05,-2.2729934324817905e-05,3.116326999051504e-05,1,1
osi_target_t01h,42043,Dauphin County,-5.352422552781322e-05,-1.7106741112304198e-05,-2.2302997215355516e-06,0,2
osi_target_t01h,42045,Delaware County,3.985326841051952e-05,-2.6434183766713528e-05,-1.8356997148837213e-05,0,2
osi_target_t01h,42047,Elk County,5.771332433239518e-05,-0.00019278158173709897,-4.979164465441013e-05,0,2
