split_seed,horizon,space,fipsCode,countyName,stateAbbr,fold,n,rmse,mae,sse,bias,weighted_N_sse
42,1,model_raw,39045,Fairfield County,OH,2,143,0.0007448959084885884,0.0003288307120467076,7.934639777107459e-05,2.538559695472247e-05,9.719933726956637e-06
42,1,model_raw,39049,Franklin County,OH,1,143,0.0006675747947207974,0.00044185191145293965,6.372882323615161e-05,0.00019922954758623386,7.80678084642857e-06
42,1,model_raw,39051,Fulton County,OH,2,143,0.00035516782726766977,0.0002024956583127269,1.803861853022333e-05,4.4190329318570205e-05,2.2097307699523576e-06
42,1,model_raw,39053,Gallia County,OH,4,143,0.002010068327465393,0.0006631109233801655,0.0005777735793943718,-0.0002133606595550051,7.077726347581054e-05
42,1,model_raw,39055,Geauga County,OH,0,143,0.0057202619639505434,0.002327268517324285,0.004679159761879363,-3.630670848611616e-05,0.0005731970708302219
42,1,model_raw,39059,Guernsey County,OH,0,143,0.0010604068288507164,0.0006235833551958254,0.0001607981579022723,0.0004423045215388672,1.9697774343028356e-05
42,1,model_raw,39061,Hamilton County,OH,2,143,0.000519071123454299,0.0002136960001399138,3.852918086218747e-05,0.00017967650737779888,4.719824655617964e-06
42,1,model_raw,39063,Hancock County,OH,0,143,0.0006426485336169151,0.0003578470458546595,5.9058590699675896e-05,0.00030495063564232595,7.234677360710296e-06
42,1,model_raw,39065,Hardin County,OH,3,143,0.0009509994921463536,0.0004610937008546695,0.00012932920487095502,5.035542612186349e-05,1.5842827596691988e-05
42,1,model_raw,39069,Henry County,OH,0,143,0.0016547736291152326,0.0007450865324290924,0.00039157343419697307,-4.47752540402171e-05,4.7967745689129195e-05
42,1,model_raw,39073,Hocking County,OH,2,143,0.0009797557904990667,0.0005787290159868094,0.00013726876148935255,0.00030915385018899624,1.6815423282445685e-05
42,1,model_raw,39075,Holmes County,OH,3,143,0.0012599045748724928,0.000842876686250679,0.00022699241390320305,0.0006499834349047127,2.780657070314237e-05
42,1,model_raw,39077,Huron County,OH,1,143,0.0009710346339397695,0.0004792344152815568,0.0001348358812244075,5.153433682198768e-05,1.6517395449989918e-05
42,1,model_raw,39081,Jefferson County,OH,4,143,0.0010887753098308061,0.000462968619097371,0.000169516729567495,-2.2233544282007914e-05,2.0765799372018135e-05
42,1,model_raw,39085,Lake County,OH,2,143,0.0009870675951984445,0.0005075726704085925,0.00013932524856119017,0.0003327491363217746,1.7067342948745795e-05
42,1,model_raw,39087,Lawrence County,OH,3,143,0.002357147427071003,0.0006788042425659709,0.0007945285909914853,-0.00023930345025479746,9.732975239645694e-05
42,1,model_raw,39089,Licking County,OH,1,143,0.003247985754297558,0.00113935586457927,0.001508565838797143,-0.0005874539426103104,0.00018479931525265
42,1,model_raw,39091,Logan County,OH,3,143,0.0031747495032415553,0.001651023698930458,0.0014413019203915476,0.0011020090936822925,0.00017655948524796455
42,1,model_raw,39093,Lorain County,OH,3,143,0.0006152207195596549,0.0003644429130053906,5.4125004329896414e-05,5.7541622932063744e-05,6.63031303041231e-06
42,1,model_raw,39095,Lucas County,OH,1,143,0.0004349909803942068,0.00025733414677137415,2.7058052882476793e-05,8.65992282150752e-05,3.3146114781034065e-06
42,1,model_raw,39097,Madison County,OH,4,143,0.0043681126828943265,0.0014389394760391722,0.002728498402696105,-0.0010545387562442077,0.0003342410543302728
