case,horizon,fipsCode,countyName,stateAbbr,fold,n,rmse,mae,sse,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
AB_P24,osi_target_t01h,54015,Clay County,WV,2,143,0.05119399878228417,0.02677286772261176,0.3747780481188334,-0.024773838936947207,0.050411612307364954,0.000782386474919218,1.5519965323642637,-0.011367764392619495
AB_P24,osi_target_t06h,18013,Brown County,IN,1,138,0.029633338167065253,0.013310149930331104,0.12118259286746318,-0.009816229545336378,0.02943124372239271,0.00020209444467254173,0.6866663419962116,-0.0016472540949936804
AB_P24,osi_target_t06h,39115,Morgan County,OH,2,138,0.03224070351192188,0.006898282780412713,0.14344588888622395,-0.00585613216320599,0.032224566464522306,1.613704739957672e-05,0.05007684872142537,-0.00014355851817862697
AB_P24,osi_target_t06h,39117,Morrow County,OH,4,138,0.018267204760610663,0.010614450463026325,0.046049326227718616,-0.0020077906334613825,0.016631791963926442,0.0016354127966842213,9.833052266594922,-0.007876248685195326
AB_P24,osi_target_t06h,42053,Forest County,PA,3,138,0.06898103941024603,0.023825628422689524,0.6566569641402724,-0.014849748442244666,0.06899869105176959,-1.765164152356391e-05,-0.025582574472782227,0.00033610848606935306
AB_P24,osi_target_t06h,42131,Wyoming County,PA,3,138,0.016052671187503822,0.003622972641057233,0.03556097881106792,-0.0032561369196566566,0.016054443099013296,-1.771911509473173e-06,-0.011036891772231439,7.850953216946566e-06
AB_P24,osi_target_t06h,54013,Calhoun County,WV,2,138,0.04431379512463942,0.02255969692482325,0.27099231649209526,-0.021239925433180845,0.043961679553853834,0.00035211557078558553,0.8009602325457887,-0.004289477343084436
AB_P24,osi_target_t06h,54015,Clay County,WV,2,138,0.052099738367038954,0.027519697868917992,0.3745848178321197,-0.02589464308990036,0.05130309575083716,0.0007966426162017912,1.5528158769810618,-0.011367764392619606
AB_P24,osi_target_t24h,18013,Brown County,IN,1,120,0.03218410421894952,0.014482619235407557,0.12429798772514454,-0.01280559489982441,0.03153700980103376,0.0006470944179157653,2.0518572369361276,-0.004948029262284645
AB_P24,osi_target_t24h,39115,Morgan County,OH,2,120,0.034585485577016004,0.00780896386978674,0.14353869751175782,-0.006912842746486318,0.034499643150416315,8.584242659968877e-05,0.2488212014988722,-0.0007116522110297285
AB_P24,osi_target_t24h,39117,Morrow County,OH,4,120,0.019922811031304985,0.010796609155372287,0.04763020792669051,0.006207133067625694,0.010524015799697988,0.009398795231606997,89.30806842647195,-0.03433961890041536
AB_P24,osi_target_t24h,42053,Forest County,PA,3,120,0.009698154194895716,0.006339577696570953,0.011286503374556804,0.0035277074233711447,0.009525734075397033,0.00017242011949868304,1.8100454845155545,-0.0003977502135351831
AB_P24,osi_target_t24h,42131,Wyoming County,PA,3,120,0.0027298727010392427,0.001263453057038168,0.0008942645956655147,-0.0008866499152079445,0.0028883454953760176,-0.00015847279433677496,-5.486628749589539,0.00010684016841355727
AB_P24,osi_target_t24h,54013,Calhoun County,WV,2,120,0.04807724235397786,0.02624358948971063,0.27737054788357474,-0.02506475862027662,0.04656351774043367,0.0015137246135441887,3.2508811339864385,-0.017191205759932937
AB_P24,osi_target_t24h,54015,Clay County,WV,2,120,0.05366984584184283,0.02913707876831387,0.34565428232246087,-0.026796621205379362,0.05018563470760494,0.0034842111342378926,6.942646345986958,-0.04342253060184148
AB_P24,osi_target_t48h,18013,Brown County,IN,1,96,0.017277270414225405,0.008466917789019224,0.028656391004761774,-0.002513611277888898,0.017277270414225405,0.0,0.0,0.0
AB_P24,osi_target_t48h,39115,Morgan County,OH,2,96,0.03857661169085658,0.008499269791595614,0.1428628770765247,-0.0074716802501162425,0.03857661169085658,0.0,0.0,0.0
AB_P24,osi_target_t48h,39117,Morrow County,OH,4,96,0.006628136061367782,0.0051148377071732485,0.004217490014208386,-0.00483437980586649,0.006628136061367782,0.0,0.0,0.0
AB_P24,osi_target_t48h,42053,Forest County,PA,3,96,0.007001260076209866,0.005266083301553576,0.004705693694854097,0.0012026366714988385,0.007001260076209866,0.0,0.0,0.0
AB_P24,osi_target_t48h,42131,Wyoming County,PA,3,96,0.0028963207220625902,0.001348142524803947,0.0008053126776047198,-0.0010872615856185278,0.0028963207220625902,0.0,0.0,0.0
AB_P24,osi_target_t48h,54013,Calhoun County,WV,2,96,0.04949285046696422,0.03043259025806112,0.23515605574514695,-0.028462201201676196,0.04949285046696422,0.0,0.0,0.0
AB_P24,osi_target_t48h,54015,Clay County,WV,2,96,0.05714943168179572,0.03392082663725176,0.3135415239890147,-0.02974719498064284,0.05714943168179572,0.0,0.0,0.0
AB_P48,osi_target_t01h,18013,Brown County,IN,1,143,0.028886273406564588,0.012900144851915152,0.11932160115858846,-0.009178266927273127,0.02892942207308759,-4.3148666523003254e-05,-0.14915149847788411,0.0003567378334587423
AB_P48,osi_target_t01h,39115,Morgan County,OH,2,143,0.031670599906368134,0.00668647064367438,0.1434328464753821,-0.0053313957311832425,0.031664786178197714,5.8137281704201405e-06,0.018360231891989542,-5.2654704711802e-05
AB_P48,osi_target_t01h,39117,Morrow County,OH,4,143,0.017843470446475395,0.009581424903819625,0.04552968957311644,-0.005224214700246289,0.017959500045327124,-0.00011602959885172875,-0.6460625215562121,0.0005940512154525707
AB_P48,osi_target_t01h,42053,Forest County,PA,3,143,0.09412881454779301,0.03408537056053027,1.2670134231287116,-0.026318801279617485,0.09413286581485097,-4.051267057963992e-06,-0.00430377533170434,0.00010906586318193412
AB_P48,osi_target_t01h,42131,Wyoming County,PA,3,143,0.015774894514452385,0.0034934394271721905,0.03558516346272028,-0.0031770471125459193,0.01577127595360595,3.6185608464356367e-06,0.022943995508550863,-1.6323698435412315e-05
AB_P48,osi_target_t01h,54013,Calhoun County,WV,2,143,0.044124438804900745,0.022150037417445003,0.2784161522781826,-0.02073205254014249,0.043186635042322584,0.0009378037625781613,2.171513852975848,-0.011708933460319204
AB_P48,osi_target_t01h,54015,Clay County,WV,2,143,0.05125270571564369,0.02684936732862703,0.37563809757393574,-0.024679406370543968,0.050411612307364954,0.0008410934082787383,1.6684517113844777,-0.012227813847721813
AB_P48,osi_target_t06h,18013,Brown County,IN,1,138,0.02938729402790748,0.013183661329673831,0.11917860093901075,-0.00969469290528214,0.02943124372239271,-4.39496944852312e-05,-0.14933006195654297,0.0003567378334587423
AB_P48,osi_target_t06h,39115,Morgan County,OH,2,138,0.03223048618401001,0.006799046692580237,0.1433549850727571,-0.005654249623395414,0.032224566464522306,5.919719487705588e-06,0.01837020676205281,-5.265470471177425e-05
