horizon,fipsCode,countyName,stateAbbr,improved_splits,worsened_splits,unchanged_splits,split42_sse_reduction,split20260917_sse_reduction,split20260918_sse_reduction
osi_target_t01h,54059,Mingo County,WV,3,0,0,0.001218870575413429,0.0008876894037153638,0.0020923752294074657
osi_target_t01h,54063,Monroe County,WV,1,2,0,-4.402357865720377e-06,5.4052537177069716e-05,-5.3731187011875066e-05
osi_target_t01h,54067,Nicholas County,WV,3,0,0,1.4026264207392392e-05,4.626537799828131e-05,5.7671946391094856e-05
osi_target_t01h,54069,Ohio County,WV,1,2,0,-0.0006771869898651497,-0.00043163993081267275,0.00041923839767887827
osi_target_t01h,54071,Pendleton County,WV,0,3,0,-0.0008495788038685457,-0.0014237161739809653,-0.0020712324512981387
osi_target_t01h,54073,Pleasants County,WV,1,2,0,0.00026217184338705405,-2.3170942464409774e-05,-0.00020951013527185404
osi_target_t01h,54075,Pocahontas County,WV,1,2,0,1.6214541765354005e-05,-0.001411838305205691,-0.0018161485070360226
osi_target_t01h,54077,Preston County,WV,0,3,0,-1.6821422602627135e-05,-5.3153904504679717e-05,-0.00023908245393315175
osi_target_t01h,54079,Putnam County,WV,1,2,0,-1.0108632301737924e-05,8.587363149491006e-07,-1.9619617686422698e-06
osi_target_t01h,54081,Raleigh County,WV,1,2,0,-3.1837840041985083e-05,7.245179089640378e-06,-1.3461286334898675e-05
osi_target_t01h,54083,Randolph County,WV,0,3,0,-0.0013114079048194994,-0.0003606624026258557,-0.002793814341696746
osi_target_t01h,54085,Ritchie County,WV,2,1,0,0.00037150467177670364,0.000715918739910771,-0.0018511279263919017
