feature_set,component,candidate,horizon,stage,feature,gain,gain_fraction
base,P_t,l2,osi_target_t06h,regression,total_tp_next_48h,1.2338170610601082,0.006057156249001683
base,P_t,l2,osi_target_t06h,regression,min_t2m_next_48h,2.105409676441923,0.01033605044123111
base,P_t,l2,osi_target_t06h,regression,gust_gt30_next_48h,0.39193794707534835,0.001924134023003821
base,P_t,l2,osi_target_t06h,regression,gust_gt40_next_48h,0.03805550024844706,0.0001868251934696958
base,P_t,l2,osi_target_t06h,regression,gust_peak4h_mean_next_48h,0.5764531128224917,0.0028299710587476818
base,P_t,l2,osi_target_t06h,regression,gust_change_1h,0.012554140063002706,6.16318174982301e-05
base,P_t,l2,osi_target_t06h,regression,gust_change_3h,0.06939375016372651,0.00034067350883017195
base,P_t,l2,osi_target_t06h,regression,pressure_change_3h,1.4098783994559199,0.00692149105983296
base,P_t,l2,osi_target_t06h,regression,pressure_change_6h,2.5411008234950714,0.012474981274089096
base,P_t,l2,osi_target_t06h,regression,temp_change_6h,0.24670864478684962,0.00121116238104978
base,P_t,l2,osi_target_t06h,regression,wind_change_1h,0.0009330780012533069,4.580743308283793e-06
base,P_t,l2,osi_target_t06h,regression,cumul_gust_since_onset,17.31924868799979,0.08502508088873105
base,P_t,l2,osi_target_t06h,regression,cumul_tp_since_onset,2.486398544278927,0.012206432343420224
base,P_t,l2,osi_target_t06h,regression,gust_gt30_since_onset,0.3585713673965074,0.0017603280642534598
base,P_t,l2,osi_target_t06h,regression,gust_at_t1h,0.04466123424936086,0.00021925460642375176
base,P_t,l2,osi_target_t06h,regression,wind_speed_at_t1h,0.23864819132722914,0.0011715913396177725
base,P_t,l2,osi_target_t06h,regression,t2m_at_t1h,0.06080233133980073,0.00029849580853769927
base,P_t,l2,osi_target_t06h,regression,tp_at_t1h,0.013803109992295504,6.776336345491429e-05
base,P_t,l2,osi_target_t06h,regression,gust_at_t6h,0.15493121166946366,0.0007606010538732337
base,P_t,l2,osi_target_t06h,regression,wind_speed_at_t6h,0.13123356824507937,0.0006442626326559978
base,P_t,l2,osi_target_t06h,regression,t2m_at_t6h,2.5310857605654746,0.012425814502999037
base,P_t,l2,osi_target_t06h,regression,tp_at_t6h,0.026651833672076464,0.00013084137508640495
base,P_t,l2,osi_target_t06h,regression,gust_at_t24h,0.044577327236765996,0.00021884268321267428
base,P_t,l2,osi_target_t06h,regression,wind_speed_at_t24h,0.08453835238469765,0.0004150226363277136
base,P_t,l2,osi_target_t06h,regression,t2m_at_t24h,2.144813756167423,0.01052949619204639
base,P_t,l2,osi_target_t06h,regression,tp_at_t24h,0.0,0.0
base,P_t,l2,osi_target_t06h,regression,gust_at_t48h,0.13036508986260742,0.0006399990271122449
base,P_t,l2,osi_target_t06h,regression,wind_speed_at_t48h,0.19178032624768093,0.0009415037595351665
base,P_t,l2,osi_target_t06h,regression,t2m_at_t48h,2.783671353070531,0.01366582847941078
base,P_t,l2,osi_target_t06h,regression,tp_at_t48h,0.002162326010875404,1.0615468793971196e-05
base,P_t,l2,osi_target_t06h,regression,hour_of_day,0.13418428786098957,0.0006587485482140188
base,P_t,l2,osi_target_t06h,regression,hour_sin,0.09262768412008882,0.0004547354493675757
