component,horizon,model,subset,threshold,actual_zero_pct,rmse,mae,n
R_t,osi_target_t06h,catboost,zero,0.0,50.77314899035837,0.000747728465188092,0.00035396397682776234,16746
R_t,osi_target_t06h,simple_average,zero,0.0,50.77314899035837,0.0007757038394217775,0.0003881814227845776,16746
R_t,osi_target_t06h,static_convex,zero,0.0,50.77314899035837,0.0007485019396483697,0.0003692479391428452,16746
R_t,osi_target_t06h,safe_convex,zero,0.0,50.77314899035837,0.0007485019396483704,0.0003692479391428457,16746
R_t,osi_target_t06h,lightgbm,positive,0.0,50.77314899035837,0.005676022747077098,0.0017270794046816752,16236
R_t,osi_target_t06h,xgboost,positive,0.0,50.77314899035837,0.00568501009338389,0.0015819116130976361,16236
R_t,osi_target_t06h,catboost,positive,0.0,50.77314899035837,0.005715505556230126,0.0016009934377909797,16236
R_t,osi_target_t06h,simple_average,positive,0.0,50.77314899035837,0.005667985580991277,0.0016125560340726954,16236
R_t,osi_target_t06h,static_convex,positive,0.0,50.77314899035837,0.005685547214222589,0.0016107680500974469,16236
R_t,osi_target_t06h,safe_convex,positive,0.0,50.77314899035837,0.005685547214222589,0.0016107680500974473,16236
R_t,osi_target_t06h,lightgbm,positive_tail_95,0.0082019285,50.77314899035837,0.02415571586290842,0.015412728107190327,812
R_t,osi_target_t06h,xgboost,positive_tail_95,0.0082019285,50.77314899035837,0.02452387021895268,0.015616410467789223,812
R_t,osi_target_t06h,catboost,positive_tail_95,0.0082019285,50.77314899035837,0.024685565777154667,0.015886132434041765,812
R_t,osi_target_t06h,simple_average,positive_tail_95,0.0082019285,50.77314899035837,0.02443187979407764,0.015612634907981215,812
R_t,osi_target_t06h,static_convex,positive_tail_95,0.0082019285,50.77314899035837,0.02450563030925121,0.015640783985638375,812
R_t,osi_target_t06h,safe_convex,positive_tail_95,0.0082019285,50.77314899035837,0.02450563030925121,0.015640783985638375,812
P_t,osi_target_t24h,lightgbm,zero,0.0,41.816596931659696,0.003663224830275331,0.0018925601053059469,11993
P_t,osi_target_t24h,xgboost,zero,0.0,41.816596931659696,0.0029217631059513124,0.0011641583864022897,11993
P_t,osi_target_t24h,catboost,zero,0.0,41.816596931659696,0.002662765452072076,0.0010732012361690693,11993
P_t,osi_target_t24h,simple_average,zero,0.0,41.816596931659696,0.002854158677992395,0.0013766399092924352,11993
P_t,osi_target_t24h,static_convex,zero,0.0,41.816596931659696,0.0031676775007064674,0.001624828328677987,11993
P_t,osi_target_t24h,safe_convex,zero,0.0,41.816596931659696,0.003167677500706468,0.0016248283286779876,11993
P_t,osi_target_t24h,lightgbm,positive,0.0,41.816596931659696,0.017426541693145874,0.006558893630791676,16687
P_t,osi_target_t24h,xgboost,positive,0.0,41.816596931659696,0.017915639513067266,0.006275542735241284,16687
P_t,osi_target_t24h,catboost,positive,0.0,41.816596931659696,0.017821898872667327,0.006227626209405553,16687
P_t,osi_target_t24h,simple_average,positive,0.0,41.816596931659696,0.01751119845258675,0.006199244543012103,16687
P_t,osi_target_t24h,static_convex,positive,0.0,41.816596931659696,0.01757472782487757,0.006354213678712839,16687
P_t,osi_target_t24h,safe_convex,positive,0.0,41.816596931659696,0.01757472782487757,0.006354213678712839,16687
P_t,osi_target_t24h,lightgbm,positive_tail_95,0.038454849199999974,41.816596931659696,0.07159611068980025,0.05143894841712194,835
P_t,osi_target_t24h,xgboost,positive_tail_95,0.038454849199999974,41.816596931659696,0.07314044371996758,0.050985945464400426,835
P_t,osi_target_t24h,catboost,positive_tail_95,0.038454849199999974,41.816596931659696,0.07236569582280535,0.05083220907832089,835
P_t,osi_target_t24h,simple_average,positive_tail_95,0.038454849199999974,41.816596931659696,0.07199423767875512,0.05056834631038973,835
P_t,osi_target_t24h,static_convex,positive_tail_95,0.038454849199999974,41.816596931659696,0.07222837020840246,0.05106915213989586,835
P_t,osi_target_t24h,safe_convex,positive_tail_95,0.038454849199999974,41.816596931659696,0.07222837020840246,0.05106915213989586,835
N_t,osi_target_t24h,lightgbm,zero,0.0,60.61018131101813,0.0008131506496757242,0.00042272084276112555,17383
N_t,osi_target_t24h,xgboost,zero,0.0,60.61018131101813,0.0005692102025871049,0.0002499073282911806,17383
N_t,osi_target_t24h,catboost,zero,0.0,60.61018131101813,0.0005794239873163668,0.00027921712977961024,17383
N_t,osi_target_t24h,simple_average,zero,0.0,60.61018131101813,0.0006071301307686244,0.00031728176694397213,17383
