component,horizon,model,rmse,mae,n
R_t,osi_target_t24h,simple_average,0.0034229608225520044,0.000830241639578733,28680
R_t,osi_target_t24h,static_convex,0.0034298359561807674,0.0008450040296959816,28680
R_t,osi_target_t24h,safe_convex,0.003429835956180767,0.0008450040296959823,28680
P_t,osi_target_t48h,lightgbm,0.012221488099174468,0.003660085672865705,22944
P_t,osi_target_t48h,xgboost,0.012551531898508692,0.0031913718640512716,22944
P_t,osi_target_t48h,catboost,0.012254311805433593,0.0031756320659633193,22944
P_t,osi_target_t48h,simple_average,0.01223670913524123,0.003284882571426623,22944
P_t,osi_target_t48h,static_convex,0.012229980872311377,0.0034108713504947996,22944
P_t,osi_target_t48h,safe_convex,0.012229980872311377,0.0034108713504948014,22944
N_t,osi_target_t48h,lightgbm,0.003435584367091952,0.0006558757591678592,22944
N_t,osi_target_t48h,xgboost,0.003447805015238696,0.0005508365307130992,22944
N_t,osi_target_t48h,catboost,0.0034190619212104674,0.0005664746831837715,22944
N_t,osi_target_t48h,simple_average,0.003422770730260164,0.0005858253583597143,22944
N_t,osi_target_t48h,static_convex,0.003424144976759664,0.0005866655169661221,22944
N_t,osi_target_t48h,safe_convex,0.0034241449767596637,0.0005866655169661234,22944
D_t,osi_target_t48h,lightgbm,0.010598166807220042,0.003614442225445917,22944
D_t,osi_target_t48h,xgboost,0.01106542064593743,0.0032566177491241102,22944
D_t,osi_target_t48h,catboost,0.011056629990403284,0.003219655598208924,22944
D_t,osi_target_t48h,simple_average,0.01078857987933416,0.003302602422773514,22944
D_t,osi_target_t48h,static_convex,0.010847798962948433,0.0036022876841269287,22944
D_t,osi_target_t48h,safe_convex,0.010847798962948432,0.0036022876841269287,22944
R_t,osi_target_t48h,lightgbm,0.003280293626646243,0.0007568025942804183,22944
R_t,osi_target_t48h,xgboost,0.0032801714957601804,0.0006503532576141508,22944
R_t,osi_target_t48h,catboost,0.0032600617169696974,0.0006820110330471653,22944
R_t,osi_target_t48h,simple_average,0.0032602685867535656,0.0006896214177831141,22944
R_t,osi_target_t48h,static_convex,0.003259502091024567,0.0006966234151347186,22944
R_t,osi_target_t48h,safe_convex,0.003259502091024567,0.0006966234151347188,22944
