horizon,model,rmse,mae,n,fipsCode,component
osi_target_t06h,catboost,0.0010621656299667048,0.000469078796614995,138,18043,N_t
osi_target_t06h,simple_average,0.001162688846825859,0.0005296859994073997,138,18043,N_t
osi_target_t06h,static_convex,0.0011423771925213886,0.0005240186372356029,138,18043,N_t
osi_target_t06h,safe_convex,0.0011423771925213886,0.0005240186372356029,138,18043,N_t
osi_target_t06h,lightgbm,0.0009735427761747273,0.0005966932573925955,138,18045,N_t
osi_target_t06h,xgboost,0.0009948571321019097,0.00043313443156734567,138,18045,N_t
osi_target_t06h,catboost,0.0006642228246657981,0.00033007295442632134,138,18045,N_t
osi_target_t06h,simple_average,0.0008468864526107501,0.0004533002144620875,138,18045,N_t
osi_target_t06h,static_convex,0.0008521772365806005,0.00048226713324336055,138,18045,N_t
osi_target_t06h,safe_convex,0.0008521772365806038,0.0004822671332433644,138,18045,N_t
osi_target_t06h,lightgbm,0.003188957687302465,0.0008750134506101456,138,18047,N_t
osi_target_t06h,xgboost,0.0031275185853165935,0.001010517066778491,138,18047,N_t
osi_target_t06h,catboost,0.0031559446451905264,0.0009194163262171737,138,18047,N_t
osi_target_t06h,simple_average,0.0031186545526408617,0.0009344701194130747,138,18047,N_t
osi_target_t06h,static_convex,0.0031416776311695344,0.0009094392297598643,138,18047,N_t
osi_target_t06h,safe_convex,0.0031416776311695344,0.0009094392297598643,138,18047,N_t
osi_target_t06h,lightgbm,0.0007859689287346903,0.0002564067069752568,138,18051,N_t
osi_target_t06h,xgboost,0.0007210608246584904,0.00019596132216805496,138,18051,N_t
osi_target_t06h,catboost,0.0007596171947777083,0.00025853825582301495,138,18051,N_t
osi_target_t06h,simple_average,0.00074050186584059,0.00023203157258052108,138,18051,N_t
osi_target_t06h,static_convex,0.0007381528987725454,0.00021889232135910409,138,18051,N_t
osi_target_t06h,safe_convex,0.0007381528987725454,0.00021889232135910409,138,18051,N_t
osi_target_t06h,lightgbm,0.001186013815976444,0.00049302400778335,138,18059,N_t
osi_target_t06h,xgboost,0.0010663290541182153,0.0002790303282198212,138,18059,N_t
osi_target_t06h,catboost,0.001080344727112605,0.0003619253430246653,138,18059,N_t
osi_target_t06h,simple_average,0.0011043603216751843,0.000376331768970193,138,18059,N_t
osi_target_t06h,static_convex,0.0011236361419131472,0.00040960344280478896,138,18059,N_t
osi_target_t06h,safe_convex,0.0011236361419131489,0.0004096034428047918,138,18059,N_t
osi_target_t06h,lightgbm,0.0031737027391837975,0.0011291297989415867,138,18061,N_t
osi_target_t06h,xgboost,0.0029331099153143718,0.0009521462288847739,138,18061,N_t
osi_target_t06h,catboost,0.003036937421779685,0.0009728307833478735,138,18061,N_t
osi_target_t06h,simple_average,0.0030416856922987883,0.0010165590484817332,138,18061,N_t
osi_target_t06h,static_convex,0.0030782688120663754,0.001044325170686423,138,18061,N_t
osi_target_t06h,safe_convex,0.003078268812066379,0.0010443251706864255,138,18061,N_t
osi_target_t06h,lightgbm,0.0015075958213074182,0.0005907287559954825,138,18065,N_t
osi_target_t06h,xgboost,0.0015459331272198208,0.00039948506352481295,138,18065,N_t
osi_target_t06h,catboost,0.0014844117612432869,0.0004723013591956286,138,18065,N_t
osi_target_t06h,simple_average,0.0015061424250189788,0.00048343117006668674,138,18065,N_t
osi_target_t06h,static_convex,0.0015015275082100813,0.0005128400009216248,138,18065,N_t
osi_target_t06h,safe_convex,0.0015015275082100813,0.0005128400009216273,138,18065,N_t
osi_target_t06h,lightgbm,0.0013898813800637098,0.0004185126938866798,138,18067,N_t
osi_target_t06h,xgboost,0.0013358231829321337,0.0003848137756464184,138,18067,N_t
osi_target_t06h,catboost,0.0012542033607669473,0.0003764728005835123,138,18067,N_t
osi_target_t06h,simple_average,0.0013128718612902162,0.0003884460820581317,138,18067,N_t
osi_target_t06h,static_convex,0.0013066338959447541,0.00038073071425337673,138,18067,N_t
osi_target_t06h,safe_convex,0.0013066338959447548,0.00038073071425337717,138,18067,N_t
osi_target_t06h,lightgbm,0.0006219484064626432,0.00041544263509611537,138,18069,N_t
osi_target_t06h,xgboost,0.0005674827341390764,0.0002388384995192167,138,18069,N_t
osi_target_t06h,catboost,0.0004858024630193436,0.0002242828463877846,138,18069,N_t
osi_target_t06h,simple_average,0.0005345293055804736,0.00029002374302369995,138,18069,N_t
osi_target_t06h,static_convex,0.0005511588315761455,0.0003229347487472959,138,18069,N_t
osi_target_t06h,safe_convex,0.0005511588315761455,0.0003229347487472959,138,18069,N_t
osi_target_t06h,lightgbm,0.0010622837172216545,0.0005645111539438033,138,18071,N_t
osi_target_t06h,xgboost,0.0013182069001441104,0.0005242913263451259,138,18071,N_t
osi_target_t06h,catboost,0.001167060234201846,0.0004403964987046374,138,18071,N_t
osi_target_t06h,simple_average,0.001111244413100397,0.0005075279360321445,138,18071,N_t
osi_target_t06h,static_convex,0.001072548224929737,0.000522406483912155,138,18071,N_t
osi_target_t06h,safe_convex,0.001072548224929737,0.000522406483912155,138,18071,N_t
osi_target_t06h,lightgbm,0.002252552613685429,0.0010172344212927278,138,18073,N_t
osi_target_t06h,xgboost,0.0010966069713447993,0.0006256230371436992,138,18073,N_t
osi_target_t06h,catboost,0.0008018597483975147,0.0004090493156979161,138,18073,N_t
osi_target_t06h,simple_average,0.0013429976139956276,0.000683347080287416,138,18073,N_t
osi_target_t06h,static_convex,0.0010687058644284636,0.0005887741462813318,138,18073,N_t
osi_target_t06h,safe_convex,0.0010687058644284779,0.0005887741462813377,138,18073,N_t
osi_target_t06h,lightgbm,0.0023832495493518314,0.000755420332862105,138,18077,N_t
osi_target_t06h,xgboost,0.002288134826650053,0.0007150999866796057,138,18077,N_t
osi_target_t06h,catboost,0.002374612711881152,0.0007517472717219235,138,18077,N_t
osi_target_t06h,simple_average,0.002317448303088603,0.0007331862473960606,138,18077,N_t
osi_target_t06h,static_convex,0.002305171858926333,0.0007243386723748129,138,18077,N_t
osi_target_t06h,safe_convex,0.0023051718589263324,0.0007243386723748131,138,18077,N_t
osi_target_t06h,lightgbm,0.0015241454343565414,0.0005436433410965884,138,18083,N_t
osi_target_t06h,xgboost,0.0007085354212721094,0.0002928663548076481,138,18083,N_t
osi_target_t06h,catboost,0.0010063048070850285,0.0004810553948327925,138,18083,N_t
osi_target_t06h,simple_average,0.0009789527221263285,0.0004268080112073979,138,18083,N_t
osi_target_t06h,static_convex,0.0007783514135442801,0.00035749292932923786,138,18083,N_t
osi_target_t06h,safe_convex,0.0007783514135442866,0.0003574929293292396,138,18083,N_t
osi_target_t06h,lightgbm,0.00046263557727070344,0.0003756578973181388,138,18085,N_t
osi_target_t06h,xgboost,0.0004997462875626966,0.00030949338035699095,138,18085,N_t
osi_target_t06h,catboost,0.0005291730073359144,0.0003676947443962038,138,18085,N_t
osi_target_t06h,simple_average,0.00048520788156039557,0.000349715107191235,138,18085,N_t
osi_target_t06h,static_convex,0.00047921653849714697,0.0003592978564206946,138,18085,N_t
osi_target_t06h,safe_convex,0.00047921653849714615,0.0003592978564206951,138,18085,N_t
osi_target_t06h,lightgbm,0.0007500347021561063,0.00041723026877878573,138,18087,N_t
