horizon,model,rmse,mae,n,fipsCode
osi_target_t01h,v1.8_rule,0.0026712293624575147,0.0018339929669580531,143,18089
osi_target_t01h,lightgbm,0.0015978957324074962,0.000844067675873962,143,18091
osi_target_t01h,xgboost,0.0015427809055382465,0.0007927575783643407,143,18091
osi_target_t01h,catboost,0.0016015289917431694,0.000848173172179127,143,18091
osi_target_t01h,simple_average,0.0015705469591468298,0.0008195783745649633,143,18091
osi_target_t01h,static_convex,0.0015625055557964165,0.0008327695812119962,143,18091
osi_target_t01h,safe_convex,0.0015625055557964165,0.0008327695812119963,143,18091
osi_target_t01h,v1.8_rule,0.0013944006555708939,0.0007375877262966362,143,18091
osi_target_t01h,lightgbm,0.007284347344002108,0.002501806419385139,143,18093
osi_target_t01h,xgboost,0.007795995403289056,0.002344922689534737,143,18093
osi_target_t01h,catboost,0.007930391618920422,0.0024469237934004,143,18093
osi_target_t01h,simple_average,0.0076018205951075375,0.002387846472986983,143,18093
osi_target_t01h,static_convex,0.007442761596885416,0.0024485310313024857,143,18093
osi_target_t01h,safe_convex,0.007442761596885414,0.0024485310313024857,143,18093
