scope,fold,component,horizon,candidate,weight,safe_alpha
final,all,P_t,osi_target_t24h,xgboost,0.06632354415503594,0.9999999999999992
final,all,P_t,osi_target_t24h,catboost,0.29297863242950944,0.9999999999999992
outer,0,N_t,osi_target_t24h,lightgbm,0.6886126723612475,0.9999999999999974
outer,0,N_t,osi_target_t24h,xgboost,0.17738074525026187,0.9999999999999974
outer,0,N_t,osi_target_t24h,catboost,0.13400658238849075,0.9999999999999974
outer,1,N_t,osi_target_t24h,lightgbm,0.6683910560703327,1.0
outer,1,N_t,osi_target_t24h,xgboost,0.24082268627819828,1.0
outer,1,N_t,osi_target_t24h,catboost,0.09078625765146917,1.0
outer,2,N_t,osi_target_t24h,lightgbm,0.2544051054275372,1.0
outer,2,N_t,osi_target_t24h,xgboost,0.541582941818514,1.0
outer,2,N_t,osi_target_t24h,catboost,0.20401195275394876,1.0
outer,3,N_t,osi_target_t24h,lightgbm,0.6655845877663668,1.0
outer,3,N_t,osi_target_t24h,xgboost,0.22891906782854143,1.0
outer,3,N_t,osi_target_t24h,catboost,0.10549634440509172,1.0
outer,4,N_t,osi_target_t24h,lightgbm,0.5783687976211701,1.0
outer,4,N_t,osi_target_t24h,xgboost,0.22605047765669578,1.0
outer,4,N_t,osi_target_t24h,catboost,0.19558072472213406,1.0
final,all,N_t,osi_target_t24h,lightgbm,0.5808691335082891,0.9999999999999369
final,all,N_t,osi_target_t24h,xgboost,0.2804525822073151,0.9999999999999369
final,all,N_t,osi_target_t24h,catboost,0.13867828428439574,0.9999999999999369
outer,0,D_t,osi_target_t24h,lightgbm,0.5639558787433402,0.999999999999984
outer,0,D_t,osi_target_t24h,xgboost,0.3060009229654476,0.999999999999984
outer,0,D_t,osi_target_t24h,catboost,0.13004319829121214,0.999999999999984
outer,1,D_t,osi_target_t24h,lightgbm,0.8187969199073549,0.9999999999999875
outer,1,D_t,osi_target_t24h,xgboost,0.0,0.9999999999999875
outer,1,D_t,osi_target_t24h,catboost,0.18120308009264519,0.9999999999999875
outer,2,D_t,osi_target_t24h,lightgbm,0.6908835441847861,0.9999999999999863
outer,2,D_t,osi_target_t24h,xgboost,0.3091164558152139,0.9999999999999863
outer,2,D_t,osi_target_t24h,catboost,0.0,0.9999999999999863
outer,3,D_t,osi_target_t24h,lightgbm,0.4562771290047176,1.0
