case,horizon,fipsCode,countyName,stateAbbr,fold,n,rmse,mae,sse,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
B0,osi_target_t01h,39023,Clark County,OH,1,143,0.003339594792691972,0.0016930246447642537,0.0015948637532506727,0.0010997926237416421,0.003339594792691972,0.0,0.0,0.0
B0,osi_target_t01h,39025,Clermont County,OH,4,143,0.0018205769301903566,0.0006291625057803162,0.00047397355130001197,-0.00028046975381004535,0.0018205769301903566,0.0,0.0,0.0
B0,osi_target_t01h,39027,Clinton County,OH,4,143,0.0014350846463022952,0.0007059377215986442,0.0002945039157135195,0.000261031837468973,0.0014350846463022952,0.0,0.0,0.0
B0,osi_target_t01h,39029,Columbiana County,OH,1,143,0.00988591456505607,0.00568016441182387,0.01397557687062505,0.005121197654454897,0.00988591456505607,0.0,0.0,0.0
B0,osi_target_t01h,39031,Coshocton County,OH,2,143,0.00864703066420574,0.006083345459569441,0.010692272921003153,0.004510780018580757,0.00864703066420574,0.0,0.0,0.0
B0,osi_target_t01h,39033,Crawford County,OH,2,143,0.005555962331583382,0.002679073066063856,0.004414226592486204,-0.0006036699063287921,0.005555962331583382,0.0,0.0,0.0
B0,osi_target_t01h,39035,Cuyahoga County,OH,0,143,0.005675036459693649,0.0036924096483502544,0.004605463551095869,-0.0036924096483502544,0.005675036459693649,0.0,0.0,0.0
B0,osi_target_t01h,39037,Darke County,OH,1,143,0.0014464420840961108,0.0009042267246656449,0.00029918384247813496,0.0008408341047101626,0.0014464420840961108,0.0,0.0,0.0
B0,osi_target_t01h,39039,Defiance County,OH,0,143,0.00897310864584139,0.004852897213701113,0.011513885064120509,-0.004591823402913647,0.00897310864584139,0.0,0.0,0.0
B0,osi_target_t01h,39045,Fairfield County,OH,0,143,0.003864763021564114,0.002333841248805979,0.0021359042294374613,0.0014143641057814248,0.003864763021564114,0.0,0.0,0.0
B0,osi_target_t01h,39049,Franklin County,OH,2,143,0.004647732620369794,0.0026016853805903837,0.0030890028469942737,-0.0006694587560829068,0.004647732620369794,0.0,0.0,0.0
B0,osi_target_t01h,39051,Fulton County,OH,4,143,0.00338364183257908,0.0018901279019868274,0.0016372115833186134,-0.0008208182494509669,0.00338364183257908,0.0,0.0,0.0
B0,osi_target_t01h,39053,Gallia County,OH,0,143,0.002731504368544678,0.0009764329639244349,0.0010669396044991485,-0.0006150525781472271,0.002731504368544678,0.0,0.0,0.0
B0,osi_target_t01h,39055,Geauga County,OH,4,143,0.012274558766386216,0.005426657430228503,0.021545065386054024,-0.0030178286626509118,0.012274558766386216,0.0,0.0,0.0
B0,osi_target_t01h,39059,Guernsey County,OH,1,143,0.02165574886517225,0.012734442876555209,0.06706291862433152,-0.011904747921208674,0.02165574886517225,0.0,0.0,0.0
B0,osi_target_t01h,39061,Hamilton County,OH,1,143,0.0011140000582118982,0.0004986174695860122,0.00017746244654654405,0.00034616991713845975,0.0011140000582118982,0.0,0.0,0.0
B0,osi_target_t01h,39063,Hancock County,OH,1,143,0.0019059335425723808,0.001177715922340925,0.0005194593216244583,0.001114128693035728,0.0019059335425723808,0.0,0.0,0.0
B0,osi_target_t01h,39065,Hardin County,OH,0,143,0.002658975847119715,0.0012842438788974815,0.0010110318154459388,0.00012600506663487792,0.002658975847119715,0.0,0.0,0.0
B0,osi_target_t01h,39069,Henry County,OH,0,143,0.003085631222738787,0.0015839624271618328,0.0013615201661118864,-0.0014928223121766144,0.003085631222738787,0.0,0.0,0.0
B0,osi_target_t01h,39073,Hocking County,OH,3,143,0.0023669125426984627,0.001702546367092109,0.0008011253228240121,0.00019447583453915596,0.0023669125426984627,0.0,0.0,0.0
B0,osi_target_t01h,39075,Holmes County,OH,0,143,0.009321225471710912,0.005162867120192834,0.012424589934109543,-0.0019580257052261066,0.009321225471710912,0.0,0.0,0.0
B0,osi_target_t01h,39077,Huron County,OH,3,143,0.00406854279301797,0.0025569871082406835,0.0023670847855824413,0.0022829045095201558,0.00406854279301797,0.0,0.0,0.0
B0,osi_target_t01h,39081,Jefferson County,OH,3,143,0.009191572332932593,0.004760649516061209,0.012081355279069061,-0.0019724821623226508,0.009191572332932593,0.0,0.0,0.0
