fipsCode,countyName,stateAbbr,horizon,fold,n,sse,sse_share,rmse,bias,truth_peak,truth_peak_time,prediction_at_truth_peak,base_at_truth_peak,average_at_truth_peak,max_candidate_at_truth_peak,protected_at_truth_peak,prediction_peak,prediction_peak_time,actual_sum,prediction_sum,hours_actual_ge005,hours_actual_ge005_protected,largest_6h_sse_share_within_county
18161,Union County,IN,1,0,143,0.0011722450303704045,0.00025156523964708834,0.002863130750576706,0.0014449755384940326,0.0125,2026-03-16 04:00:00,0.008921543741726438,0.008921543741726438,0.006051398843698577,0.008921543741726438,False,0.010565691475560086,2026-03-15 16:00:00,0.052700000000000004,0.25933150200464666,0,0,0.4364528087951994
18163,Vanderburgh County,IN,1,4,143,5.398878501171135e-05,1.1586060326853993e-05,0.0006144460522542631,0.00012198648509333012,0.0074,2026-03-15 14:00:00,0.004173277105154909,0.004173277105154909,0.005127249343552894,0.0059835494612343,False,0.004377472307102489,2026-03-15 23:00:00,0.0508,0.0682440673683462,0,0,0.509822307333235
18165,Vermillion County,IN,1,4,143,0.027585548736382214,0.0059198930248155306,0.013889058111313957,-0.0015755821181272466,0.1147,2026-03-16 00:00:00,0.006601783562074112,0.006601783562074112,0.006289460010845116,0.0086048720404505,False,0.017753427774175084,2026-03-15 15:00:00,0.42010000000000003,0.19479175710780372,2,0,0.9213657095842346
18167,Vigo County,IN,1,3,143,0.0003158295561536271,6.777741506510434e-05,0.001486135355470897,-0.0001304310986813791,0.0155,2026-03-15 12:00:00,0.004673584180637382,0.004673584180637382,0.004756634022175133,0.0059005722898932,False,0.006618856758790147,2026-03-15 23:00:00,0.1375,0.1188483528885628,0,0,0.6769684226843389
18169,Wabash County,IN,1,3,143,0.00042233044850786415,9.063263885671789e-05,0.0017185341951137527,0.00043116684205625087,0.0108,2026-03-15 12:00:00,0.0012786130094137114,0.0012786130094137114,0.0019615711786970173,0.0031401007436215,False,0.00637569634147026,2026-03-15 23:00:00,0.041400000000000006,0.10305685841404387,0,0,0.46119809848369875
18171,Warren County,IN,1,0,143,0.0026862338257337345,0.0005764691157660913,0.0043341495045980975,0.001554423492691167,0.0283,2026-03-16 16:00:00,0.0024569749474698966,0.0024569749474698966,0.0012954051001084494,0.0028554918244481,False,0.019594394984368754,2026-03-15 23:00:00,0.09019999999999999,0.3124825594548369,0,0,0.4133122432406332
18173,Warrick County,IN,1,3,143,0.0002998649927235947,6.435139992229052e-05,0.001448087701444249,0.0003330839556119492,0.0161,2026-03-15 15:00:00,0.008436539914213118,0.008436539914213118,0.007576146186240071,0.008436539914213118,False,0.010318853215039898,2026-03-15 14:00:00,0.0998,0.14743100565250872,0,0,0.4615405549876235
18175,Washington County,IN,1,4,143,0.002261435614204011,0.00048530689189949704,0.003976711589286268,-0.0001245436225146362,0.0447,2026-03-15 13:00:00,0.020685455722908412,0.020685455722908412,0.015789915105138327,0.020685455722908412,False,0.020685455722908412,2026-03-15 13:00:00,0.2928,0.274990261980407,0,0,0.8189016047595526
18177,Wayne County,IN,1,1,143,0.00047391246959238174,0.00010170220465518207,0.0018204596161224614,0.001352985797096729,0.004,2026-03-16 04:00:00,0.003953060159512155,0.003953060159512155,0.004741599273796043,0.0066162021867599,False,0.005923338303031004,2026-03-15 16:00:00,0.0373,0.23077696898483224,0,0,0.2966395294165649
18179,Wells County,IN,1,0,143,0.003078076155791125,0.0006605589665318598,0.004639505154912043,-0.0008981483047742887,0.0362,2026-03-16 08:00:00,0.003317690819126004,0.003317690819126004,0.0026943085967053933,0.003317690819126004,False,0.008911075771912197,2026-03-14 01:00:00,0.32460000000000006,0.19616479241727672,0,0,0.8991552068840368
18181,White County,IN,1,2,143,0.0005382700757032289,0.00011551342686976671,0.0019401356662664298,0.00029973325163354614,0.0058,2026-03-14 02:00:00,0.0010434613749645688,0.0010434613749645688,0.0,0.0022775292549595,False,0.011450310572746834,2026-03-15 23:00:00,0.0476,0.0904618549835971,0,0,0.6526097151660736
18183,Whitley County,IN,1,1,143,0.0012326402932686588,0.00026452613808634,0.0029359601820681974,0.0007973461408608632,0.0253,2026-03-16 00:00:00,0.004051249372916509,0.004051249372916509,0.0035676647899822497,0.007411231431386888,False,0.004069461445953124,2026-03-15 14:00:00,0.0729,0.18692049814310344,0,0,0.7621139020974204
39017,Butler County,OH,1,1,143,0.00016531546330607598,3.547690377567363e-05,0.0010751986751068754,0.00041634450285750837,0.007,2026-03-16 02:00:00,0.003656234667513122,0.003656234667513122,0.0035566408720869966,0.00528492274150276,False,0.004803922030222825,2026-03-15 16:00:00,0.0735,0.13303726390862372,0,0,0.28350120307884247
39023,Clark County,OH,1,1,143,0.0011830104662379677,0.0002538755155567872,0.0028762476359316786,0.0011723213407450503,0.0643,2026-03-14 01:00:00,0.0535413935058716,0.0535413935058716,0.05968020457861597,0.068619743958619,False,0.053653747692544954,2026-03-14 02:00:00,0.9702999999999999,1.1379419517265423,4,0,0.3673023223190056
39025,Clermont County,OH,1,1,143,0.0005013434653032864,0.00010758893040874872,0.0018724044324782616,0.00011094304714774019,0.0154,2026-03-15 17:00:00,0.00418538873248014,0.00418538873248014,0.004659647484341249,0.006822424705856052,False,0.005467351374853756,2026-03-15 14:00:00,0.1213,0.13716485574212686,0,0,0.5339650600229782
