horizon,fipsCode,countyName,stateAbbr,splits,oracle_improves_splits,oracle_worsens_splits,mean_N_weighted_sse,mean_OSI_sse,mean_oracle_N_sse_reduction
1,39139,Richland County,OH,3,3,0,0.0003000115697070617,0.021854002185111725,0.0010536877884352739
1,39141,Ross County,OH,3,3,0,9.000492726730638e-06,0.0008740330544842307,0.0001228506792034327
1,39143,Sandusky County,OH,3,3,0,4.577527838829295e-06,0.00028625581758479453,2.7683154930718857e-05
1,39145,Scioto County,OH,3,3,0,8.48971008790089e-06,0.0002722053796294947,5.049128289095653e-05
1,39147,Seneca County,OH,3,3,0,6.889707498794648e-06,0.0003549088965250939,5.217301403830245e-05
1,39149,Shelby County,OH,3,3,0,0.0004017935071098742,0.05329584546952173,0.0017582020787107562
1,39151,Stark County,OH,3,1,2,9.674643062977228e-06,0.0011404274629793325,-2.549485970171969e-06
1,39153,Summit County,OH,3,3,0,2.7034185472829927e-05,0.0016870544322501214,5.715539783294047e-05
1,39155,Trumbull County,OH,3,3,0,0.0002974530415733997,0.002868692368850767,0.000968752344456628
1,39157,Tuscarawas County,OH,3,3,0,0.0001108176131206828,0.07593097659927851,0.002206815492793984
1,39159,Union County,OH,3,3,0,1.7985370113079797e-05,0.00288879799518841,0.0002587066421266796
1,39161,Van Wert County,OH,3,3,0,6.0930783749135925e-05,0.005448886055342518,0.00021522634351980524
1,39163,Vinton County,OH,3,3,0,3.588966942332187e-05,0.0014088262620541696,0.0002547487989065751
1,39165,Warren County,OH,3,3,0,6.987266858277843e-06,0.00016919782166343746,4.8324233243847454e-05
1,39167,Washington County,OH,3,3,0,5.7219601708598774e-05,0.0013352684569197107,0.0002837845381995614
1,39169,Wayne County,OH,3,0,3,5.632443217820704e-06,0.010083345777654419,-7.228700028527931e-05
1,39171,Williams County,OH,3,3,0,4.519402686334242e-05,0.01632090825861401,0.0010098645444985349
1,39173,Wood County,OH,3,3,0,5.8498340909548266e-05,0.007241630110485438,0.0009269396989570024
1,39175,Wyandot County,OH,3,3,0,4.0541128992751766e-05,0.0011182775834495413,0.00020225845902491308
1,42005,Armstrong County,PA,3,3,0,7.76582673873051e-05,0.024084862919508464,0.0004292644403379304
1,42007,Beaver County,PA,3,3,0,2.5400688861781478e-05,0.008328980169196904,0.00014329809135544958
1,42009,Bedford County,PA,3,2,1,5.931285957802523e-06,0.016045317803525007,8.025121114372012e-05
1,42013,Blair County,PA,3,2,1,1.566158533596985e-05,0.000328380279460867,2.53958713269693e-05
1,42015,Bradford County,PA,3,3,0,4.607911393763142e-05,0.0020092353453844748,0.0002805236098204754
1,42019,Butler County,PA,3,3,0,3.2117465872364135e-05,0.0027716862723726116,0.00011905156613662067
1,42021,Cambria County,PA,3,3,0,0.00014146055581736725,0.01696423269174598,0.0011091228802639868
1,42023,Cameron County,PA,3,3,0,0.0004680534784126679,0.016345334355949908,0.00393834050011548
1,42025,Carbon County,PA,3,3,0,1.62525135696294e-05,0.00026613392703454325,5.292329374801579e-05
1,42027,Centre County,PA,3,3,0,1.6745659047652653e-05,0.0003139888340405474,5.619065364189553e-05
1,42029,Chester County,PA,3,3,0,0.00028549056161138484,0.01450914036997456,0.0015734933468050383
