split_seed,horizon,fipsCode,countyName,stateAbbr,fold,N_sse,N_weighted_sse,N_signed_allocation,OSI_sse,oracle_N_sse_reduction
42,1,39017,Butler County,OH,1,2.4938517633058437e-05,3.0549684100496585e-06,9.268128289323873e-06,9.497854399477578e-05,1.7143498333717385e-05
42,1,39023,Clark County,OH,1,4.232333223835645e-05,5.184608199198664e-06,1.578221951771962e-05,0.0010566952925929757,3.126196338270182e-05
42,1,39025,Clermont County,OH,1,0.0002718779636951863,3.330505055266032e-05,9.752336344526032e-05,0.00045132553096604043,0.0001623991587594264
42,1,39027,Clinton County,OH,0,4.2299626664462275e-05,5.181704266396628e-06,1.2670281539050872e-05,0.0001679673451381162,2.2443352799165202e-05
42,1,39029,Columbiana County,OH,2,0.00042325794090204716,5.184909776050078e-05,0.00019849838944275902,0.01033159178257625,0.00034065839178807727
42,1,39031,Coshocton County,OH,2,0.0001275948300528515,1.563036668147431e-05,0.00014133244738276206,0.012222196992062532,0.000266696330177889
42,1,39033,Crawford County,OH,4,0.0002415458241298687,2.9589363455908918e-05,0.00010260363193235401,0.006234377874428547,0.00017679440146070534
42,1,39035,Cuyahoga County,OH,4,0.00029792907461190693,3.6496311639958594e-05,0.00013976590984937567,0.0046191472747087944,0.0002451212400947647
42,1,39037,Darke County,OH,0,6.498327789152712e-05,7.96045154171207e-06,4.775165363899329e-06,0.0003340921057398257,3.667595548174155e-06
42,1,39039,Defiance County,OH,1,0.0002059325642184492,2.5226739116760026e-05,0.0001084481197235746,0.011259678812780984,0.00019236101211869282
42,1,39045,Fairfield County,OH,2,7.433187390966194e-05,9.105654553933588e-06,3.3152565601173234e-05,0.0027233482379415415,5.7348461272453496e-05
42,1,39049,Franklin County,OH,1,3.236700940341959e-05,3.964958651918899e-06,-1.8595935526694995e-05,0.0030399346664409395,-4.034798627187016e-05
42,1,39051,Fulton County,OH,2,1.806751924120899e-05,2.2132711070481013e-06,2.2914279819559757e-05,0.001369311156561529,4.37153588800453e-05
42,1,39053,Gallia County,OH,4,0.000564342837652345,6.913199761241225e-05,0.00017303553972047929,0.001062741883698865,0.0002710622936985177
42,1,39055,Geauga County,OH,0,0.004507407387273475,0.0005521574049410006,0.002690249645401822,0.020907199774096292,0.004829587494623317
42,1,39059,Guernsey County,OH,0,0.00013890847712046155,1.701628844725654e-05,-0.00020508248520397326,0.037400994904219505,-0.000425645256898527
