horizon,component,rank,feature,importance,importance_fraction
osi_target_t01h,P_t,159,is_full_next_1h,0.0,0.0
osi_target_t01h,P_t,160,window_len_next_1h,0.0,0.0
osi_target_t01h,P_t,161,window_len_next_48h,0.0,0.0
osi_target_t01h,P_t,162,has_weather_at_t6h,0.0,0.0
osi_target_t01h,P_t,163,has_weather_at_t48h,0.0,0.0
osi_target_t01h,N_t,1,pct_forest,4.906853542900324,0.04906853542900324
osi_target_t01h,N_t,2,last_N_t,3.328173696609239,0.033281736966092386
osi_target_t01h,N_t,3,osi_trend_last6h,2.9882123656292907,0.029882123656292905
osi_target_t01h,N_t,4,csnow_t,2.8080728602745197,0.028080728602745197
osi_target_t01h,N_t,5,cumul_gust_since_onset,2.6769043549176588,0.02676904354917659
osi_target_t01h,N_t,6,mslma_t,2.529940123653205,0.02529940123653205
osi_target_t01h,N_t,7,gust_change_3h,2.0392305861197206,0.020392305861197207
osi_target_t01h,N_t,8,gust_exceed_30,1.9451294432966302,0.019451294432966303
osi_target_t01h,N_t,9,pre_event_mean_osi,1.8041900573602117,0.018041900573602117
osi_target_t01h,N_t,10,gust_max_last6h_obs,1.7374590923261675,0.017374590923261674
osi_target_t01h,N_t,11,min_t2m_next_6h,1.720710933259818,0.01720710933259818
osi_target_t01h,N_t,12,soil_moist_x_gust,1.6650293522873776,0.016650293522873776
osi_target_t01h,N_t,13,pct_wetland,1.606112846342751,0.01606112846342751
osi_target_t01h,N_t,14,gust_mean_next_1h,1.551701168633803,0.015517011686338029
osi_target_t01h,N_t,15,t2m_at_t6h,1.482725948411723,0.01482725948411723
osi_target_t01h,N_t,16,min_t2m_next_24h,1.4602981773305728,0.014602981773305728
osi_target_t01h,N_t,17,wind_speed_at_t48h,1.4239488905784712,0.014239488905784713
osi_target_t01h,N_t,18,tree_canopy_std,1.366788728558984,0.01366788728558984
osi_target_t01h,N_t,19,gust_gt30_since_onset,1.3384110223715247,0.013384110223715247
osi_target_t01h,N_t,20,gust_max_next_1h,1.255731281156015,0.01255731281156015
osi_target_t01h,N_t,21,gust_mean_next_48h,1.251180088376229,0.012511800883762289
osi_target_t01h,N_t,22,hours_since_obs,1.0556445522495366,0.010556445522495366
osi_target_t01h,N_t,23,pct_unmapped,1.041710780892175,0.01041710780892175
osi_target_t01h,N_t,24,pressure_change_3h,1.019588318138079,0.01019588318138079
osi_target_t01h,N_t,25,gust_exceed30_x_hso,1.0156144396083349,0.010156144396083349
osi_target_t01h,N_t,26,wind_speed_max_next_48h,0.97081447307542,0.0097081447307542
osi_target_t01h,N_t,27,soil_moist_t,0.9398423177827278,0.009398423177827277
osi_target_t01h,N_t,28,min_t2m_next_48h,0.8974733932702322,0.008974733932702322
osi_target_t01h,N_t,29,pre_event_max_outage_pct,0.8866564998319514,0.008866564998319514
osi_target_t01h,N_t,30,gust_gt30_obs,0.8691235154544479,0.008691235154544478
osi_target_t01h,N_t,31,gust_at_t48h,0.8591845096724824,0.008591845096724823
osi_target_t01h,N_t,32,wind_speed_max_next_1h,0.8516808242299254,0.008516808242299254
osi_target_t01h,N_t,33,pct_developed,0.8499807967645472,0.008499807967645472
osi_target_t01h,N_t,34,total_tp_next_1h,0.8448532644436968,0.008448532644436967
osi_target_t01h,N_t,35,hour_sin,0.8418980971884431,0.008418980971884432
osi_target_t01h,N_t,36,blh_t,0.8341090388788927,0.008341090388788927
osi_target_t01h,N_t,37,t2m_at_t48h,0.8278264692704501,0.008278264692704502
osi_target_t01h,N_t,38,total_tp_next_6h,0.8220585403834251,0.008220585403834252
osi_target_t01h,N_t,39,tree_canopy_pct,0.8134235740681378,0.008134235740681377
osi_target_t01h,N_t,40,wind_speed_max_next_6h,0.8052600304765459,0.00805260030476546
osi_target_t01h,N_t,41,last_R_t,0.7962951029095575,0.007962951029095576
osi_target_t01h,N_t,42,storm_onset_mean_osi,0.7938390252633314,0.007938390252633314
osi_target_t01h,N_t,43,sp_t,0.7900492752780733,0.007900492752780734
osi_target_t01h,N_t,44,vpd_t,0.7886526642905677,0.007886526642905676
osi_target_t01h,N_t,45,frac_zero_72h,0.7853381731512767,0.007853381731512767
osi_target_t01h,N_t,46,tp_rate_next_24h,0.7853308831955909,0.007853308831955908
osi_target_t01h,N_t,47,gust_peak4h_mean_next_1h,0.7781116206126315,0.007781116206126315
osi_target_t01h,N_t,48,tp_rate_next_6h,0.7714979953429959,0.007714979953429959
osi_target_t01h,N_t,49,tp_rate_next_1h,0.7413325863753397,0.007413325863753397
osi_target_t01h,N_t,50,forest_x_customers,0.7411237496975213,0.007411237496975213
osi_target_t01h,N_t,51,pop_density,0.7354564013960583,0.007354564013960583
osi_target_t01h,N_t,52,gust_t,0.7333044478399002,0.007333044478399002
osi_target_t01h,N_t,53,hour_of_day,0.7291941341102729,0.007291941341102729
osi_target_t01h,N_t,54,gust_mean_next_24h,0.7262708399906677,0.007262708399906677
osi_target_t01h,N_t,55,R_t_max_72h,0.7191344228973553,0.007191344228973553
osi_target_t01h,N_t,56,wind_sin_t,0.7189067629070598,0.007189067629070598
osi_target_t01h,N_t,57,pct_forest_classified,0.7173092996883604,0.007173092996883604
osi_target_t01h,N_t,58,dewpoint_c_t,0.7150092529758821,0.007150092529758821
osi_target_t01h,N_t,59,wind_speed_max_next_24h,0.6527809185044849,0.006527809185044849
osi_target_t01h,N_t,60,wind_change_1h,0.6486383983723781,0.006486383983723781
osi_target_t01h,N_t,61,wind_speed_at_t6h,0.6397845025931326,0.006397845025931326
osi_target_t01h,N_t,62,gust_last_obs,0.5957682254130209,0.005957682254130209
osi_target_t01h,N_t,63,gust_max_obs,0.5950026809209716,0.005950026809209716
osi_target_t01h,N_t,64,wind_speed_t,0.5875686477610617,0.005875686477610617
osi_target_t01h,N_t,65,pressure_change_6h,0.5662790253531286,0.005662790253531285
osi_target_t01h,N_t,66,tp_t,0.5489075547913117,0.005489075547913117
osi_target_t01h,N_t,67,gust_max_next_6h,0.5420577790800594,0.005420577790800594
osi_target_t01h,N_t,68,gust_peak4h_mean_next_6h,0.5395481637276475,0.005395481637276474
osi_target_t01h,N_t,69,d2m_t,0.5285264627498247,0.005285264627498247
osi_target_t01h,N_t,70,t2m_at_t1h,0.5112702132912754,0.005112702132912754
osi_target_t01h,N_t,71,tp_at_t1h,0.4926086177403035,0.0049260861774030355
osi_target_t01h,N_t,72,total_tp_next_24h,0.4917247981973262,0.004917247981973262
osi_target_t01h,N_t,73,temp_change_6h,0.4916103591175611,0.004916103591175611
osi_target_t01h,N_t,74,last_D_t,0.47712996276056235,0.004771299627605623
osi_target_t01h,N_t,75,log_customers,0.476489938813796,0.00476489938813796
osi_target_t01h,N_t,76,r2_t,0.4611420141007451,0.004611420141007451
osi_target_t01h,N_t,77,gust_at_t1h,0.45018352120452376,0.004501835212045237
osi_target_t01h,N_t,78,gust_peak4h_mean_next_48h,0.43662308712958986,0.004366230871295899
osi_target_t01h,N_t,79,last_osi,0.434231798627929,0.00434231798627929
osi_target_t01h,N_t,80,t2m_at_t24h,0.42009793301038595,0.00420097933010386
osi_target_t01h,N_t,81,min_t2m_next_1h,0.4096859236649901,0.0040968592366499015
osi_target_t01h,N_t,82,tp_rate_next_48h,0.4024857257427252,0.004024857257427252
osi_target_t01h,N_t,83,days_since_onset,0.39355399625068416,0.003935539962506842
osi_target_t01h,N_t,84,cumul_tp_since_onset,0.38169976614414985,0.0038169976614414987
osi_target_t01h,N_t,85,gust_at_t6h,0.3688342076285846,0.003688342076285846
osi_target_t01h,N_t,86,soil_gust_x_phase,0.36795273116583055,0.0036795273116583056
osi_target_t01h,N_t,87,wind_speed_at_t24h,0.3566168891812809,0.003566168891812809
osi_target_t01h,N_t,88,storm_onset_max_osi,0.34727230756673705,0.0034727230756673704
osi_target_t01h,N_t,89,gust_peak4h_mean_next_24h,0.340571704916214,0.0034057170491621405
osi_target_t01h,N_t,90,gust_change_1h,0.3331008979423899,0.003331008979423899
osi_target_t01h,N_t,91,temp_c_t,0.33029418188911697,0.0033029418188911695
osi_target_t01h,N_t,92,last_P_t,0.3290358234773815,0.0032903582347738147
osi_target_t01h,N_t,93,outage_pct_mean_72h,0.3277511700225214,0.003277511700225214
osi_target_t01h,N_t,94,pct_water,0.3243975505369423,0.003243975505369423
osi_target_t01h,N_t,95,diffuse_rad_t,0.3238777784427992,0.0032387777844279917
osi_target_t01h,N_t,96,gust_mean_obs,0.31960085566554947,0.0031960085566554945
osi_target_t01h,N_t,97,gust_gt30_frac_next_48h,0.31499706572825664,0.0031499706572825662
osi_target_t01h,N_t,98,gust_gt40_obs,0.3032584738336439,0.003032584738336439
osi_target_t01h,N_t,99,total_tp_next_48h,0.2959369442353005,0.002959369442353005
osi_target_t01h,N_t,100,R_t_mean_72h,0.29342296900921616,0.002934229690092162
osi_target_t01h,N_t,101,sdwe_t,0.2933869731436577,0.002933869731436577
