horizon,model,rmse,mae,n,fold,baseline_rmse,rmse_change_pct_vs_v1.8,improved_vs_v1.8
osi_target_t24h,xgboost_direct,0.008186076325132251,0.0025859997442553885,5640,1,0.008690387584105909,-5.803092832085022,True
osi_target_t24h,catboost_direct,0.00834358774467732,0.00266824496579098,5640,1,0.008690387584105909,-3.9906141823048413,True
osi_target_t24h,xgboost_component,0.00811108159240788,0.0024991580769560427,5640,1,0.008690387584105909,-6.666054719556314,True
osi_target_t24h,catboost_component,0.008523892281472947,0.0026788721070008783,5640,1,0.008690387584105909,-1.9158558927506175,True
osi_target_t24h,simple_average,0.008294303493196799,0.00256520041628537,5640,1,0.008690387584105909,-4.557726419860941,True
osi_target_t24h,static_convex,0.008618072480000887,0.0034433869282696596,5640,1,0.008690387584105909,-0.8321274903467013,True
osi_target_t24h,safe_convex,0.008630397795708436,0.0034741318228735493,5640,1,0.008690387584105909,-0.6903004936993695,True
osi_target_t24h,v1.8_rule,0.012820869372120618,0.0038387573473299555,5760,2,0.012820869372120618,0.0,False
osi_target_t24h,lgbm_direct,0.01294150909584878,0.003871927631508058,5760,2,0.012820869372120618,0.9409636759149631,False
osi_target_t24h,xgboost_direct,0.013311168743484677,0.0035770739657785197,5760,2,0.012820869372120618,3.8242287409169684,False
osi_target_t24h,catboost_direct,0.012765652455038854,0.0036367408915129918,5760,2,0.012820869372120618,-0.43067997558601245,True
osi_target_t24h,xgboost_component,0.01323724773470405,0.003593762568201659,5760,2,0.012820869372120618,3.247660907370764,False
osi_target_t24h,catboost_component,0.01288868315317412,0.003554049376041108,5760,2,0.012820869372120618,0.5289327820542811,False
osi_target_t24h,simple_average,0.012891396898836789,0.003568290861028036,5760,2,0.012820869372120618,0.5500994095574807,False
osi_target_t24h,static_convex,0.012898759256846292,0.003686438618063755,5760,2,0.012820869372120618,0.6075242049891516,False
osi_target_t24h,safe_convex,0.012892152039919813,0.0036933949453416192,5760,2,0.012820869372120618,0.5559893461998922,False
osi_target_t24h,v1.8_rule,0.005827216074762783,0.0026500630695669306,5760,3,0.005827216074762783,0.0,False
osi_target_t24h,lgbm_direct,0.006038402494602367,0.0027716584191973394,5760,3,0.005827216074762783,3.6241391623388575,False
osi_target_t24h,xgboost_direct,0.007116355938883932,0.0028416312463427525,5760,3,0.005827216074762783,22.122740045702315,False
osi_target_t24h,catboost_direct,0.0070829587235255375,0.0027836744853884476,5760,3,0.005827216074762783,21.549615333491356,False
osi_target_t24h,xgboost_component,0.006668729994555095,0.0026551218675836055,5760,3,0.005827216074762783,14.441096897656557,False
osi_target_t24h,catboost_component,0.006580652758540325,0.0026193256084924743,5760,3,0.005827216074762783,12.929616374457398,False
osi_target_t24h,simple_average,0.00637181492864715,0.0026346333162721998,5760,3,0.005827216074762783,9.34578101956749,False
osi_target_t24h,static_convex,0.006126204035913335,0.0025978097716648075,5760,3,0.005827216074762783,5.130888529180266,False
osi_target_t24h,safe_convex,0.006090279883256975,0.002598163712529542,5760,3,0.005827216074762783,4.514399416790127,False
osi_target_t24h,v1.8_rule,0.007410450047646712,0.0024700706125642463,5760,4,0.007410450047646712,0.0,False
osi_target_t24h,lgbm_direct,0.00748451248944393,0.0024872075143957777,5760,4,0.007410450047646712,0.9994324409586586,False
osi_target_t24h,xgboost_direct,0.007515574737746765,0.002498307335808599,5760,4,0.007410450047646712,1.4186006170224141,False
osi_target_t24h,catboost_direct,0.00835410316248442,0.002539172487569116,5760,4,0.007410450047646712,12.734086442393311,False
osi_target_t24h,xgboost_component,0.0074783575655542585,0.0024516875322910274,5760,4,0.007410450047646712,0.9163750847913876,False
osi_target_t24h,catboost_component,0.0076826101446032915,0.002338456939719062,5760,4,0.007410450047646712,3.6726527431759415,False
osi_target_t24h,simple_average,0.007512320696404687,0.002355254110042827,5760,4,0.007410450047646712,1.3746890958441282,False
