model,reference,purpose,horizon,metric,difference,ci_2_5,ci_97_5,bootstrap_improvement_probability,replicates,resampling_unit,evaluation_status
B3_gru_huber,B4_constant_mean,主 GRU 相对常数校正,osi_target_t48h,rmse,0.00042038968297480016,-6.0096388898089596e-05,0.0008779223051995063,0.119,2000,county_full_trajectory,strict_nested_cv
B3_gru_huber,B4_constant_mean,主 GRU 相对常数校正,osi_target_t48h,mae,-4.7209371607382766e-05,-0.00010862412206684529,2.4040387385214463e-05,0.9165,2000,county_full_trajectory,strict_nested_cv
B3_gru_huber,B5_gru_no_future,加入未来气象相对无未来气象,osi_target_t48h,rmse,-4.25447328141048e-05,-0.00010493773028149066,2.9882530145665746e-05,0.853,2000,county_full_trajectory,strict_nested_cv
B3_gru_huber,B5_gru_no_future,加入未来气象相对无未来气象,osi_target_t48h,mae,2.0972891787481712e-05,1.6474898561088865e-06,4.18783970345137e-05,0.0155,2000,county_full_trajectory,strict_nested_cv
B5_gru_no_future,B0_lightgbm,无未来气象 GRU 相对基线,osi_target_t48h,rmse,0.00046293441578890496,-8.012289205678385e-05,0.0009736350988886595,0.1265,2000,county_full_trajectory,strict_nested_cv
B5_gru_no_future,B0_lightgbm,无未来气象 GRU 相对基线,osi_target_t48h,mae,-6.818226339486448e-05,-0.00013789020474331418,7.5843715067887956e-06,0.96,2000,county_full_trajectory,strict_nested_cv
B6_gru_mse,B3_gru_huber,MSE 相对 Huber,osi_target_t48h,rmse,-0.00042038968297480016,-0.0008779223051995066,6.009638889808959e-05,0.881,2000,county_full_trajectory,strict_nested_cv
B6_gru_mse,B3_gru_huber,MSE 相对 Huber,osi_target_t48h,mae,4.7209371607382766e-05,-2.4040387385214496e-05,0.00010862412206684527,0.0835,2000,county_full_trajectory,strict_nested_cv
B7_gru_weighted_mse,B6_gru_mse,高 OSI 加权相对普通 MSE,osi_target_t48h,rmse,8.665884589701897e-05,-1.154967513573048e-05,0.00024817445940063487,0.044,2000,county_full_trajectory,strict_nested_cv
B7_gru_weighted_mse,B6_gru_mse,高 OSI 加权相对普通 MSE,osi_target_t48h,mae,0.00014810176348956398,7.786162799021452e-05,0.00024797607153435663,0.0,2000,county_full_trajectory,strict_nested_cv
B7_gru_weighted_mse,B3_gru_huber,高 OSI 加权相对主 GRU,osi_target_t48h,rmse,-0.0003337308370777812,-0.0008385777508110212,0.00023252775223141507,0.8445,2000,county_full_trajectory,strict_nested_cv
B7_gru_weighted_mse,B3_gru_huber,高 OSI 加权相对主 GRU,osi_target_t48h,mae,0.00019531113509694675,9.298678788183115e-05,0.0003045785582974684,0.0,2000,county_full_trajectory,strict_nested_cv
