domain,mode,horizon,comparison,slice_type,slice_value,counties,countyName,n,baseline_rmse,baseline_mae,baseline_sse,baseline_bias,candidate_rmse,candidate_mae,candidate_sse,candidate_bias,rmse_delta,rmse_change_pct,sse_reduction,changed_predictions,fraction_of_net_sse_reduction
OSI,v18_rule,osi_target_t01h,F1_minus_F0,county,18117,1,Orange County,143,0.013174641214724609,0.0037087039911685997,0.024820677472551,-0.003577952253269167,0.013234396017054789,0.0037329359449827853,0.025046341024881697,-0.0036149005965088947,5.975480233018013e-05,0.4535592382082898,-0.00022566355233069602,30,-0.003964934581468087
OSI,v18_rule,osi_target_t01h,F1_minus_F0,county,18121,1,Parke County,143,0.0239017036250099,0.008507270346991494,0.08169467537342703,-0.005848615631712016,0.023969065022243035,0.00860865330121469,0.08215579915979357,-0.005759097728055358,6.73613972331337e-05,0.2818267613470482,-0.00046112378636653517,98,-0.008101997987795918
OSI,v18_rule,osi_target_t01h,F1_minus_F0,county,18123,1,Perry County,143,0.0054093423105027495,0.0020643752775257778,0.004184320745203917,0.00201682282997333,0.005409259532230471,0.002105260852516716,0.004184192682244748,0.002057708404964269,-8.27782722784276e-08,-0.001530283489692419,1.2806295916854143e-07,45,2.250080928746494e-06
OSI,v18_rule,osi_target_t01h,F1_minus_F0,county,18125,1,Pike County,143,0.0028796403734699504,0.0009708698113536783,0.0011858030013140962,0.000886496981933835,0.002963521065763575,0.0009943793109398373,0.0012558913663330998,0.0009050750160188478,8.388069229362449e-05,2.9128877712097268,-7.008836501900357e-05,26,-0.0012314606384249698
OSI,v18_rule,osi_target_t01h,F1_minus_F0,county,18127,1,Porter County,143,0.002780102817063801,0.0019592649372995176,0.00110524294930279,0.0018433056025422964,0.002791628839405805,0.0019763474512660287,0.0011144263955113148,0.0018777093056166936,1.1526022342003665e-05,0.4145897867970483,-9.183446208524838e-06,86,-0.00016135420661938764
OSI,v18_rule,osi_target_t01h,F1_minus_F0,county,18129,1,Posey County,143,0.0011626924670997188,0.0005876032101571904,0.00019331508954621162,0.0003259463560207922,0.001155154680978445,0.000583535109739482,0.00019081667418905713,0.0003150043192437551,-7.5377861212737145e-06,-0.6483043740772132,2.498415357154489e-06,37,4.3897445316894e-05
OSI,v18_rule,osi_target_t01h,F1_minus_F0,county,18131,1,Pulaski County,143,0.01763186898646867,0.004438156526964116,0.04445624096570739,-0.0030881208477421688,0.017611805697098196,0.0043984902900917125,0.04435512508746469,-0.003101221152356177,-2.0063289370472748e-05,-0.11378991861764609,0.00010111587824269963,61,0.0017766176160892654
OSI,v18_rule,osi_target_t01h,F1_minus_F0,county,18133,1,Putnam County,143,0.0010103464721553045,0.0003987370229358353,0.00014597439911292372,-0.00021330995025230676,0.0010191128226758133,0.00039874387581306895,0.00014851850518394369,-0.00020135848357400986,8.766350520508781e-06,0.8676578542218483,-2.5441060710199633e-06,28,-4.470023641712317e-05
OSI,v18_rule,osi_target_t01h,F1_minus_F0,county,18135,1,Randolph County,143,0.0038776517404444373,0.0023783910640156757,0.002150174171884564,0.0018284344579929143,0.00396084277320535,0.002439430986820584,0.0022434233927895856,0.0018533164047144714,8.319103276091229e-05,2.1453972230981666,-9.324922090502182e-05,68,-0.0016383995414530465
OSI,v18_rule,osi_target_t01h,F1_minus_F0,county,18137,1,Ripley County,143,0.0036040412760370857,0.0012294201923314806,0.0018574432332712006,-0.00014112289770386774,0.003645528285472299,0.0012565391196234696,0.0019004523366655394,-0.00011803877493990993,4.1487009435213235e-05,1.1511247030120408,-4.3009103394338766e-05,32,-0.0007556748956794387
