candidate,kind,outer_fold,feature,group,gain,gain_fraction,split_count
F1,b,0,storm_onset_max_osi,original_163,0.038443323923274875,0.0006171230070517241,15
F1,b,0,storm_onset_mean_osi,original_163,1.3712899727688637,0.022013044273277507,25
F1,b,0,osi_trend_last6h,original_163,1.8810412160819396,0.030195979254382607,99
F1,b,0,is_worsening,original_163,0.0019247470190748572,3.089757978773997e-05,2
F1,b,0,frac_zero_72h,original_163,0.823904809076339,0.013225979478682228,46
F1,b,0,hours_since_peak,original_163,0.06161605298984796,0.0009891102023238925,26
F1,b,0,gust_mean_obs,original_163,0.1584416679397691,0.0025434324762454528,66
F1,b,0,gust_max_obs,original_163,0.12875839721527882,0.0020669328550059537,36
F1,b,0,gust_gt30_obs,original_163,0.0888844690634869,0.0014268446437703936,19
F1,b,0,gust_gt40_obs,original_163,0.03597681361134164,0.0005775286092399687,11
F1,b,0,cumul_gust_obs,original_163,0.023832991369999945,0.0003825862542647492,8
F1,b,0,gust_last_obs,original_163,0.22402519758907147,0.0035962317896195916,72
F1,b,0,gust_max_last6h_obs,original_163,0.5769191204453819,0.009261167508445788,72
F1,b,0,gust_trend_last6h_obs,original_163,0.068344318511663,0.0010971177060286146,22
F1,b,0,gust_t,original_163,0.5096674880333012,0.008181590474313383,52
F1,b,0,wind_speed_t,original_163,0.16227536645601504,0.0026049740734600227,19
F1,b,0,wind_sin_t,original_163,1.154908109572716,0.018539509405336097,60
F1,b,0,wind_cos_t,original_163,0.14576163853053004,0.0023398824946114162,29
F1,b,0,t2m_t,original_163,0.23760594392661005,0.0038142408003532958,14
F1,b,0,d2m_t,original_163,0.31625679330318235,0.005076807189547765,54
F1,b,0,tp_t,original_163,0.02363121445523575,0.0003793471697193697,13
F1,b,0,rain_t,original_163,0.02282243239460513,0.00036636395270353626,11
F1,b,0,csnow_t,original_163,0.14344485933543183,0.0023026917005373308,23
F1,b,0,sdwe_t,original_163,0.045146216347347945,0.0007247232014819413,18
F1,b,0,r2_t,original_163,0.06335742917144671,0.0010170641666517755,19
F1,b,0,vpd_t,original_163,0.05176355389994569,0.0008309500006340042,13
F1,b,0,soil_moist_t,original_163,0.7833212653349619,0.012574499950000508,74
F1,b,0,blh_t,original_163,0.546833393687848,0.00877820734082342,23
F1,b,0,tcc_t,original_163,0.0023709500674158335,3.806038827686532e-05,1
F1,b,0,lcc_t,original_163,0.10692455124808475,0.0017164384829357682,19
F1,b,0,mcc_t,original_163,0.7401492065109778,0.011881467505271118,26
F1,b,0,hcc_t,original_163,0.010188509710133076,0.0001635541131209602,2
F1,b,0,sp_t,original_163,0.2726287661935203,0.004376455176923066,68
F1,b,0,mslma_t,original_163,0.2869688109785784,0.00460665305410646,101
F1,b,0,sdswrf_t,original_163,0.09164537471951917,0.0014711649112903724,15
F1,b,0,direct_rad_t,original_163,0.05535829806467518,0.0008886557113302744,16
F1,b,0,diffuse_rad_t,original_163,0.027553735330002382,0.00044231461452956164,11
F1,b,0,et0_t,original_163,0.04425464163068682,0.0007104109304812517,11
F1,b,0,temp_c_t,original_163,0.1346730932709761,0.002161880290429949,8
F1,b,0,dewpoint_c_t,original_163,0.11555377618060447,0.0018549617086982047,16
F1,b,0,icing_risk_t,original_163,0.0,0.0,0
F1,b,0,gust_exceed_30,original_163,0.030731947219464928,0.0004933338157356572,22
F1,b,0,soil_moist_x_gust,original_163,0.9399597591109341,0.015088986431242478,173
F1,b,0,is_snowing,original_163,0.0,0.0,0
F1,b,0,gust_x_hso,original_163,0.2050371078075841,0.0032914197736891703,32
F1,b,0,gust_x_phase,original_163,0.05063234406406991,0.000812790914887012,15
F1,b,0,soil_gust_x_phase,original_163,0.12571103678783402,0.0020180141862064386,27
F1,b,0,gust_exceed30_x_hso,original_163,0.045946922444272786,0.0007375767766640744,19
F1,b,0,gust_max_next_1h,original_163,0.07493045798037201,0.001202843688566014,21
F1,b,0,gust_mean_next_1h,original_163,0.13666835852200165,0.00219390988532232,28
F1,b,0,wind_speed_max_next_1h,original_163,0.11116589995799586,0.0017845240073570997,32
F1,b,0,total_tp_next_1h,original_163,0.040057098667602986,0.0006430286109717052,37
F1,b,0,min_t2m_next_1h,original_163,0.08728502650046721,0.0014011691114967748,39
F1,b,0,gust_gt30_next_1h,original_163,0.0,0.0,0
F1,b,0,gust_gt40_next_1h,original_163,0.0,0.0,0
F1,b,0,gust_peak4h_mean_next_1h,original_163,0.009113434120081365,0.0001462961392198288,6
F1,b,0,gust_max_next_6h,original_163,0.17609767700196244,0.002826860866223888,45
F1,b,0,gust_mean_next_6h,original_163,0.10672647989122197,0.0017132588829718855,42
F1,b,0,wind_speed_max_next_6h,original_163,0.10222553732455708,0.0016410061501735734,41
F1,b,0,total_tp_next_6h,original_163,1.9779254246677738,0.03175124212024832,45
F1,b,0,min_t2m_next_6h,original_163,1.0280838453036267,0.016503624800532763,105
F1,b,0,gust_gt30_next_6h,original_163,0.012181598867755383,0.0001955487756201983,11
F1,b,0,gust_gt40_next_6h,original_163,0.0006491829990409315,1.0421205130299463e-05,1
F1,b,0,gust_peak4h_mean_next_6h,original_163,0.09156026915297844,0.0014697987286146684,28
F1,b,0,gust_max_next_24h,original_163,0.08759302317048423,0.0014061133205756297,23
F1,b,0,gust_mean_next_24h,original_163,0.13731062613078393,0.002204220079072858,22
F1,b,0,wind_speed_max_next_24h,original_163,0.23752472692285664,0.003812937040000001,40
F1,b,0,total_tp_next_24h,original_163,0.36710617068456486,0.005893082096965643,48
F1,b,0,min_t2m_next_24h,original_163,0.8931064093194436,0.014336858957263434,93
F1,b,0,gust_gt30_next_24h,original_163,0.019667964050313458,0.00031572590188972104,11
F1,b,0,gust_gt40_next_24h,original_163,0.00203267797769513,3.2630173927379177e-05,3
F1,b,0,gust_peak4h_mean_next_24h,original_163,0.2023534346371889,0.0032483393038483296,31
F1,b,0,gust_max_next_48h,original_163,0.05277182356803678,0.000847135552401933,20
F1,b,0,gust_mean_next_48h,original_163,1.4433552050613798,0.02316989306567116,56
F1,b,0,wind_speed_max_next_48h,original_163,0.26552760310005397,0.0042624616229174125,36
F1,b,0,total_tp_next_48h,original_163,0.3931958411994856,0.0063118943711927625,41
F1,b,0,min_t2m_next_48h,original_163,2.9249910931976046,0.046954298297311396,126
F1,b,0,gust_gt30_next_48h,original_163,0.12374617165187374,0.001986472598294453,36
F1,b,0,gust_gt40_next_48h,original_163,0.0017187029588967562,2.7589995608597945e-05,2
F1,b,0,gust_peak4h_mean_next_48h,original_163,0.07582387496950105,0.0012171855331989804,24
F1,b,0,gust_change_1h,original_163,0.09178651816910133,0.0014734306589194181,72
F1,b,0,gust_change_3h,original_163,0.24582551277126186,0.003946187898689638,119
F1,b,0,pressure_change_3h,original_163,1.2542113536619581,0.020133604565386553,72
F1,b,0,pressure_change_6h,original_163,0.9808297600393416,0.015745064399981166,51
F1,b,0,temp_change_6h,original_163,0.4997451226954581,0.008022308723688061,64
F1,b,0,wind_change_1h,original_163,0.21959977968072053,0.0035251914390892194,89
F1,b,0,cumul_gust_since_onset,original_163,1.1166067961021326,0.01792466606374131,129
F1,b,0,cumul_tp_since_onset,original_163,0.22302222956204787,0.0035801313440377044,67
F1,b,0,gust_gt30_since_onset,original_163,0.26435769078671,0.00424368125402323,64
F1,b,0,gust_at_t1h,original_163,0.13202053139684722,0.0021192992440193887,13
F1,b,0,wind_speed_at_t1h,original_163,0.41147885867394507,0.006605388002085242,22
F1,b,0,t2m_at_t1h,original_163,2.2135501476586796,0.03553367877630036,30
F1,b,0,tp_at_t1h,original_163,0.009463173861149698,0.00015191044148787252,7
F1,b,0,gust_at_t6h,original_163,0.6845573390601203,0.01098906235119641,39
