horizon,model,fipsCode,countyName,fold,n,baseline_rmse,baseline_mae,baseline_sse,baseline_bias,candidate_rmse,candidate_mae,candidate_sse,candidate_bias,rmse_delta,rmse_change_pct,sse_reduction,changed_predictions,fraction_of_total_sse_reduction
osi_target_t01h,v18_rule,18181,White County,3,143,0.002275199511537496,0.0009601469190943798,0.0007402441928739656,0.0005051748326951898,0.002275199511537496,0.0009601469190943798,0.0007402441928739656,0.0005051748326951898,0.0,0.0,0.0,0,0.0
osi_target_t01h,v18_rule,18167,Vigo County,0,143,0.0014847306909567086,0.0006337247997939735,0.00031523280712763635,0.00012984964681784917,0.0014847306909567086,0.0006337247997939735,0.00031523280712763635,0.00012984964681784917,0.0,0.0,0.0,0,0.0
osi_target_t01h,v18_rule,18171,Warren County,2,143,0.003704423119781853,0.0016658952139860465,0.0019623533430035275,0.0010465403194043195,0.003704423119781853,0.0016658952139860465,0.0019623533430035275,0.0010465403194043195,0.0,0.0,0.0,0,0.0
osi_target_t01h,v18_rule,18169,Wabash County,4,143,0.0014545030786523893,0.0004954838069870019,0.00030252782643072683,0.00017850509472120367,0.0014545030786523893,0.0004954838069870019,0.00030252782643072683,0.00017850509472120367,0.0,0.0,0.0,0,0.0
osi_target_t01h,v18_rule,18175,Washington County,2,143,0.003156963688491399,0.0009943530953292741,0.0014251980214548105,-0.00010532188670628104,0.003156963688491399,0.0009943530953292741,0.0014251980214548105,-0.00010532188670628104,0.0,0.0,0.0,0,0.0
osi_target_t01h,v18_rule,18177,Wayne County,2,143,0.0030125031682100302,0.0018699857381504397,0.0012977500734019922,0.001731524199688901,0.0030125031682100302,0.0018699857381504397,0.0012977500734019922,0.001731524199688901,0.0,0.0,0.0,0,0.0
osi_target_t01h,v18_rule,18179,Wells County,0,143,0.004762581672414489,0.0015321744771035354,0.00324355233865783,-0.001216585704235621,0.004762581672414489,0.0015321744771035354,0.00324355233865783,-0.001216585704235621,0.0,0.0,0.0,0,0.0
osi_target_t01h,v18_rule,18173,Warrick County,1,143,0.0014713040392819775,0.0004983013209302142,0.0003095571873690672,-1.2040252540369654e-05,0.0014713040392819775,0.0004983013209302142,0.0003095571873690672,-1.2040252540369654e-05,0.0,0.0,0.0,0,0.0
osi_target_t01h,v18_rule,39025,Clermont County,4,143,0.0018465007705535952,0.0006415221516894822,0.0004875678086786679,-0.00027430981110216295,0.0018465007705535952,0.0006415221516894822,0.0004875678086786679,-0.00027430981110216295,0.0,0.0,0.0,0,0.0
osi_target_t01h,v18_rule,18183,Whitley County,2,143,0.002804677528652096,0.0010318864249401077,0.001124868893680822,0.00036655920198482505,0.002804677528652096,0.0010318864249401077,0.001124868893680822,0.00036655920198482505,0.0,0.0,0.0,0,0.0
osi_target_t01h,v18_rule,39023,Clark County,1,143,0.0033518542049105955,0.001712753213391169,0.001606594505369688,0.000937141046559696,0.0033518542049105955,0.001712753213391169,0.001606594505369688,0.000937141046559696,0.0,0.0,0.0,0,0.0
osi_target_t01h,v18_rule,39017,Butler County,3,143,0.0007926058396650157,0.00031321145009374887,8.98360344411651e-05,-4.452479041216601e-05,0.0007926058396650157,0.00031321145009374887,8.98360344411651e-05,-4.452479041216601e-05,0.0,0.0,0.0,0,0.0
osi_target_t01h,v18_rule,39031,Coshocton County,2,143,0.010698580876305817,0.007275258115505041,0.016367727485660483,0.006498977203628564,0.010698580876305817,0.007275258115505041,0.016367727485660483,0.006498977203628564,0.0,0.0,0.0,0,0.0
osi_target_t01h,v18_rule,39029,Columbiana County,1,143,0.011293531895917568,0.006561347393023683,0.018238772363827364,0.005997478813928449,0.011293531895917568,0.006561347393023683,0.018238772363827364,0.005997478813928449,0.0,0.0,0.0,0,0.0
osi_target_t01h,v18_rule,18165,Vermillion County,2,143,0.013754291952217293,0.003019527341460807,0.027052818236276605,-0.0021796295107448945,0.013754291952217293,0.003019527341460807,0.027052818236276605,-0.0021796295107448945,0.0,0.0,0.0,0,0.0
osi_target_t01h,v18_rule,18149,Starke County,4,143,0.0027093955895917694,0.001461387050815721,0.0010497378979086045,0.0009408767767294863,0.0027093955895917694,0.001461387050815721,0.0010497378979086045,0.0009408767767294863,0.0,0.0,0.0,0,0.0
osi_target_t01h,v18_rule,39109,Miami County,3,143,0.0030222021676450297,0.001992178118972115,0.0013061199497229193,0.0019082396954771335,0.0030222021676450297,0.001992178118972115,0.0013061199497229193,0.0019082396954771335,0.0,0.0,0.0,0,0.0
osi_target_t01h,v18_rule,39081,Jefferson County,3,143,0.011441832355940554,0.005765160504300783,0.018720920455587087,-0.0037862265176975382,0.011441832355940554,0.005765160504300783,0.018720920455587087,-0.0037862265176975382,0.0,0.0,0.0,0,0.0
osi_target_t01h,v18_rule,39089,Licking County,0,143,0.025576619307402678,0.011883239848198068,0.09354537409299989,-0.011738763536508377,0.025576619307402678,0.011883239848198068,0.09354537409299989,-0.011738763536508377,0.0,0.0,0.0,0,0.0
osi_target_t01h,v18_rule,39035,Cuyahoga County,0,143,0.006222870601311743,0.0042349760387300475,0.005537548948455805,-0.0042349760387300475,0.006222870601311743,0.0042349760387300475,0.005537548948455805,-0.0042349760387300475,0.0,0.0,0.0,0,0.0
osi_target_t01h,v18_rule,39049,Franklin County,2,143,0.0063341865839824625,0.0032907097501125777,0.005737434514340589,-0.0012681415695500909,0.0063341865839824625,0.0032907097501125777,0.005737434514340589,-0.0012681415695500909,0.0,0.0,0.0,0,0.0
osi_target_t01h,v18_rule,39051,Fulton County,4,143,0.0043203792325962,0.002326499330598604,0.00266919177002314,-0.0013703435446759742,0.0043203792325962,0.002326499330598604,0.00266919177002314,-0.0013703435446759742,0.0,0.0,0.0,0,0.0
osi_target_t01h,v18_rule,39053,Gallia County,0,143,0.0026933586775273453,0.0009682568066571073,0.0010373478781110946,-0.0005645595405587312,0.0026933586775273453,0.0009682568066571073,0.0010373478781110946,-0.0005645595405587312,0.0,0.0,0.0,0,0.0
osi_target_t01h,v18_rule,39037,Darke County,1,143,0.0022638599783913814,0.001325599490824216,0.0007328838662519983,0.0012850400502647753,0.0022638599783913814,0.001325599490824216,0.0007328838662519983,0.0012850400502647753,0.0,0.0,0.0,0,0.0
osi_target_t01h,v18_rule,39055,Geauga County,4,143,0.013151616420785607,0.006332479740880918,0.024733997070565304,-0.0024472242875216705,0.013151616420785607,0.006332479740880918,0.024733997070565304,-0.0024472242875216705,0.0,0.0,0.0,0,0.0
osi_target_t01h,v18_rule,39059,Guernsey County,1,143,0.024628588810610273,0.014197378683040513,0.0867391363127028,-0.013372875054524475,0.024628588810610273,0.014197378683040513,0.0867391363127028,-0.013372875054524475,0.0,0.0,0.0,0,0.0
osi_target_t01h,v18_rule,39061,Hamilton County,1,143,0.0009875146776391031,0.00046615539586081814,0.0001394514891130306,0.0003095120392174614,0.0009875146776391031,0.00046615539586081814,0.0001394514891130306,0.0003095120392174614,0.0,0.0,0.0,0,0.0
