target_kind,target,rank,feature,importance_gain,importance_fraction
direct_osi,osi_target_t06h,64,gust_gt30_next_24h,0.14174251520307735,0.0015193160519708642
direct_osi,osi_target_t06h,65,soil_moist_x_gust,0.12819732011848828,0.0013741272052115946
direct_osi,osi_target_t06h,66,wind_speed_t,0.126427714334568,0.0013551590750826876
direct_osi,osi_target_t06h,67,outage_pct_mean_72h,0.1245732152601704,0.0013352809869306564
direct_osi,osi_target_t06h,68,dewpoint_c_t,0.1235964539955603,0.0013248112343222783
direct_osi,osi_target_t06h,69,gust_max_obs,0.11981825790280709,0.001284313335981831
direct_osi,osi_target_t06h,70,wind_speed_at_t48h,0.11714887725247536,0.0012557006585148139
direct_osi,osi_target_t06h,71,wind_speed_at_t6h,0.1123421556330868,0.0012041781544642163
direct_osi,osi_target_t06h,72,storm_phase,0.10997200012207031,0.001178772824888998
direct_osi,osi_target_t06h,73,gust_t,0.10968098259763792,0.0011756534531490409
direct_osi,osi_target_t06h,74,pct_agriculture,0.10364204950019484,0.001110923065244056
direct_osi,osi_target_t06h,75,temp_change_6h,0.09978191881236853,0.001069546922677958
direct_osi,osi_target_t06h,76,tp_rate_next_48h,0.09576034776546294,0.0010264403259243235
direct_osi,osi_target_t06h,77,forest_x_customers,0.09460631602269132,0.0010140704385354566
direct_osi,osi_target_t06h,78,gust_gt30_next_48h,0.0930969645123696,0.000997891933628776
direct_osi,osi_target_t06h,79,min_t2m_next_1h,0.0905614002404036,0.000970713613181432
direct_osi,osi_target_t06h,80,hours_since_peak,0.0869481303379871,0.0009319835331135046
direct_osi,osi_target_t06h,81,osi_std_72h,0.08595224227610743,0.0009213087633296318
direct_osi,osi_target_t06h,82,rural_urban_code,0.08340883813798428,0.0008940464085720403
direct_osi,osi_target_t06h,83,outage_pct_max_72h,0.08256637168233283,0.0008850161412067095
direct_osi,osi_target_t06h,84,frac_zero_72h,0.08157654674869264,0.0008744063611547192
direct_osi,osi_target_t06h,85,wind_cos_t,0.07731735787820071,0.0008287527757781452
direct_osi,osi_target_t06h,86,wind_speed_at_t1h,0.07716686252388172,0.0008271396394002821
direct_osi,osi_target_t06h,87,storm_onset_max_osi,0.07619321833044523,0.0008167032981947032
direct_osi,osi_target_t06h,88,gust_at_t48h,0.07503686605923576,0.0008043085374211666
direct_osi,osi_target_t06h,89,n_utilities,0.0730098559797625,0.0007825813305429893
direct_osi,osi_target_t06h,90,days_since_onset,0.0697348666144535,0.0007474772271226499
direct_osi,osi_target_t06h,91,gust_at_t6h,0.06790004170761677,0.0007278100233234297
direct_osi,osi_target_t06h,92,tp_rate_next_6h,0.06085988838458434,0.0006523477109981933
direct_osi,osi_target_t06h,93,wind_speed_max_next_1h,0.05955242611526046,0.0006383332255752135
direct_osi,osi_target_t06h,94,gust_max_next_24h,0.0570152463260456,0.000611137588648866
direct_osi,osi_target_t06h,95,gust_x_phase,0.056690098434046376,0.0006076523787887817
direct_osi,osi_target_t06h,96,gust_gt40_obs,0.05160489481932018,0.000553144869391728
direct_osi,osi_target_t06h,97,hour_of_day,0.05113535809505265,0.0005481119780172
direct_osi,osi_target_t06h,98,gust_gt30_frac_next_24h,0.050225625542225316,0.0005383606957817271
direct_osi,osi_target_t06h,99,R_t_mean_72h,0.049143965130497236,0.0005267665454735759
direct_osi,osi_target_t06h,100,gust_gt30_obs,0.04571516295982292,0.0004900137464317756
direct_osi,osi_target_t06h,101,t2m_t,0.045326915933401324,0.00048585218672947194
direct_osi,osi_target_t06h,102,tree_canopy_pct,0.04365939654962858,0.00046797830490150587
direct_osi,osi_target_t06h,103,t2m_at_t1h,0.04329339803371113,0.000464055223535028
direct_osi,osi_target_t06h,104,vpd_t,0.037807118889759295,0.0004052486477023873
direct_osi,osi_target_t06h,105,r2_t,0.0376451364645618,0.00040351238319214405
direct_osi,osi_target_t06h,106,hcc_t,0.037277479605108965,0.0003995715262983349
direct_osi,osi_target_t06h,107,blh_t,0.03672044265840668,0.00039360073360107623
direct_osi,osi_target_t06h,108,hour_sin,0.03630237183824647,0.00038911949727603995
direct_osi,osi_target_t06h,109,tp_rate_next_24h,0.03277027470176108,0.0003512594955052652
direct_osi,osi_target_t06h,110,cumul_gust_obs,0.03020616043068003,0.0003237751520423348
direct_osi,osi_target_t06h,111,mcc_t,0.028516174119431525,0.00030566045070087633
direct_osi,osi_target_t06h,112,wind_speed_at_t24h,0.02843669996218523,0.00030480857952695117
direct_osi,osi_target_t06h,113,hour_cos,0.02558807282912312,0.00027427458679272994
direct_osi,osi_target_t06h,114,sdwe_t,0.021994104579789564,0.00023575139815266023
direct_osi,osi_target_t06h,115,gust_gt40_next_48h,0.021678910095943138,0.00023237287733189981
direct_osi,osi_target_t06h,116,gust_at_t24h,0.01909599570717546,0.00020468701832129262
direct_osi,osi_target_t06h,117,icing_risk_t,0.018180440180003643,0.00019487332052631665
direct_osi,osi_target_t06h,118,gust_gt40_next_6h,0.01783893555693794,0.00019121278540103957
direct_osi,osi_target_t06h,119,gust_change_3h,0.017721993710438255,0.0001899593038730765
direct_osi,osi_target_t06h,120,csnow_t,0.017403931298758835,0.00018655004217837067
direct_osi,osi_target_t06h,121,direct_rad_t,0.016040524147683755,0.00017193589223872533
direct_osi,osi_target_t06h,122,diffuse_rad_t,0.01497865840792656,0.00016055391795147917
direct_osi,osi_target_t06h,123,sdswrf_t,0.014569847204256803,0.000156171934020468
direct_osi,osi_target_t06h,124,gust_change_1h,0.0136645492639218,0.0001464681857089856
direct_osi,osi_target_t06h,125,tcc_t,0.013187861994083505,0.00014135864874473844
direct_osi,osi_target_t06h,126,gust_exceed_30,0.013063586317002773,0.0001400265570234381
direct_osi,osi_target_t06h,127,temp_c_t,0.012289794103708118,0.00013173239821819696
direct_osi,osi_target_t06h,128,gust_gt30_frac_next_48h,0.011561363484361209,0.00012392446330794634
direct_osi,osi_target_t06h,129,total_tp_next_1h,0.007899558957433328,8.467414812220086e-05
direct_osi,osi_target_t06h,130,lcc_t,0.00734868565632496,7.876942258676779e-05
direct_osi,osi_target_t06h,131,gust_at_t1h,0.006530919134092983,7.00039099795493e-05
direct_osi,osi_target_t06h,132,et0_t,0.005604518999462016,6.0073970518010526e-05
direct_osi,osi_target_t06h,133,tp_at_t6h,0.005401060057920404,5.7893125657466796e-05
direct_osi,osi_target_t06h,134,wind_change_1h,0.0045634915586560965,4.891535872752183e-05
direct_osi,osi_target_t06h,135,gust_gt30_next_6h,0.0036893969809170812,3.9546074423536605e-05
direct_osi,osi_target_t06h,136,rain_t,0.002820672991219908,3.0234356620391318e-05
direct_osi,osi_target_t06h,137,gust_peak4h_mean_next_1h,0.002060345985228196,2.208452928527517e-05
direct_osi,osi_target_t06h,138,tp_rate_next_1h,0.0019650899339467287,2.1063494435202533e-05
direct_osi,osi_target_t06h,139,tp_at_t48h,0.0017699452728265896,1.8971769057876896e-05
direct_osi,osi_target_t06h,140,gust_exceed30_x_hso,0.001702747045783326,1.825148167716731e-05
direct_osi,osi_target_t06h,141,tp_at_t1h,0.0016675269871484488,1.7873963327371848e-05
direct_osi,osi_target_t06h,142,tp_t,0.001164858986157924,1.248594293262419e-05
direct_osi,osi_target_t06h,143,gust_gt40_next_24h,0.0009080519957933575,9.733268605092983e-06
direct_osi,osi_target_t06h,144,is_metro,0.0006071759853512049,6.508225281551119e-06
direct_osi,osi_target_t06h,145,gust_gt30_frac_next_6h,0.0005374430038500577,5.7607682606658285e-06
direct_osi,osi_target_t06h,146,tp_at_t24h,0.0004126349958823994,4.4229705670938296e-06
direct_osi,osi_target_t06h,147,is_worsening,0.0,0.0
direct_osi,osi_target_t06h,148,is_snowing,0.0,0.0
direct_osi,osi_target_t06h,149,gust_gt30_next_1h,0.0,0.0
direct_osi,osi_target_t06h,150,gust_gt40_next_1h,0.0,0.0
direct_osi,osi_target_t06h,151,window_len_next_1h,0.0,0.0
