model,horizon,fipsCode,rmse,mae,n
C0_direct_osi,osi_target_t06h,18073,0.0035939341302299215,0.002119675406813768,138
C0_direct_osi,osi_target_t06h,18077,0.005050803047050237,0.001681347448651937,138
C0_direct_osi,osi_target_t06h,18083,0.004310042682417476,0.0021146563344733344,138
C0_direct_osi,osi_target_t06h,18085,0.011187185945930649,0.010091352086763272,138
C0_direct_osi,osi_target_t06h,18087,0.0018633004383859456,0.0012221328176923187,138
C0_direct_osi,osi_target_t06h,18089,0.0035005637524960654,0.0028507273576763334,138
C0_direct_osi,osi_target_t06h,18091,0.0014447796777371869,0.0006829065953606994,138
C0_direct_osi,osi_target_t06h,18093,0.009074320760926572,0.0037434277061191264,138
C0_direct_osi,osi_target_t06h,18095,0.0015184796588125183,0.0006751844408442949,138
C0_direct_osi,osi_target_t06h,18097,0.0015423799630976587,0.0014489880213710042,138
C0_direct_osi,osi_target_t06h,18099,0.008931431825126143,0.0034641996999155667,138
C0_direct_osi,osi_target_t06h,18101,0.004812198098509068,0.0030413326770815565,138
C0_direct_osi,osi_target_t06h,18103,0.002073133578945618,0.0010668312436945015,138
C0_direct_osi,osi_target_t06h,18105,0.002723028732922217,0.000900117873925043,138
C0_direct_osi,osi_target_t06h,18107,0.0017006369257130483,0.0015838035721372748,138
C0_direct_osi,osi_target_t06h,18109,0.003736821138572247,0.0015238272661442505,138
C0_direct_osi,osi_target_t06h,18111,0.00464074115082825,0.003106381557216652,138
C0_direct_osi,osi_target_t06h,18113,0.0015029219455395884,0.001295679688191677,138
C0_direct_osi,osi_target_t06h,18117,0.01372469375949035,0.004088508314150024,138
C0_direct_osi,osi_target_t06h,18121,0.025601776561773832,0.009415365180358518,138
C0_direct_osi,osi_target_t06h,18123,0.0044635627500590564,0.002013765527699361,138
C0_direct_osi,osi_target_t06h,18125,0.003468268306292173,0.001189178800439031,138
C0_direct_osi,osi_target_t06h,18127,0.003029076126577159,0.0019144718781105227,138
C0_direct_osi,osi_target_t06h,18129,0.001221415222423586,0.0005468116206891325,138
C0_direct_osi,osi_target_t06h,18131,0.017617707700384178,0.004414729441197876,138
C0_direct_osi,osi_target_t06h,18133,0.001216751680196954,0.000492773304581684,138
C0_direct_osi,osi_target_t06h,18135,0.0037008753784910074,0.002254836362551602,138
C0_direct_osi,osi_target_t06h,18137,0.003362249379397954,0.0014220287854053275,138
C0_direct_osi,osi_target_t06h,18139,0.0029841017459022842,0.00101469094735551,138
C0_direct_osi,osi_target_t06h,18141,0.0020224785858107847,0.001313346740713069,138
C0_direct_osi,osi_target_t06h,18143,0.004344759757850991,0.001949493994680665,138
C0_direct_osi,osi_target_t06h,18145,0.001539314635226627,0.0005544355085066875,138
C0_direct_osi,osi_target_t06h,18147,0.0014769784712091842,0.0005487226106639201,138
C0_direct_osi,osi_target_t06h,18149,0.009996285203577803,0.006839974785995203,138
C0_direct_osi,osi_target_t06h,18151,0.011338229276658403,0.008400437234681746,138
C0_direct_osi,osi_target_t06h,18153,0.0028364502083838344,0.0012161087717118518,138
C0_direct_osi,osi_target_t06h,18155,0.0036804892079135834,0.0013832620937924897,138
C0_direct_osi,osi_target_t06h,18157,0.0017495872282510668,0.0015860243159261642,138
C0_direct_osi,osi_target_t06h,18159,0.004315934197215801,0.0014254730640642465,138
C0_direct_osi,osi_target_t06h,18161,0.0035109393903046612,0.0015042427351116409,138
C0_direct_osi,osi_target_t06h,18163,0.0007910384660724384,0.0003725550067883584,138
C0_direct_osi,osi_target_t06h,18165,0.014907729868354846,0.004048708945466693,138
C0_direct_osi,osi_target_t06h,18167,0.0015578771009484593,0.0007554111275132387,138
C0_direct_osi,osi_target_t06h,18169,0.002350805611648606,0.0010202815449349137,138
C0_direct_osi,osi_target_t06h,18171,0.004038192231690131,0.0016342274050715282,138
C0_direct_osi,osi_target_t06h,18173,0.0012434268403184797,0.00047858787595269627,138
C0_direct_osi,osi_target_t06h,18175,0.0040772648252695234,0.0010715408777766586,138
C0_direct_osi,osi_target_t06h,18177,0.002065368718574211,0.0017322644343051477,138
C0_direct_osi,osi_target_t06h,18179,0.004999590772770907,0.001522888581303558,138
C0_direct_osi,osi_target_t06h,18181,0.002048258999812591,0.0008156796232300455,138
C0_direct_osi,osi_target_t06h,18183,0.0030873961987301847,0.0017919007415114947,138
C0_direct_osi,osi_target_t06h,39017,0.001501657790948513,0.0013930139642064406,138
