candidate,horizon,fipsCode,rmse,mae,n
L0,osi_target_t01h,39171,0.00972102792729044,0.005820390058483728,143
L0,osi_target_t01h,39173,0.008165022161266739,0.006084092149838624,143
L0,osi_target_t01h,39175,0.0026154430569369537,0.00150595884336771,143
L0,osi_target_t01h,42005,0.01333006050265327,0.0077821138457040175,143
L0,osi_target_t01h,42007,0.009023666090004337,0.0058457902611289015,143
L0,osi_target_t01h,42009,0.01077237332952004,0.006488280607295474,143
L0,osi_target_t01h,42013,0.0015634762133680345,0.0011172632039098056,143
L0,osi_target_t01h,42015,0.003496005489788984,0.002124373786611355,143
L0,osi_target_t01h,42019,0.005767957108331058,0.0025827976675831216,143
L0,osi_target_t01h,42021,0.012202245842142643,0.005549742397053288,143
L0,osi_target_t01h,42023,0.012147246598796554,0.007456499535583495,143
L0,osi_target_t01h,42025,0.0014352914866209861,0.0008760198158212697,143
L0,osi_target_t01h,42027,0.0015854031746170363,0.0009788698659958766,143
L0,osi_target_t01h,42029,0.009533584975202392,0.004459469068715289,143
L0,osi_target_t01h,42031,0.012453945734241089,0.006707491143437192,143
L0,osi_target_t01h,42033,0.0062212562523941755,0.003494902802957276,143
L0,osi_target_t01h,42035,0.005302437244037632,0.0034684528680190715,143
L0,osi_target_t01h,42039,0.013022119841699027,0.0065365422134414835,143
L0,osi_target_t01h,42041,0.0022966622907872798,0.0011631539168194583,143
L0,osi_target_t01h,42043,0.0014205361008489488,0.0009278571822457407,143
L0,osi_target_t01h,42045,0.0027082080304178502,0.0011304904492658147,143
L0,osi_target_t01h,42047,0.013472496310558548,0.004805134069708627,143
L0,osi_target_t01h,42049,0.0084565715835072,0.004437613099137596,143
L0,osi_target_t01h,42051,0.003889072857743043,0.002926617200300044,143
L0,osi_target_t01h,42053,0.09644110183059004,0.035186579790505976,143
L0,osi_target_t01h,42055,0.0008971708650209913,0.0004200861057068185,143
L0,osi_target_t01h,42057,0.0025343364428567026,0.0017344276118929649,143
L0,osi_target_t01h,42059,0.011598521733561297,0.0056576530452683675,143
L0,osi_target_t01h,42061,0.0024028342404831112,0.0012647330053092852,143
L0,osi_target_t01h,42063,0.009206321800754228,0.005501764654573923,143
L0,osi_target_t01h,42065,0.011252438048706966,0.005429450228591867,143
L0,osi_target_t01h,42067,0.001788313272618402,0.0008448266849180795,143
L0,osi_target_t01h,42069,0.0023881273790508583,0.0010489992902656526,143
L0,osi_target_t01h,42075,0.005654844118711492,0.0021700312203765714,143
L0,osi_target_t01h,42077,0.0029740738130006475,0.0016912806477821813,143
L0,osi_target_t01h,42079,0.0011548664968833702,0.0005144633027934132,143
L0,osi_target_t01h,42081,0.003016223766755537,0.0018984067395265175,143
L0,osi_target_t01h,42083,0.004093804342582884,0.002459634422200765,143
L0,osi_target_t01h,42085,0.004025899818653122,0.0030075825275919584,143
L0,osi_target_t01h,42089,0.004012004079350188,0.0018930363363215757,143
L0,osi_target_t01h,42091,0.0023182847304216714,0.0011073124073375455,143
L0,osi_target_t01h,42095,0.0030981262391767297,0.0015013422848410287,143
L0,osi_target_t01h,42097,0.003106721020035176,0.0015743703830725898,143
L0,osi_target_t01h,42101,0.004147774161642862,0.002059967808148351,143
L0,osi_target_t01h,42103,0.002703552706708167,0.0014513943039691595,143
L0,osi_target_t01h,42109,0.006041973126093348,0.001533288142880807,143
