case,horizon,fipsCode,fold,n,rmse,mae,sse,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
H0_Huber,osi_target_t01h,39115,2,143,0.031664786178197714,0.006647932880791443,0.1433801917706703,-0.0054830247155613215,0.031664786178197714,0.0,0.0,0.0
H0_Huber,osi_target_t01h,39117,4,143,0.017959500045327124,0.009890422007655407,0.04612374078856901,-0.00565943079611382,0.017959500045327124,0.0,0.0,0.0
H0_Huber,osi_target_t01h,39119,1,143,0.026082109815749967,0.017687337929907152,0.09727953269904024,0.017660764503333724,0.026082109815749967,0.0,0.0,0.0
H0_Huber,osi_target_t01h,39121,1,143,0.00823888758525233,0.00459716017029489,0.009706735415866771,-0.004091657283161978,0.00823888758525233,0.0,0.0,0.0
H0_Huber,osi_target_t01h,39123,0,143,0.0014513880285104404,0.0006278946627730294,0.00030123339093038944,0.00021186828142562275,0.0014513880285104404,0.0,0.0,0.0
H0_Huber,osi_target_t01h,39125,1,143,0.018919240855188268,0.010077759462639342,0.051185087458737365,0.0023936055025389927,0.018919240855188268,0.0,0.0,0.0
H0_Huber,osi_target_t01h,39127,0,143,0.01139948110938262,0.007133228708070994,0.018582588247533484,0.005622896025471759,0.01139948110938262,0.0,0.0,0.0
H0_Huber,osi_target_t01h,39129,2,143,0.0011301511713419983,0.0005233580126987938,0.0001826455588222538,-0.0003344819001646881,0.0011301511713419983,0.0,0.0,0.0
H0_Huber,osi_target_t01h,39131,3,143,0.005426256617595051,0.002009914752301928,0.004210529305839154,-0.0013394129955301682,0.005426256617595051,0.0,0.0,0.0
H0_Huber,osi_target_t01h,39133,0,143,0.005526905318937144,0.003303647188639888,0.004368175583842885,-0.0020570986276536767,0.005526905318937144,0.0,0.0,0.0
H0_Huber,osi_target_t01h,39135,0,143,0.005402826590457802,0.0026691025037329673,0.004174246528817776,-0.0025927314715683556,0.005402826590457802,0.0,0.0,0.0
H0_Huber,osi_target_t01h,39137,0,143,0.010280124789581577,0.004741126760157712,0.015112378093579862,-0.0015556027555940122,0.010280124789581577,0.0,0.0,0.0
H0_Huber,osi_target_t01h,39139,2,143,0.011600040881316553,0.00843935131022204,0.01924221562809479,-0.007258744731108855,0.011600040881316553,0.0,0.0,0.0
H0_Huber,osi_target_t01h,39141,3,143,0.002042041439656455,0.0012974499540442403,0.0005963004535022117,0.001184792315548486,0.002042041439656455,0.0,0.0,0.0
H0_Huber,osi_target_t01h,39143,4,143,0.0015383822937677463,0.0010895686417115508,0.00033842667169427004,0.0009473626446690212,0.0015383822937677463,0.0,0.0,0.0
H0_Huber,osi_target_t01h,39145,3,143,0.0013861210319335527,0.0006931972072073519,0.0002747504066691008,0.0004336392135766182,0.0013861210319335527,0.0,0.0,0.0
H0_Huber,osi_target_t01h,39147,4,143,0.0016803434023526585,0.0010475307032785633,0.00040376821482570544,0.0006707293402012299,0.0016803434023526585,0.0,0.0,0.0
H0_Huber,osi_target_t01h,39149,3,143,0.01607295634330325,0.01044691791781535,0.0369426093627637,0.009448971678510583,0.01607295634330325,0.0,0.0,0.0
H0_Huber,osi_target_t01h,39151,4,143,0.002498947115736393,0.0013097939785894012,0.0008929973462763552,-0.0010984486566090385,0.002498947115736393,0.0,0.0,0.0
H0_Huber,osi_target_t01h,39153,0,143,0.0036624780710634033,0.0018266266959095492,0.001918165623805904,0.0014099274930162563,0.0036624780710634033,0.0,0.0,0.0
