cv_seed,horizon,target_day,fipsCode,variant,low_loss_controls,high_loss_controls,control_max_osi_peak,control_mean_osi_peak,control_max_osi_mean,query_osi_peak,query_osi_mean,query_P_mean,control_mean_P_mean,control_max_P_mean
42,6,5,54067,source_cache_rank,3,1,0.1199,0.03432,0.016379166666666667,0.0341,0.009395833333333332,0.012166933833333332,0.007536945825,0.022001598875
42,6,5,54069,context,4,0,0.0168,0.00634,0.008004166666666666,0.0234,0.003466666666666667,0.0055934344583333335,0.004239737316666667,0.011450963833333333
42,6,5,54069,source_cache_rank,4,0,0.0168,0.006959999999999999,0.008004166666666666,0.0234,0.003466666666666667,0.0055934344583333335,0.005041807458333334,0.011450963833333333
42,6,5,54071,context,2,2,0.191,0.057920000000000006,0.03852083333333333,0.0,0.0,0.0,0.020438492683333333,0.06334688345833334
42,6,5,54071,source_cache_rank,2,0,0.0483,0.014980000000000002,0.006758333333333332,0.0,0.0,0.0,0.0034747768166666663,0.011061430833333335
42,6,5,54073,context,0,2,0.1199,0.05958,0.021133333333333334,0.0099,0.0025791666666666667,0.003490456,0.015148574966666667,0.032336352625
42,6,5,54073,source_cache_rank,1,0,0.0483,0.02326,0.006758333333333332,0.0099,0.0025791666666666667,0.003490456,0.005391088525,0.011061430833333335
42,6,5,54075,context,5,0,0.006,0.0031399999999999996,0.0016958333333333333,0.012,0.0010833333333333335,0.001308373583333333,0.0008746793666666666,0.0024141969166666666
42,6,5,54075,source_cache_rank,4,1,0.191,0.04168,0.03852083333333333,0.012,0.0010833333333333335,0.001308373583333333,0.013930949933333334,0.06334688345833334
42,6,5,54077,context,1,1,0.0522,0.03234,0.013683333333333334,0.0014,0.0002416666666666667,0.000301576375,0.010707751474999999,0.0198992995
42,6,5,54077,source_cache_rank,2,1,0.1199,0.03498,0.016379166666666667,0.0014,0.0002416666666666667,0.000301576375,0.007472156983333334,0.022001598875
42,6,5,54079,context,4,0,0.0236,0.0076,0.004433333333333333,0.0075,0.002433333333333333,0.0035994838333333334,0.0025574576999999998,0.006733490166666666
42,6,5,54079,source_cache_rank,3,0,0.0236,0.00992,0.006408333333333333,0.0075,0.002433333333333333,0.0035994838333333334,0.004063481583333332,0.009683903624999999
42,6,5,54081,context,3,0,0.0236,0.01042,0.004433333333333333,0.0048,0.0013874999999999998,0.0021918340833333334,0.0038647187583333333,0.006733490166666666
42,6,5,54081,source_cache_rank,3,0,0.0355,0.01298,0.007941666666666666,0.0048,0.0013874999999999998,0.0021918340833333334,0.005427986524999999,0.012556670125
42,6,5,54083,context,4,0,0.0341,0.01218,0.009395833333333332,0.0057,0.0013,0.0017386030833333333,0.0036731823166666665,0.012166933833333332
42,6,5,54083,source_cache_rank,4,0,0.012,0.00692,0.0016958333333333333,0.0057,0.0013,0.0017386030833333333,0.0012343923083333332,0.0024141969166666666
42,6,5,54085,context,1,1,0.191,0.05584,0.03852083333333333,0.0483,0.006758333333333332,0.011061430833333335,0.017884937458333333,0.06334688345833334
42,6,5,54085,source_cache_rank,1,3,0.191,0.08838,0.03852083333333333,0.0483,0.006758333333333332,0.011061430833333335,0.025630396925,0.06334688345833334
42,6,5,54087,context,0,4,0.191,0.11604,0.065225,0.0821,0.020870833333333335,0.03362198945833333,0.04500473126666667,0.10118123804166666
42,6,5,54087,source_cache_rank,0,4,0.191,0.12187999999999999,0.065225,0.0821,0.020870833333333335,0.03362198945833333,0.045985500766666666,0.10118123804166666
42,6,5,54089,context,3,2,0.1199,0.035820000000000005,0.016379166666666667,0.0026,0.0003541666666666667,0.00057934525,0.006883998316666667,0.022001598875
42,6,5,54089,source_cache_rank,1,3,0.191,0.08642000000000001,0.03852083333333333,0.0026,0.0003541666666666667,0.00057934525,0.024781651908333334,0.06334688345833334
42,6,5,54091,context,2,0,0.0341,0.01482,0.005458333333333333,0.0025,0.0007333333333333332,0.0011545292500000001,0.005317688641666667,0.008810229291666666
42,6,5,54091,source_cache_rank,2,0,0.0341,0.01594,0.013820833333333336,0.0025,0.0007333333333333332,0.0011545292500000001,0.006911334283333334,0.019566232708333336
42,6,5,54093,context,2,2,0.1199,0.049319999999999996,0.021133333333333334,0.0021,0.0002708333333333334,7.374629166666666e-05,0.013827932158333334,0.032336352625
42,6,5,54093,source_cache_rank,3,0,0.0341,0.01244,0.009395833333333332,0.0021,0.0002708333333333334,7.374629166666666e-05,0.003155210325,0.012166933833333332
42,6,5,54095,context,2,1,0.0522,0.02186,0.007170833333333334,0.039,0.003554166666666667,0.005691056833333333,0.005841767358333334,0.010683312083333334
42,6,5,54095,source_cache_rank,2,0,0.0483,0.02008,0.007141666666666667,0.039,0.003554166666666667,0.005691056833333333,0.008015737383333334,0.011061430833333335
42,6,5,54097,context,3,2,0.1199,0.04292,0.021133333333333334,0.0057,0.0015125,0.0021550662083333334,0.011409294650000002,0.032336352625
42,6,5,54097,source_cache_rank,3,1,0.1199,0.030260000000000002,0.016379166666666667,0.0057,0.0015125,0.0021550662083333334,0.005653667833333333,0.022001598875
42,6,5,54099,context,4,0,0.0161,0.0071,0.006733333333333334,0.0175,0.003379166666666667,0.005394295083333334,0.003295534391666667,0.010135656750000001
42,6,5,54099,source_cache_rank,2,0,0.0129,0.0081,0.004595833333333333,0.0175,0.003379166666666667,0.005394295083333334,0.0035717263416666666,0.006687556958333334
42,6,5,54101,context,2,2,0.0821,0.04035999999999999,0.021133333333333334,0.006,0.0016958333333333333,0.0024141969166666666,0.016070817683333332,0.03362198945833333
42,6,5,54101,source_cache_rank,1,2,0.1199,0.05242,0.020870833333333335,0.006,0.0016958333333333333,0.0024141969166666666,0.014836136316666665,0.03362198945833333
42,6,5,54103,context,3,2,0.1199,0.044700000000000004,0.020870833333333335,0.0129,0.0029958333333333334,0.004652435666666666,0.014080846066666666,0.03362198945833333
42,6,5,54103,source_cache_rank,2,1,0.191,0.05347999999999999,0.03852083333333333,0.0129,0.0029958333333333334,0.004652435666666666,0.017951480725000003,0.06334688345833334
42,6,5,54105,context,0,3,0.1199,0.06910000000000001,0.021133333333333334,0.0191,0.004379166666666667,0.0061575833333333335,0.02044538135833333,0.03362198945833333
42,6,5,54105,source_cache_rank,1,0,0.0483,0.019440000000000002,0.007141666666666667,0.0191,0.004379166666666667,0.0061575833333333335,0.006368709166666667,0.011061430833333335
42,6,5,54107,context,2,0,0.0472,0.02334,0.007941666666666666,0.0027,0.0006041666666666666,0.0008862227916666666,0.005699871375,0.012556670125
42,6,5,54107,source_cache_rank,2,0,0.0236,0.013819999999999999,0.004433333333333333,0.0027,0.0006041666666666666,0.0008862227916666666,0.0049394539500000004,0.006733490166666666
42,6,5,54109,context,1,2,0.1199,0.047920000000000004,0.016379166666666667,0.0052,0.0012583333333333333,0.002025691666666667,0.013029296958333334,0.022001598875
42,6,5,54109,source_cache_rank,0,3,0.1724,0.06878,0.065225,0.0052,0.0012583333333333333,0.002025691666666667,0.03446207183333333,0.10118123804166666
42,6,6,18009,context,5,0,0.0057,0.00224,0.0018916666666666667,0.0011,9.583333333333334e-05,8.945458333333334e-05,0.0008729764583333332,0.0027037694166666664
42,6,6,18009,source_cache_rank,5,0,0.0057,0.0018800000000000002,0.00045000000000000004,0.0011,9.583333333333334e-05,8.945458333333334e-05,0.000368586125,0.0006501635833333334
42,6,6,18013,context,3,1,0.0846,0.02114,0.036387499999999996,0.0133,0.0025,0.003276853541666666,0.011789370625,0.05172196666666667
42,6,6,18013,source_cache_rank,3,1,0.1817,0.040139999999999995,0.11174583333333332,0.0133,0.0025,0.003276853541666666,0.033515388916666666,0.16081436458333334
42,6,6,18023,context,5,0,0.0009,0.00043999999999999996,0.0002333333333333333,0.0002,3.3333333333333335e-05,4.675733333333333e-05,9.656099999999999e-05,0.0003189847083333333
