cv_seed,horizon,target_day,fipsCode,excluded_fold,variant,rank,matched_fips,matched_fold,distance,control_osi_peak,control_osi_mean,control_P_peak,control_P_mean,control_N_peak,control_R_mean,control_D_mean,control_P_hours_gt05,control_T_rmse,control_S_rmse,query_osi_peak,query_osi_mean,query_P_peak,query_P_mean,query_N_peak,query_R_mean,query_D_mean,query_P_hours_gt05,query_T_rmse,query_S_rmse,control_low_loss,control_high_loss,control_countyName,control_stateAbbr
42,24,6,54013,2,context,2,54087,0,0.4561853610194118,0.0846,0.036387499999999996,0.132484228,0.05172196666666667,0.005515216,0.006032963499999999,0.06380427475,13,0.01380673830619201,0.014569744192423914,0.1752,0.11581666666666668,0.277119628,0.16915408429166667,0.032442896,0.012924248208333334,0.19150212924999999,24,0.08247780882965809,0.08226123155757607,False,True,Roane County,WV
42,24,6,54013,2,context,3,54085,3,0.4750162762099078,0.0712,0.040279166666666665,0.11244168,0.05943494029166666,0.008501814,0.004775785583333333,0.06596898229166666,15,0.017416536352694363,0.01599243528849423,0.1752,0.11581666666666668,0.277119628,0.16915408429166667,0.032442896,0.012924248208333334,0.19150212924999999,24,0.08247780882965809,0.08226123155757607,False,True,Ritchie County,WV
42,24,6,54013,2,context,4,54095,4,0.5129784087926518,0.0641,0.02965833333333333,0.103832753,0.04329994191666666,0.015272938,0.005654761916666667,0.04688830820833334,12,0.024004717430721495,0.026358359735940227,0.1752,0.11581666666666668,0.277119628,0.16915408429166667,0.032442896,0.012924248208333334,0.19150212924999999,24,0.08247780882965809,0.08226123155757607,False,True,Tyler County,WV
42,24,6,54013,2,context,5,54047,3,0.5821377873413618,0.0285,0.019391666666666668,0.044202685,0.028668275208333333,0.004831062,0.0025228686250000003,0.03171646958333333,0,0.007923023412929513,0.004699227803961263,0.1752,0.11581666666666668,0.277119628,0.16915408429166667,0.032442896,0.012924248208333334,0.19150212924999999,24,0.08247780882965809,0.08226123155757607,False,False,McDowell County,WV
42,24,6,54015,2,context,1,54087,0,0.35804823053202484,0.0846,0.036387499999999996,0.132484228,0.05172196666666667,0.005515216,0.006032963499999999,0.06380427475,13,0.01380673830619201,0.014569744192423914,0.1817,0.11174583333333332,0.291515779,0.16081436458333334,0.044145542,0.017858682458333334,0.18763112883333333,20,0.09031357866835484,0.08611423758534764,False,True,Roane County,WV
42,24,6,54015,2,context,2,54109,3,0.5904751960774144,0.0052,0.0030333333333333328,0.007905138,0.004376676083333334,0.00016469,0.0003774264583333333,0.005250220583333333,0,0.019204081451738585,0.021699149517361196,0.1817,0.11174583333333332,0.291515779,0.16081436458333334,0.044145542,0.017858682458333334,0.18763112883333333,20,0.09031357866835484,0.08611423758534764,True,False,Wyoming County,WV
42,24,6,54015,2,context,3,54007,4,0.7134292794611726,0.1154,0.06405,0.186941754,0.09357571183333334,0.039501824,0.009835269291666667,0.102380977375,19,0.04911728928979512,0.049270798737260556,0.1817,0.11174583333333332,0.291515779,0.16081436458333334,0.044145542,0.017858682458333334,0.18763112883333333,20,0.09031357866835484,0.08611423758534764,False,True,Braxton County,WV
42,24,6,54015,2,context,4,54035,0,0.7302262728745225,0.0187,0.005079166666666667,0.031432255,0.006686668666666666,0.009924898,0.0019398549583333335,0.008551402375000001,0,0.005679010626015658,0.0060515334887031634,0.1817,0.11174583333333332,0.291515779,0.16081436458333334,0.044145542,0.017858682458333334,0.18763112883333333,20,0.09031357866835484,0.08611423758534764,False,False,Jackson County,WV
42,24,6,54015,2,context,5,54067,3,0.7573373740638373,0.0207,0.007149999999999999,0.033382117,0.010447941083333334,0.00827003,0.0014751581666666666,0.011422646166666668,0,0.004359673440071715,0.0038626678979714313,0.1817,0.11174583333333332,0.291515779,0.16081436458333334,0.044145542,0.017858682458333334,0.18763112883333333,20,0.09031357866835484,0.08611423758534764,False,False,Nicholas County,WV
42,24,6,54013,2,source_cache_rank,1,54087,0,0.12264747949433022,0.0846,0.036387499999999996,0.132484228,0.05172196666666667,0.005515216,0.006032963499999999,0.06380427475,13,0.01380673830619201,0.014569744192423914,0.1752,0.11581666666666668,0.277119628,0.16915408429166667,0.032442896,0.012924248208333334,0.19150212924999999,24,0.08247780882965809,0.08226123155757607,False,True,Roane County,WV
42,24,6,54013,2,source_cache_rank,2,54007,4,0.17789690482929804,0.1154,0.06405,0.186941754,0.09357571183333334,0.039501824,0.009835269291666667,0.102380977375,19,0.04911728928979512,0.049270798737260556,0.1752,0.11581666666666668,0.277119628,0.16915408429166667,0.032442896,0.012924248208333334,0.19150212924999999,24,0.08247780882965809,0.08226123155757607,False,True,Braxton County,WV
42,24,6,54013,2,source_cache_rank,3,54085,3,0.18144316988145925,0.0712,0.040279166666666665,0.11244168,0.05943494029166666,0.008501814,0.004775785583333333,0.06596898229166666,15,0.017416536352694363,0.01599243528849423,0.1752,0.11581666666666668,0.277119628,0.16915408429166667,0.032442896,0.012924248208333334,0.19150212924999999,24,0.08247780882965809,0.08226123155757607,False,True,Ritchie County,WV
42,24,6,54013,2,source_cache_rank,4,54041,4,0.1901219140210328,0.0174,0.009933333333333334,0.028736779,0.014385019583333334,0.003359276,0.0015646124166666664,0.016166517041666665,0,0.003916340908145132,0.0041563818448659895,0.1752,0.11581666666666668,0.277119628,0.16915408429166667,0.032442896,0.012924248208333334,0.19150212924999999,24,0.08247780882965809,0.08226123155757607,False,False,Lewis County,WV
42,24,6,54013,2,source_cache_rank,5,39105,1,0.19851475617676803,0.0168,0.00155,0.028676683,0.0014266135000000001,0.000192636,0.0012911731666666669,0.004363605541666667,0,0.002689723969485141,0.0029268209782747395,0.1752,0.11581666666666668,0.277119628,0.16915408429166667,0.032442896,0.012924248208333334,0.19150212924999999,24,0.08247780882965809,0.08226123155757607,False,False,Meigs County,OH
42,24,6,54015,2,source_cache_rank,1,54007,4,0.16536177654138673,0.1154,0.06405,0.186941754,0.09357571183333334,0.039501824,0.009835269291666667,0.102380977375,19,0.04911728928979512,0.049270798737260556,0.1817,0.11174583333333332,0.291515779,0.16081436458333334,0.044145542,0.017858682458333334,0.18763112883333333,20,0.09031357866835484,0.08611423758534764,False,True,Braxton County,WV
42,24,6,54015,2,source_cache_rank,2,54087,0,0.16977867332590266,0.0846,0.036387499999999996,0.132484228,0.05172196666666667,0.005515216,0.006032963499999999,0.06380427475,13,0.01380673830619201,0.014569744192423914,0.1817,0.11174583333333332,0.291515779,0.16081436458333334,0.044145542,0.017858682458333334,0.18763112883333333,20,0.09031357866835484,0.08611423758534764,False,True,Roane County,WV
42,24,6,54015,2,source_cache_rank,3,54035,0,0.2148674690998793,0.0187,0.005079166666666667,0.031432255,0.006686668666666666,0.009924898,0.0019398549583333335,0.008551402375000001,0,0.005679010626015658,0.0060515334887031634,0.1817,0.11174583333333332,0.291515779,0.16081436458333334,0.044145542,0.017858682458333334,0.18763112883333333,20,0.09031357866835484,0.08611423758534764,False,False,Jackson County,WV
42,24,6,54015,2,source_cache_rank,4,54109,3,0.22174771082528033,0.0052,0.0030333333333333328,0.007905138,0.004376676083333334,0.00016469,0.0003774264583333333,0.005250220583333333,0,0.019204081451738585,0.021699149517361196,0.1817,0.11174583333333332,0.291515779,0.16081436458333334,0.044145542,0.017858682458333334,0.18763112883333333,20,0.09031357866835484,0.08611423758534764,True,False,Wyoming County,WV
42,24,6,54015,2,source_cache_rank,5,39105,1,0.23270845512889432,0.0168,0.00155,0.028676683,0.0014266135000000001,0.000192636,0.0012911731666666669,0.004363605541666667,0,0.002689723969485141,0.0029268209782747395,0.1817,0.11174583333333332,0.291515779,0.16081436458333334,0.044145542,0.017858682458333334,0.18763112883333333,20,0.09031357866835484,0.08611423758534764,False,False,Meigs County,OH
