cv_seed,horizon,fipsCode,n,T_sse,T_rmse,T_bias,truth_mean,truth_max,S_sse,S_rmse,S_bias,common_score,under_common_score,over_common_score,both_under_n,both_under_T_sse,both_under_S_sse,both_over_n,both_over_T_sse,both_over_S_sse,opposite_n,opposite_T_sse,opposite_S_sse,zero_error_n,zero_error_T_sse,zero_error_S_sse,countyName,stateAbbr,rank
42,1,39133,143,0.003986828964072234,0.005280144205008037,-0.0018242383014196,0.01057062937062937,0.0543,,,,,,,,,,,,,,,,,,,Portage County,OH,88
42,1,39135,143,0.004073285931565165,0.0053370888135717024,-0.0024936660116445706,0.0036426573426573423,0.0205,,,,,,,,,,,,,,,,,,,Preble County,OH,86
42,1,39137,143,0.014313391806428202,0.010004681354046285,-0.001059618057645034,0.012781118881118882,0.116,,,,,,,,,,,,,,,,,,,Putnam County,OH,45
42,1,39139,143,0.018306200390891897,0.01131438850972046,-0.007681030111595774,0.023553846153846154,0.1101,,,,,,,,,,,,,,,,,,,Richland County,OH,39
42,1,39141,143,0.0004923928891887952,0.001855614970139054,0.0009538538304575965,0.0004804195804195805,0.0048,,,,,,,,,,,,,,,,,,,Ross County,OH,186
42,1,39143,143,0.0003318117386845738,0.0015232733861598954,0.0009328429024560397,0.0017517482517482518,0.0158,,,,,,,,,,,,,,,,,,,Sandusky County,OH,201
42,1,39145,143,0.0002412237178413536,0.0012987991167781611,0.00037537126537234145,0.0004916083916083916,0.0044,,,,,,,,,,,,,,,,,,,Scioto County,OH,218
42,1,39147,143,0.000459149820363308,0.0017918811078412868,0.000638061118873525,0.0018356643356643358,0.0119,,,,,,,,,,,,,,,,,,,Seneca County,OH,191
42,1,39149,143,0.028419124469971226,0.014097345003710625,0.008610323802271457,0.005595804195804196,0.0494,,,,,,,,,,,,,,,,,,,Shelby County,OH,22
42,1,39151,143,0.0009061340626137784,0.002517260780384104,-0.0009776945861261603,0.00858041958041958,0.0517,,,,,,,,,,,,,,,,,,,Stark County,OH,165
42,1,39153,143,0.0014582542250096595,0.0031933653084284834,0.0011029749211770121,0.005086013986013985,0.0351,,,,,,,,,,,,,,,,,,,Summit County,OH,133
42,1,39155,143,0.002673701913317039,0.00432402777246426,-0.00037303826232596267,0.003236363636363636,0.0483,,,,,,,,,,,,,,,,,,,Trumbull County,OH,105
42,1,39157,143,0.06634174536337958,0.02153899462032531,-0.015034569870079891,0.04684125874125874,0.2157,,,,,,,,,,,,,,,,,,,Tuscarawas County,OH,9
42,1,39159,143,0.0037489603309228117,0.005120205641441468,0.003613586362777431,0.0027853146853146853,0.0152,,,,,,,,,,,,,,,,,,,Union County,OH,90
