cv_seed,horizon,target_day,n,T_sse,T_rmse,T_bias,truth_mean,truth_max,S_sse,S_rmse,S_bias,common_score,under_common_score,over_common_score,both_under_n,both_under_T_sse,both_under_S_sse,both_over_n,both_over_T_sse,both_over_S_sse,opposite_n,opposite_T_sse,opposite_S_sse,zero_error_n,zero_error_T_sse,zero_error_S_sse
20260917,48,7,5736,0.17176526690937,0.005472214379419479,-0.00010099934632123852,0.000520536959553696,0.3277,0.16969266219494894,0.00543909895605804,-0.00023524538507178184,0.16729570950876085,0.1630453912777895,0.00425031823097135,1737.0,0.16354417927984055,0.16386287658608142,491.0,0.00730916921614605,0.005561855187308289,193.0,0.0003413495471000196,7.324136708715942e-05,3315.0,0.0005705688662834052,0.00019468905447204808
20260917,48,8,5736,0.005957042220075718,0.0010190858412793525,-8.44139075857298e-05,0.00016987447698744767,0.0204,0.005322165684307142,0.0009632513445478349,-0.0001564873957460171,0.005160018675484239,0.005075150828038249,8.486784744598997e-05,1622.0,0.005075150828038249,0.005215269999999999,52.0,0.00030501635700601565,9.930938396438467e-05,64.0,0.00010724592459746528,6.570000000000001e-06,3998.0,0.00046962911043398905,1.0163003427571395e-06
20260918,1,3,5497,2.0836330939567533,0.0194691842354253,-0.0004283986595843238,0.019348681098781153,0.5447,,,,,,,,,,,,,,,,,,
20260918,1,4,5736,0.6590666012918367,0.010719143393607489,-0.00017488376019428746,0.006901882845188283,0.1505,,,,,,,,,,,,,,,,,,
20260918,1,5,5736,0.45063178306874485,0.00886352223086003,0.0002917806653443989,0.004522384937238493,0.191,,,,,,,,,,,,,,,,,,
20260918,1,6,5736,0.4139959916520551,0.008495589056218732,-0.0001734273707099576,0.003570554393305439,0.1817,,,,,,,,,,,,,,,,,,
20260918,1,7,5736,0.18052168913541466,0.005609964627946924,6.691271237164087e-05,0.000520536959553696,0.3277,,,,,,,,,,,,,,,,,,
20260918,1,8,5736,0.019375735785281126,0.0018379112261636078,4.4570224295826095e-05,0.00016987447698744767,0.0204,,,,,,,,,,,,,,,,,,
20260918,6,3,4302,1.283953501979124,0.01727585081495408,-0.0003820100519784573,0.016671989772198973,0.4704,,,,,,,,,,,,,,,,,,
20260918,6,4,5736,0.6590666012918367,0.010719143393607489,-0.00017488376019428746,0.006901882845188283,0.1505,,,,,,,,,,,,,,,,,,
20260918,6,5,5736,0.45063178306874485,0.00886352223086003,0.0002917806653443989,0.004522384937238493,0.191,,,,,,,,,,,,,,,,,,
20260918,6,6,5736,0.4139959916520551,0.008495589056218732,-0.0001734273707099576,0.003570554393305439,0.1817,,,,,,,,,,,,,,,,,,
20260918,6,7,5736,0.18052168913541466,0.005609964627946924,6.691271237164087e-05,0.000520536959553696,0.3277,,,,,,,,,,,,,,,,,,
20260918,6,8,5736,0.019375735785281126,0.0018379112261636078,4.4570224295826095e-05,0.00016987447698744767,0.0204,,,,,,,,,,,,,,,,,,
20260918,24,4,5736,0.7366673350599073,0.011332641102976925,-0.00021836819129521283,0.006901882845188283,0.1505,0.7224321405656748,0.011222612258318956,-0.0003094098743236838,0.661806707492452,0.4892487607404445,0.17255794675200753,1594.0,0.5271624828651149,0.5145329268972474,2221.0,0.20737833568593372,0.20660712175622462,393.0,0.0015894705504535893,0.0011523378933237765,1528.0,0.0005370459584051772,0.00013975401887903626
20260918,24,5,5736,0.4896633414201357,0.009239409684687764,0.00016389195169664997,0.004522384937238493,0.191,0.4690806321864368,0.009043138442578341,-1.37488481385217e-05,0.4339498534649916,0.33315076602580546,0.10079908743918617,1763.0,0.36347316468127033,0.352691388188046,2859.0,0.12505881661698356,0.11505989163847162,506.0,0.0008585074082726676,0.00113188118857507,608.0,0.0002728527136091804,0.00019747117134414756
20260918,24,6,5736,0.4164849468515216,0.00852108864421808,-0.00016027856154175044,0.003570554393305439,0.1817,0.4140047137319028,0.008495678548408655,-0.0002932824890663089,0.37885854803526364,0.30096794383687087,0.07789060419839275,1830.0,0.31686157465601933,0.32189253786326816,1657.0,0.09859917355669139,0.09135285823865477,427.0,0.0006370074952260153,0.0005323666781908865,1822.0,0.0003871911435848558,0.00022695095178900925
20260918,24,7,5736,0.18642710131859516,0.005700985706547104,7.971962619000604e-05,0.000520536959553696,0.3277,0.1810640600080373,0.005618385775138361,-0.00010150260105139692,0.17820506598157604,0.1497571245194673,0.028447941462108765,1693.0,0.14988399831183583,0.1505434253473078,390.0,0.03524882078603472,0.03032788183658514,256.0,0.0005671925888643596,9.530399429779054e-05,3397.0,0.000727089631860248,9.744882984655572e-05
20260918,24,8,5736,0.020516698185153587,0.001891250968945485,6.902788973881544e-05,0.00016987447698744767,0.0204,0.011564386896853556,0.0014198966519577603,-6.602975444081371e-05,0.011328170765386497,0.005025343717075347,0.00630282704831115,1570.0,0.005029739479899641,0.00518417023165952,161.0,0.015033007192566516,0.006337223166005159,82.0,0.00010996223760787675,2.0406737310445243e-05,3923.0,0.00034398927507955544,2.2586761878432013e-05
20260918,48,5,5736,0.5049832092846549,0.00938283107875312,5.000420655186036e-05,0.004522384937238493,0.191,0.4932176489036809,0.00927288199344624,-0.00021054149785129105,0.46918238297895787,0.37797759827173816,0.09120478470721971,1906.0,0.39001711501145364,0.39047521594848467,2763.0,0.11404613731451546,0.10203633667003745,420.0,0.0006205434311440758,0.0006090019248160669,647.0,0.000299413527541708,9.709436034282565e-05
20260918,48,6,5736,0.5188238313208132,0.009510544607851758,-0.0003015815106607538,0.003570554393305439,0.1817,0.5086012929513324,0.009416383954402644,-0.00038668555168221483,0.48950725641235115,0.4095227533257235,0.07998450308662763,1859.0,0.4216437834434021,0.41564373782660635,1775.0,0.09647422161330083,0.09219541671134993,316.0,0.00030730253349796636,0.0005072338999385858,1786.0,0.0003985237306123115,0.0002549045134374702
20260918,48,7,5736,0.19149383266730854,0.005777937295531412,0.00015650583580826467,0.000520536959553696,0.3277,0.18960077136969117,0.0057493067220419115,-9.873429878270908e-06,0.18629773411980294,0.15034211689714855,0.03595561722265435,1699.0,0.15050507006203673,0.1511316475737588,460.0,0.039769396679625736,0.038293463682019184,206.0,0.00034235280730103584,0.00010397046687351538,3371.0,0.0008770131183450954,7.168964703965995e-05
20260918,48,8,5736,0.03637643566540431,0.002518288602800555,0.00013200013871740658,0.00016987447698744767,0.0204,0.03567830079992609,0.0024940060921565033,4.866421852177923e-05,0.03558107867629416,0.0051312483623873854,0.030449830313906776,1598.0,0.0051312483623873854,0.00521127,73.0,0.030544711718405792,0.030456480799926088,69.0,0.00010529378517389684,1.055e-05,3996.0,0.0005951817994372315,0.0
