cv_seed,horizon,fipsCode,n,T_sse,T_rmse,T_bias,truth_mean,truth_max,S_sse,S_rmse,S_bias,common_score,under_common_score,over_common_score,both_under_n,both_under_T_sse,both_under_S_sse,both_over_n,both_over_T_sse,both_over_S_sse,opposite_n,opposite_T_sse,opposite_S_sse,zero_error_n,zero_error_T_sse,zero_error_S_sse,countyName,stateAbbr,rank
42,24,42131,120,0.0010169661325750167,0.0029111368520662977,-0.0011235938820614625,0.0014066666666666665,0.0162,0.0010098952115393217,0.0029009986951900454,-0.0010634288811082649,0.0009553810008858547,0.0009467053602049452,8.675640680909434e-06,32.0,0.0010013183421272213,0.000983778886214531,4.0,8.675640680909434e-06,2.073384087087391e-05,5.0,3.400272334833607e-06,1.8107180032284732e-06,79.0,3.5718774320524126e-06,3.5717664506882358e-06,Wyoming County,PA,134
42,24,54007,120,0.07221360876968014,0.024531206107337403,-0.012622676239722082,0.01888,0.1154,0.07141586402871634,0.024395331525505097,-0.0126875765094352,0.06696516132381293,0.0667330467826805,0.00023211454113242281,91.0,0.07180195314176396,0.0711719109526616,15.0,0.0003998269468231212,0.00024119139386692828,4.0,1.037922566196174e-05,2.7616821878135824e-06,10.0,1.4494554310915595e-06,0.0,Braxton County,WV,7
42,24,54013,120,0.26267332934680454,0.046786156192012304,-0.023933260089335464,0.034992499999999996,0.191,0.2597322826725735,0.0465234960953937,-0.02423599369268401,0.25775314105536484,0.2575221927257644,0.00023094832960041264,66.0,0.2621092504709391,0.25948785292998877,26.0,0.0005454983258851069,0.0002403003684786148,10.0,7.249513185538887e-06,2.857144126271681e-06,18.0,1.1331036794783207e-05,1.272229979784925e-06,Calhoun County,WV,2
42,24,54015,120,0.3300779797663958,0.05244663794168919,-0.026018137753872222,0.03682166666666666,0.1817,0.304644165343391,0.050385527464358176,-0.02465287836877767,0.3041491328661004,0.30300183394705166,0.0011472989190487268,55.0,0.32886927147365685,0.3031323252893313,44.0,0.0011961353682842274,0.0015052680409962879,1.0,2.334973424298962e-06,8.702555604649728e-08,20.0,1.0237951030431765e-05,6.484987507379699e-06,Clay County,WV,1
42,24,54041,120,0.030624101448896122,0.0159750068985108,-0.003773404273699783,0.005961666666666667,0.1199,0.030548796635832827,0.01595535349964415,-0.0036255957864372978,0.030403820042828777,0.030386426883290775,1.7393159538006223e-05,62.0,0.03059000479394625,0.0305002179395484,17.0,3.183108173207792e-05,3.55317824384065e-05,12.0,2.265573217798628e-06,8.02094596380056e-06,29.0,0.0,5.025967882215398e-06,Lewis County,WV,10
42,48,18013,96,0.028656391004761774,0.017277270414225405,-0.002513611277888898,0.007806250000000001,0.0774,0.028536016677385128,0.017240944687654493,-0.0032789745559003783,0.02749670017027193,0.024990624937398752,0.002506075232873187,30.0,0.024990624937398752,0.02601397184185887,24.0,0.0036376249235052695,0.002513618428766395,6.0,2.8141143857761763e-05,8.426406759875331e-06,36.0,0.0,0.0,Brown County,IN,6
42,48,39115,96,0.1428628770765247,0.03857661169085658,-0.0074716802501162425,0.010060416666666667,0.3277,0.142867831041338,0.03857728053333037,-0.007439851895072722,0.14279891220795093,0.14268828761577362,0.00011062459217727887,39.0,0.14273445314739827,0.14269818867370912,17.0,0.00011403994466282187,0.0001647297789395828,6.0,1.4383984463620305e-05,4.912588689241758e-06,34.0,0.0,0.0,Morgan County,OH,3
42,48,39117,96,0.004217490014208386,0.006628136061367782,-0.00483437980586649,0.01285,0.0406,0.004064849954269888,0.0065070874455200505,-0.004815518549076956,0.003941067663082381,0.0038909105938855185,5.015706919686151e-05,87.0,0.004164931296236636,0.004014552885073027,6.0,5.015706919686151e-05,5.015706919686151e-05,3.0,2.4016487748896422e-06,1.3999999999999998e-07,0.0,0.0,0.0,Morrow County,OH,36
42,48,39119,96,0.016678960580093348,0.013181015617519984,0.00762021673467574,0.0017687499999999997,0.0168,0.015518900548811094,0.012714370375685758,0.006535915710347878,0.015518530548811096,1.73e-06,0.015516800548811095,23.0,1.73e-06,1.73e-06,47.0,0.01665559315840814,0.015516800548811095,8.0,1.4283460492087074e-05,3.7e-07,18.0,7.353961193126575e-06,0.0,Muskingum County,OH,14
42,48,42053,96,0.004705693694854097,0.007001260076209866,0.0012026366714988385,0.007564583333333333,0.0376,0.004102034375771855,0.0065367824460986525,-0.0012392976820793861,0.0033033027642870062,0.002669835005435568,0.0006334677588514377,23.0,0.0027129490876584682,0.0034253641804266274,44.0,0.0018876420293460808,0.0006334677588514377,11.0,3.931065204741906e-05,4.320243649378911e-05,18.0,6.579192580212854e-05,0.0,Forest County,PA,41
