comparison,horizon,model,fipsCode,countyName,fold,n,baseline_rmse,baseline_mae,baseline_sse,baseline_bias,candidate_rmse,candidate_mae,candidate_sse,candidate_bias,rmse_delta,rmse_change_pct,sse_reduction,changed_predictions,fraction_of_net_sse_reduction
G_minus_B,osi_target_t01h,v18_rule,39123,Ottawa County,4,143,0.0017835606944145055,0.0007400512628256533,0.0004548956913444305,0.00012486473038589413,0.0017058423534378419,0.000715760168983971,0.0004161154332738768,9.711986451990106e-05,-7.771834097666363e-05,-4.357482266796442,3.878025807055373e-05,4,0.0004114701168922335
G_minus_B,osi_target_t01h,v18_rule,39039,Defiance County,3,143,0.009181236263161046,0.00494628527552767,0.012054199202757625,-0.004817424434860821,0.009167859599184616,0.004920991591519032,0.012019099897141693,-0.004792130750852183,-1.33766639764301e-05,-0.14569567314265397,3.509930561593211e-05,4,0.00037241411231324475
G_minus_B,osi_target_t01h,v18_rule,39107,Mercer County,2,143,0.02325896572308861,0.01086492234816721,0.07736006657061695,0.01073663731201797,0.023253917534568166,0.010862099773605687,0.07732648934074306,0.01073381473745645,-5.0481885204428645e-06,-0.021704269143107968,3.357722987389067e-05,4,0.0003562644342384572
G_minus_B,osi_target_t01h,v18_rule,39147,Seneca County,2,143,0.00178973147485188,0.0010044552474867934,0.0004580488415467944,0.0004302612506158567,0.0017301966075692556,0.0009855435562359386,0.00042808198302071493,0.0004113495593650019,-5.953486728262438e-05,-3.3264692563755416,2.996685852607947e-05,4,0.00031795731627638654
G_minus_B,osi_target_t01h,v18_rule,39151,Stark County,1,143,0.004050542991600323,0.0023075000721893744,0.002346186489332757,-0.002234025984001044,0.004027050562119413,0.0022718641297885178,0.002319050480870879,-0.002198390041600188,-2.3492429480909995e-05,-0.5799822278056754,2.7136008461877987e-05,4,0.0002879211518779391
G_minus_B,osi_target_t01h,v18_rule,42013,Blair County,1,143,0.0018569886402457234,0.0010331492327028,0.0004931221738302374,-7.450702571858982e-05,0.0018077580288163595,0.0010169134120563044,0.00046732243997725135,-5.8271205072094104e-05,-4.923061142936389e-05,-2.6510992238945263,2.5799733852986098e-05,4,0.000273742879301193
G_minus_B,osi_target_t01h,v18_rule,18073,Jasper County,4,143,0.0028747922853290028,0.0015620595070628097,0.0011818135877815624,0.0009552014580900997,0.002847338978930659,0.0015018587781227097,0.0011593495143141178,0.0010154021870302,-2.7453306398343962e-05,-0.9549666088380371,2.246407346744462e-05,4,0.00023835052667026197
G_minus_B,osi_target_t01h,v18_rule,39155,Trumbull County,1,143,0.004212173367256348,0.0015667732190747033,0.0025371638400427865,5.176590431977912e-05,0.004193652247167095,0.0015538930512402661,0.002514900841334256,3.888573648534203e-05,-1.8521120089253287e-05,-0.4397046007941774,2.226299870853026e-05,4,0.00023621706344255358
G_minus_B,osi_target_t01h,v18_rule,18177,Wayne County,3,143,0.0017797547782695633,0.001008998036058574,0.00045295637112058795,0.0008504717658312238,0.0017367433990031508,0.000983750010161924,0.0004313277016592855,0.0008252237399345742,-4.3011379266412464e-05,-2.4167025587778945,2.1628669461302465e-05,4,0.0002294866407354605
G_minus_B,osi_target_t01h,v18_rule,39175,Wyandot County,4,143,0.002365770056790104,0.0014243265860560694,0.0008003521185094653,0.0001705321289143235,0.002335144978464238,0.0014031347033364274,0.0007797649960738849,0.00019172401163396573,-3.062507832586603e-05,-1.294507817358137,2.0587122435580417e-05,4,0.00021843551581404017
G_minus_B,osi_target_t01h,v18_rule,18141,St. Joseph County,1,143,0.0016814511563373335,0.001180242338889939,0.0004043007527341863,0.000813152608645489,0.001643302602042793,0.0011640956257911663,0.0003861634121889277,0.0008292993217442622,-3.814855429454061e-05,-2.268787538119077,1.8137340545258597e-05,4,0.000192442598517376
G_minus_B,osi_target_t01h,v18_rule,18127,Porter County,3,143,0.0025112753164334947,0.001726037562586971,0.0009018300312347253,0.0015835685812175817,0.0024860756266733876,0.0016871138445854299,0.0008838217990801453,0.001622492299219123,-2.519968976010716e-05,-1.003461850447196,1.8008232154579978e-05,4,0.00019107271994391086
G_minus_B,osi_target_t01h,v18_rule,42051,Fayette County,3,143,0.0032782283061879667,0.002366234120668213,0.0015367896583313597,0.0010375741519956182,0.003259975829427467,0.00234590014743575,0.001519724264408536,0.0010579081252280816,-1.8252476760499854e-05,-0.5567786943345809,1.706539392282375e-05,4,0.00018106892479831393
G_minus_B,osi_target_t01h,v18_rule,42027,Centre County,2,143,0.0015801767007775878,0.0010082791529976204,0.00035706505201228895,0.00034022367766488326,0.0015421125714489227,0.0009945563934697136,0.0003400698991719756,0.0003336134581003694,-3.806412932866516e-05,-2.4088527131132964,1.699515284031333e-05,4,0.00018032364594074116
G_minus_B,osi_target_t01h,v18_rule,42049,Erie County,0,143,0.007497591712475051,0.0041213177490475325,0.008038585052637362,-0.0024389952074645046,0.007489963109006606,0.004115528086313684,0.008022235274522027,-0.002433205544730657,-7.6286034684444615e-06,-0.10174738450683396,1.634977811533489e-05,3,0.00017347602741682504
G_minus_B,osi_target_t01h,v18_rule,39077,Huron County,1,143,0.003949993460435778,0.0024712463950595028,0.002231150112260414,0.002094664836401806,0.003935776710932638,0.002439879173133457,0.002215118379519721,0.002103272582421799,-1.4216749503140162e-05,-0.35991830481592046,1.6031732740692892e-05,4,0.0001701014710319013
