horizon,outer_fold,selection_type,allowed_folds,selected_alpha,alpha,n,rmse,mae,sse
osi_target_t06h,3,outer_train_inner_cv,"[0, 1, 2, 4]",0.2,0.2,26358,0.009405366289251389,0.0031540223571855635,2.3316527984921724
osi_target_t06h,3,outer_train_inner_cv,"[0, 1, 2, 4]",0.2,0.35,26358,0.009449852323985281,0.0031653163831685763,2.3537617283757375
osi_target_t06h,3,outer_train_inner_cv,"[0, 1, 2, 4]",0.2,0.5,26358,0.009624351250237228,0.0032241654046815354,2.441492434728199
osi_target_t06h,3,outer_train_inner_cv,"[0, 1, 2, 4]",0.2,0.75,26358,0.01017105243725953,0.0033859547617811426,2.72674320986853
osi_target_t06h,3,outer_train_inner_cv,"[0, 1, 2, 4]",0.2,1.0,26358,0.010983410091963247,0.003591027110202835,3.179705164869113
osi_target_t06h,4,outer_train_inner_cv,"[0, 1, 2, 3]",0.35,0.0,26358,0.010931959327504858,0.003361092472646354,3.149984872230015
osi_target_t06h,4,outer_train_inner_cv,"[0, 1, 2, 3]",0.35,0.05,26358,0.010860869108229799,0.0033366770245568823,3.109149557486033
osi_target_t06h,4,outer_train_inner_cv,"[0, 1, 2, 3]",0.35,0.1,26358,0.010798572363237197,0.0033160717175150086,3.073584373285922
osi_target_t06h,4,outer_train_inner_cv,"[0, 1, 2, 3]",0.35,0.2,26358,0.010703560847379872,0.003293168557041025,3.019736290055902
osi_target_t06h,4,outer_train_inner_cv,"[0, 1, 2, 3]",0.35,0.35,26358,0.010635710138444804,0.0032971893839961806,2.9815729460678058
osi_target_t06h,4,outer_train_inner_cv,"[0, 1, 2, 3]",0.35,0.5,26358,0.010657523371648596,0.0033462302499919156,2.993815558829508
osi_target_t06h,4,outer_train_inner_cv,"[0, 1, 2, 3]",0.35,0.75,26358,0.010884733857585054,0.0034737263164938584,3.1228281302637826
osi_target_t06h,4,outer_train_inner_cv,"[0, 1, 2, 3]",0.35,1.0,26358,0.011332956021866115,0.003640549881506703,3.3853132464376285
osi_target_t24h,0,outer_train_inner_cv,"[1, 2, 3, 4]",0.35,0.0,22920,0.009910404354598194,0.0031978206783612254,2.2511133436899624
osi_target_t24h,0,outer_train_inner_cv,"[1, 2, 3, 4]",0.35,0.05,22920,0.009848799059912122,0.0031781239755306117,2.2232134797842935
osi_target_t24h,0,outer_train_inner_cv,"[1, 2, 3, 4]",0.35,0.1,22920,0.009798810503184015,0.0031616851601471646,2.200702472395931
osi_target_t24h,0,outer_train_inner_cv,"[1, 2, 3, 4]",0.35,0.2,22920,0.009734166262005562,0.0031349031313040645,2.1717615153511396
osi_target_t24h,0,outer_train_inner_cv,"[1, 2, 3, 4]",0.35,0.35,22920,0.00972880265415532,0.0031157721540507346,2.1693688568338105
osi_target_t24h,0,outer_train_inner_cv,"[1, 2, 3, 4]",0.35,0.5,22920,0.009831616936820522,0.0031234257564578113,2.215463051297261
osi_target_t24h,0,outer_train_inner_cv,"[1, 2, 3, 4]",0.35,0.75,22920,0.010232829718739603,0.003189898036143653,2.399971628888352
osi_target_t24h,0,outer_train_inner_cv,"[1, 2, 3, 4]",0.35,1.0,22920,0.010880584713396575,0.003323072600234927,2.71343287532775
osi_target_t24h,1,outer_train_inner_cv,"[0, 2, 3, 4]",0.35,0.0,23040,0.008517551662695442,0.0027566689664183575,1.671521732966843
osi_target_t24h,1,outer_train_inner_cv,"[0, 2, 3, 4]",0.35,0.05,23040,0.008455544138147473,0.002731756326561007,1.6472730625265688
osi_target_t24h,1,outer_train_inner_cv,"[0, 2, 3, 4]",0.35,0.1,23040,0.008404152570088065,0.002711839823283918,1.6273101409071626
osi_target_t24h,1,outer_train_inner_cv,"[0, 2, 3, 4]",0.35,0.2,23040,0.008334155827533316,0.0026842627143052215,1.6003158533592776
osi_target_t24h,1,outer_train_inner_cv,"[0, 2, 3, 4]",0.35,0.35,23040,0.008304802306621915,0.00267329336538008,1.5890628407517546
osi_target_t24h,1,outer_train_inner_cv,"[0, 2, 3, 4]",0.35,0.5,23040,0.008374399225576026,0.0026960464945589807,1.6158081574501253
osi_target_t24h,1,outer_train_inner_cv,"[0, 2, 3, 4]",0.35,0.75,23040,0.008693721536823358,0.0027849744336330634,1.741381497442398
osi_target_t24h,1,outer_train_inner_cv,"[0, 2, 3, 4]",0.35,1.0,23040,0.009238681830097828,0.0029280668530068895,1.966538694707245
osi_target_t24h,2,outer_train_inner_cv,"[0, 1, 3, 4]",0.5,0.0,22920,0.007357091145542096,0.0025627799614916518,1.2405860296378148
osi_target_t24h,2,outer_train_inner_cv,"[0, 1, 3, 4]",0.5,0.05,22920,0.007278799681459235,0.002529651442412719,1.2143227964804295
osi_target_t24h,2,outer_train_inner_cv,"[0, 1, 3, 4]",0.5,0.1,22920,0.007209415451757111,0.0025001375746406024,1.1912823828963037
osi_target_t24h,2,outer_train_inner_cv,"[0, 1, 3, 4]",0.5,0.2,22920,0.007097564663579973,0.0024475160987400164,1.1546047216027833
osi_target_t24h,2,outer_train_inner_cv,"[0, 1, 3, 4]",0.5,0.35,22920,0.006999526834875249,0.002389729947286398,1.1229281759062195
osi_target_t24h,2,outer_train_inner_cv,"[0, 1, 3, 4]",0.5,0.5,22920,0.006988001968647395,0.002359223877119199,1.1192333710967513
osi_target_t24h,2,outer_train_inner_cv,"[0, 1, 3, 4]",0.5,0.75,22920,0.007151827891192134,0.002367699614150358,1.1723268788855572
osi_target_t24h,2,outer_train_inner_cv,"[0, 1, 3, 4]",0.5,1.0,22920,0.007519931863017244,0.0024322646904310244,1.2961116801437522
osi_target_t24h,3,outer_train_inner_cv,"[0, 1, 2, 4]",0.35,0.0,22920,0.009184838463346733,0.0028773912296175997,1.9335600241409705
osi_target_t24h,3,outer_train_inner_cv,"[0, 1, 2, 4]",0.35,0.05,22920,0.009105737510416155,0.0028481693384985857,1.9003993225491072
osi_target_t24h,3,outer_train_inner_cv,"[0, 1, 2, 4]",0.35,0.1,22920,0.009036042528693314,0.0028236478763210304,1.8714194801817199
osi_target_t24h,3,outer_train_inner_cv,"[0, 1, 2, 4]",0.35,0.2,22920,0.008926681825833008,0.0027845265167586084,1.826395061778546
osi_target_t24h,3,outer_train_inner_cv,"[0, 1, 2, 4]",0.35,0.35,22920,0.008839030485825385,0.0027490230150779343,1.7907043015807145
osi_target_t24h,3,outer_train_inner_cv,"[0, 1, 2, 4]",0.35,0.5,22920,0.008843671001016785,0.0027408558330004142,1.7925850444652422
osi_target_t24h,3,outer_train_inner_cv,"[0, 1, 2, 4]",0.35,0.75,22920,0.009049129060562421,0.0027822458358113073,1.8768440064180751
osi_target_t24h,3,outer_train_inner_cv,"[0, 1, 2, 4]",0.35,1.0,22920,0.009466085709475757,0.002875898834302139,2.053787366867515
osi_target_t24h,4,outer_train_inner_cv,"[0, 1, 2, 3]",0.35,0.0,22920,0.009370534855969722,0.0028795956670400486,2.012534686320745
osi_target_t24h,4,outer_train_inner_cv,"[0, 1, 2, 3]",0.35,0.05,22920,0.009286193154130392,0.0028375679678891413,1.9764691451401526
osi_target_t24h,4,outer_train_inner_cv,"[0, 1, 2, 3]",0.35,0.1,22920,0.009214628916230708,0.002799974000641595,1.946123128583101
osi_target_t24h,4,outer_train_inner_cv,"[0, 1, 2, 3]",0.35,0.2,22920,0.009110496888265728,0.00274086454417155,1.9023864393912007
osi_target_t24h,4,outer_train_inner_cv,"[0, 1, 2, 3]",0.35,0.35,22920,0.009053993950621604,0.002699711818464884,1.878862564014898
osi_target_t24h,4,outer_train_inner_cv,"[0, 1, 2, 3]",0.35,0.5,22920,0.009116524273528421,0.002702429909256656,1.90490445989977
osi_target_t24h,4,outer_train_inner_cv,"[0, 1, 2, 3]",0.35,0.75,22920,0.00946537842705261,0.0027915763378126676,2.0534804705468126
osi_target_t24h,4,outer_train_inner_cv,"[0, 1, 2, 3]",0.35,1.0,22920,0.010043843457758266,0.002960446329534898,2.312141898978614
osi_target_t48h,0,outer_train_inner_cv,"[1, 2, 3, 4]",0.5,0.0,18336,0.008667027154658299,0.002481434108725835,1.3773519074515783
osi_target_t48h,0,outer_train_inner_cv,"[1, 2, 3, 4]",0.5,0.05,18336,0.008608077821311733,0.002466996453824853,1.358679333268988
osi_target_t48h,0,outer_train_inner_cv,"[1, 2, 3, 4]",0.5,0.1,18336,0.008554258965397363,0.002454649057352104,1.3417431524536805
osi_target_t48h,0,outer_train_inner_cv,"[1, 2, 3, 4]",0.5,0.2,18336,0.008462259500906724,0.0024325851745336654,1.3130379503415406
osi_target_t48h,0,outer_train_inner_cv,"[1, 2, 3, 4]",0.5,0.35,18336,0.00836634542570931,0.002408440352586433,1.283441811304016
osi_target_t48h,0,outer_train_inner_cv,"[1, 2, 3, 4]",0.5,0.5,18336,0.008320579604785364,0.002395674318690317,1.2694387763786785
osi_target_t48h,0,outer_train_inner_cv,"[1, 2, 3, 4]",0.5,0.75,18336,0.008361397434115085,0.0024133335161825174,1.2819241638512864
osi_target_t48h,0,outer_train_inner_cv,"[1, 2, 3, 4]",0.5,1.0,18336,0.008536671988299395,0.002475430592769662,1.336231757706314
osi_target_t48h,1,outer_train_inner_cv,"[0, 2, 3, 4]",0.35,0.0,18432,0.008148283194064954,0.0022174103753466526,1.223783774404879
osi_target_t48h,1,outer_train_inner_cv,"[0, 2, 3, 4]",0.35,0.05,18432,0.008037071994101343,0.0021857461134336324,1.1906063076256013
osi_target_t48h,1,outer_train_inner_cv,"[0, 2, 3, 4]",0.35,0.1,18432,0.007938405634930734,0.0021580789310593445,1.161553011143271
