horizon,fipsCode,outer_fold,n,base_sse,gat_sse,base_rmse,gat_rmse,gat_minus_base_sse,gat_better
osi_target_t06h,54015,2,138,0.36274809933659014,0.3800935502914442,0.0512699660179577,0.052481435661273945,0.01734545095485407,False
osi_target_t06h,54019,2,138,0.004298423874927218,0.0044072423073166405,0.005581039248533869,0.005651242204933022,0.00010881843238942212,False
osi_target_t06h,54023,4,138,0.00024379656764661483,5.323220618134109e-05,0.0013291507794605875,0.0006210802077851714,-0.00019056436146527373,True
osi_target_t06h,54025,0,138,0.00031472160071294885,0.00015120334863298545,0.0015101626765067803,0.0010467456421545112,-0.0001635182520799634,True
osi_target_t06h,54027,4,138,0.0004238826969441818,0.0003483790222674445,0.001752601993029887,0.0015888630112771429,-7.550367467673726e-05,True
osi_target_t06h,54029,4,138,0.031793436392555836,0.04414823425804598,0.01517851179252801,0.017886160599757936,0.012354797865490146,False
osi_target_t06h,54031,4,138,0.0006592131353264526,0.0005621130488145306,0.0021856135929591756,0.002018237588200194,-9.7100086511922e-05,True
osi_target_t06h,54033,4,138,0.001636676788958433,0.0013703516091331121,0.003443831693271732,0.0031512035992859915,-0.00026632517982532085,True
osi_target_t06h,54035,0,138,0.0010503259393692989,0.0010526679198542832,0.0027588145156319565,0.0027618885576252317,2.341980484984324e-06,False
osi_target_t06h,54037,1,138,0.0013976744376595894,0.0014182525555871415,0.0031824637680913847,0.0032058060502455354,2.05781179275521e-05,False
osi_target_t06h,54039,3,138,0.0013283533890059214,0.0014211868233198117,0.003102539152967305,0.0032091206336702133,9.283343431389026e-05,False
osi_target_t06h,54041,4,138,0.029324477992348556,0.02939008001684624,0.014577249992226211,0.014593546324487847,6.560202449768307e-05,False
osi_target_t06h,54043,2,138,0.009829361742018703,0.00971661386347887,0.008439624339989045,0.008391081300257319,-0.00011274787853983274,True
osi_target_t06h,54045,4,138,0.010560140521559682,0.011045766289662291,0.008747728699645777,0.008946607441242616,0.00048562576810260924,False
osi_target_t06h,54047,3,138,0.002737861112870956,0.0032558721132428777,0.00445416358946027,0.0048572910333764645,0.0005180110003719218,False
osi_target_t06h,54053,1,138,0.00029507496450580946,0.00013544219193749568,0.001462266863632244,0.0009906892343047643,-0.00015963277256831379,True
osi_target_t06h,54055,0,138,0.0006604571501173343,0.0005366433086312528,0.002187674879332357,0.001971983678371274,-0.00012381384148608151,True
osi_target_t06h,54057,0,138,0.0002665793579301689,0.0001640879759085559,0.0013898685109588055,0.0010904326222583346,-0.00010249138202161304,True
osi_target_t06h,54059,1,138,0.0258019115092017,0.0331845886437075,0.013673711027189539,0.015507031748534416,0.0073826771345057995,False
osi_target_t06h,54063,2,138,0.0004898346416603972,0.0005688455476584421,0.0018840186805983263,0.002030287956406859,7.901090599804494e-05,False
osi_target_t06h,54067,3,138,0.0036406978830347764,0.003686199640774523,0.005136328330397435,0.005168325802405977,4.550175773974669e-05,False
osi_target_t06h,54069,3,138,0.008307100045644502,0.0071700131233879945,0.007758632427325801,0.007208093842073984,-0.001137086922256507,True
osi_target_t06h,54071,0,138,0.00718441177558784,0.005988153044728596,0.007215327774645034,0.00658729180829258,-0.0011962587308592442,True
osi_target_t06h,54073,2,138,0.004308906080589621,0.0076754135937907005,0.005587840110966124,0.0074578106093839535,0.003366507513201079,False
osi_target_t06h,54075,4,138,0.0014464386957787534,0.0006338437258747223,0.0032375051852442985,0.0021431449968103092,-0.000812594969904031,True
osi_target_t06h,54077,0,138,0.0025766135614959554,0.002571113571316205,0.004321008304141921,0.004316394069493761,-5.4999901797502145e-06,True
osi_target_t06h,54079,2,138,0.0001811359082348308,0.00018633461589531437,0.0011456784213643605,0.0011620029431206784,5.198707660483584e-06,False
osi_target_t06h,54081,1,138,0.0002835032006965944,0.0005944447007578008,0.0014333077197659053,0.0020754686929333292,0.00031094150006120644,False
osi_target_t06h,54083,0,138,0.008841249241751434,0.007707799130959096,0.00800418787204251,0.007473527740699698,-0.0011334501107923374,True
osi_target_t06h,54085,3,138,0.013166620197272223,0.009534818850773761,0.009767819167274818,0.00831221331674051,-0.0036318013464984623,True
osi_target_t06h,54087,0,138,0.011744203148049404,0.012862062341669863,0.0092251244632621,0.009654188225943989,0.0011178591936204588,False
osi_target_t06h,54089,1,138,0.00033812254321873036,0.00023363443338026392,0.0015652997657501473,0.0013011545413350004,-0.00010448810983846644,True
osi_target_t06h,54091,1,138,0.003857862100560129,0.0012672732599623108,0.005287298220057861,0.0030303695426373797,-0.0025905888405978184,True
osi_target_t06h,54093,2,138,0.0028428310120317997,0.0032919689077451787,0.004538747043498692,0.004884142417822576,0.00044913789571337896,False
osi_target_t06h,54095,4,138,0.020524945679128263,0.022161955584917455,0.012195552075591563,0.012672564107161837,0.001637009905789192,False
osi_target_t06h,54097,3,138,0.0006872575989673338,0.0006520877267814565,0.0022316199337586128,0.0021737693949621987,-3.5169872185877274e-05,True
osi_target_t06h,54099,1,138,0.011052730371439569,0.015171903443433346,0.008949427303934183,0.01048529109277571,0.0041191730719937775,False
osi_target_t06h,54101,1,138,0.0050316338451505335,0.005316478304929622,0.006038303968825303,0.006206867576176059,0.0002848444597790883,False
osi_target_t06h,54103,3,138,0.016179346840335722,0.02547774920612693,0.010827818052153847,0.013587544703105517,0.009298402365791207,False
osi_target_t06h,54105,2,138,0.004876438084130716,0.006251294355781947,0.005944451854966922,0.006730470597379356,0.0013748562716512317,False
osi_target_t06h,54107,3,138,0.00023472068078237075,0.0001874573372850371,0.0013041757927606907,0.0011654983921333766,-4.7263343497333656e-05,True
osi_target_t06h,54109,3,138,0.0123636499294553,0.01180082288562493,0.009465287431212704,0.009247335254878709,-0.00056282704383037,True
osi_target_t24h,18009,0,120,0.0006059626056025358,0.0005429511251857577,0.0022471511698194963,0.0021271090028208038,-6.301148041677816e-05,True
osi_target_t24h,18013,1,120,0.1163514428881148,0.10655648140776804,0.03113832618174838,0.029798836863174156,-0.009794961480346767,True
osi_target_t24h,18023,3,120,0.0002731118972271121,0.00017222191670452665,0.0015086193943114347,0.0011979910847766725,-0.00010088998052258544,True
osi_target_t24h,18025,2,120,0.02143928072718358,0.01756452368179045,0.01336640088904002,0.012098389590420169,-0.0038747570453931297,True
osi_target_t24h,18027,2,120,0.0024809778271047468,0.001496331334700069,0.004546956699361991,0.0035312076955578866,-0.0009846464924046778,True
osi_target_t24h,18029,1,120,0.00029170469536208453,0.00027132112607534324,0.0015591255438067535,0.0015036653164721178,-2.0383569286741294e-05,True
osi_target_t24h,18033,1,120,0.0017755014624835164,0.002061295495111744,0.003846536821700264,0.00414457023818689,0.0002857940326282276,False
osi_target_t24h,18035,1,120,0.00047724623777598685,0.0003831276842668871,0.0019942547433732124,0.0017868213962856107,-9.411855350909974e-05,True
osi_target_t24h,18037,3,120,0.0009814678330478514,0.0005074948813065707,0.002859877376520206,0.002056483408853106,-0.00047397295174128064,True
osi_target_t24h,18039,4,120,0.00028408741865327414,0.0002677770974465694,0.0015386341850628274,0.0014938125090033037,-1.6310321206704746e-05,True
osi_target_t24h,18041,2,120,0.004091919537295761,0.004113875308405184,0.005839463115515388,0.005855108388126548,2.195577110942256e-05,False
osi_target_t24h,18043,4,120,0.0011229627711938851,0.0008646872448676009,0.003059088605006788,0.002684348531871996,-0.0002582755263262843,True
osi_target_t24h,18045,3,120,0.001759814011717902,0.0006570212512881366,0.0038295060731530182,0.002339909633739689,-0.0011027927604297654,True
osi_target_t24h,18047,4,120,0.0015000048508691305,0.00165104710022959,0.0035355396227322103,0.0037092756483236163,0.00015104224936045947,False
osi_target_t24h,18051,1,120,0.0002589014900140363,0.0003057954585546008,0.0014688473088730618,0.0015963381496271417,4.689396854056448e-05,False
osi_target_t24h,18059,3,120,0.0001634733157782437,0.00017850288453117772,0.0011671664968998057,0.0012196409462459901,1.5029568752934026e-05,False
osi_target_t24h,18061,3,120,0.002198969832391551,0.002031594026279508,0.004280741595011655,0.004114602072982988,-0.000167375806112043,True
osi_target_t24h,18065,3,120,0.0007168457362937285,0.000703892457027628,0.0024441183418800337,0.002421935274781354,-1.2953279266100489e-05,True
osi_target_t24h,18067,2,120,0.00043224997061827266,0.00042867986774978973,0.0018979154587298154,0.0018900614358396523,-3.570102868482932e-06,True
osi_target_t24h,18069,0,120,0.00012445978752712,0.00011105086353984013,0.0010184129300334582,0.0009619895336395304,-1.3408923987279881e-05,True
osi_target_t24h,18071,0,120,0.005160487226080632,0.007375715784936234,0.00655774810566391,0.007839916977098798,0.002215228558855602,False
osi_target_t24h,18073,2,120,0.0018388446980634873,0.0014816054451743683,0.003914550525564299,0.0035137888444127852,-0.000357239252889119,True
osi_target_t24h,18077,2,120,0.003487275952339174,0.0036858973928284187,0.005390791494405973,0.0055421847322967765,0.00019862144048924486,False
osi_target_t24h,18083,2,120,0.0011444278804756268,0.001001327810172719,0.0030881870092278347,0.00288866723907514,-0.00014310007030290776,True
osi_target_t24h,18085,3,120,0.00028930080057982404,0.00024346724306272233,0.001552687993394638,0.0014243923940366126,-4.583355751710172e-05,True
osi_target_t24h,18087,2,120,0.0005141749841401132,0.0009257564185434394,0.0020699738004382913,0.0027775235050662176,0.0004115814344033262,False
osi_target_t24h,18089,4,120,0.0005222547007505119,0.00020463316316724248,0.0020861741313357007,0.0013058623050410103,-0.0003176215375832694,True
osi_target_t24h,18091,0,120,0.00029514657617432584,0.0002859245937829544,0.001568296783600832,0.0015436012918468571,-9.221982391371443e-06,True
osi_target_t24h,18093,1,120,0.00883514210033234,0.008053975846505256,0.008580570154100261,0.008192463938739297,-0.0007811662538270842,True
osi_target_t24h,18095,0,120,0.00023728937362611817,0.00024874279961439833,0.0014062046248268132,0.0014397418738973037,1.145342598828016e-05,False
osi_target_t24h,18097,1,120,4.150610096981645e-05,3.497163427103347e-05,0.0005881191841357247,0.0005398428341581886,-6.534466698782981e-06,True
osi_target_t24h,18099,3,120,0.011058147793650462,0.011030271143530694,0.009599543302353183,0.009587435850950404,-2.787665011976838e-05,True
osi_target_t24h,18101,4,120,0.001874227975088036,0.0016914485361677971,0.003952033205714112,0.0037543846989972905,-0.0001827794389202388,True
osi_target_t24h,18103,0,120,0.0003896190982913054,0.0001793201968485465,0.0018018950632859316,0.0012224299463518913,-0.00021029890144275888,True
osi_target_t24h,18105,3,120,0.0007589548653372172,0.0006017940564039036,0.0025148804897668882,0.002239408508966716,-0.0001571608089333136,True
osi_target_t24h,18107,1,120,0.00020882363679093567,0.00016054077208186538,0.0013191652562350926,0.0011566502355288214,-4.8282864709070294e-05,True
osi_target_t24h,18109,2,120,0.0014425108048999795,0.0009114881281633268,0.0034671203287694667,0.002756035994206363,-0.0005310226767366527,True
osi_target_t24h,18111,2,120,0.001425891019798634,0.0013837166466501307,0.0034470893758341424,0.0033957285014290755,-4.217437314850327e-05,True
osi_target_t24h,18113,1,120,7.08927751349485e-05,5.648565757397029e-05,0.0007686176722692308,0.0006860858642447162,-1.4407117560978204e-05,True
osi_target_t24h,18117,4,120,0.02599411291704827,0.019042490108788612,0.014717934897330838,0.012597119415693353,-0.006951622808259658,True
osi_target_t24h,18121,1,120,0.08248632282817772,0.08142119390779565,0.026218047668889223,0.02604822353312468,-0.0010651289203820746,True
osi_target_t24h,18123,3,120,0.003784992447680775,0.0034165242014877768,0.005616191212082538,0.005335825616753057,-0.0003684682461929981,True
osi_target_t24h,18125,0,120,0.0015153489249971515,0.0010772998989941897,0.0035535767486167503,0.002996247512854189,-0.00043804902600296175,True
