horizon,comparison,fipsCode,countyName,improved_splits,worsened_splits,minimum_rmse_change_pct,maximum_rmse_change_pct,mean_sse_reduction_diagnostic_only
osi_target_t01h,E1_minus_E0,39163,Vinton County,3,0,-2.314154955303316,-0.3106651340420541,3.438333956001194e-05
osi_target_t01h,E1_minus_E0,39165,Warren County,0,2,0.0,1.7010279784781535,-2.1390774600137596e-06
osi_target_t01h,E1_minus_E0,39167,Washington County,1,2,-0.6511596398092956,0.7570306373154256,-5.482034753573079e-06
osi_target_t01h,E1_minus_E0,39169,Wayne County,2,0,-0.24219625012460444,0.0,4.7331710704868794e-05
osi_target_t01h,E1_minus_E0,39171,Williams County,0,1,0.0,0.6977399919816829,-5.2915528000341966e-05
osi_target_t01h,E1_minus_E0,39173,Wood County,3,0,-3.527960261364116,-0.21501405657863293,0.00023826432364078046
osi_target_t01h,E1_minus_E0,39175,Wyandot County,2,0,-3.66142660394857,0.0,3.001892728366139e-05
osi_target_t01h,E1_minus_E0,42005,Armstrong County,1,0,-0.4436071386992868,0.0,6.733330437914617e-05
osi_target_t01h,E1_minus_E0,42007,Beaver County,0,3,0.46662910445538497,2.94804765021357,-0.00031505111278226205
osi_target_t01h,E1_minus_E0,42009,Bedford County,1,1,-3.3292460711884964,1.112420812135717,0.00015373222826422657
osi_target_t01h,E1_minus_E0,42013,Blair County,0,3,0.7675256261150176,1.468344904486596,-9.051361863985727e-06
osi_target_t01h,E1_minus_E0,42015,Bradford County,2,1,-2.06192670319697,0.39456353052809146,2.689616826426746e-05
osi_target_t01h,E1_minus_E0,42019,Butler County,1,2,-2.0212371494112036,2.9801907487158052,-0.00015569230992798643
osi_target_t01h,E1_minus_E0,42021,Cambria County,0,3,0.16362035051857848,1.817812852618439,-0.0004166124897954041
osi_target_t01h,E1_minus_E0,42023,Cameron County,0,2,0.0,0.2467298586637412,-3.271562396366575e-05
osi_target_t01h,E1_minus_E0,42025,Carbon County,0,1,0.0,2.1315190912555293,-1.5193360521189496e-06
osi_target_t01h,E1_minus_E0,42027,Centre County,1,1,-1.4350655179970806,1.1718891894127115,-1.489289051071425e-06
osi_target_t01h,E1_minus_E0,42029,Chester County,1,2,-1.3109508342681653,0.9416426454139426,-2.7957982062986237e-05
osi_target_t01h,E1_minus_E0,42031,Clarion County,1,1,-1.4019458177295108,1.8980305614150206,-8.393771233768689e-05
osi_target_t01h,E1_minus_E0,42033,Clearfield County,2,1,-1.5468486090947642,0.8364666889343342,3.6910248559632895e-05
osi_target_t01h,E1_minus_E0,42035,Clinton County,1,1,-0.24715614580458345,0.2910909758457425,-4.6673768079400395e-06
osi_target_t01h,E1_minus_E0,42039,Crawford County,2,1,-1.9556454560364478,0.7084333794308728,0.00019168340669514666
osi_target_t01h,E1_minus_E0,42041,Cumberland County,0,1,0.0,2.185703435156894,-1.428335768352739e-05
osi_target_t01h,E1_minus_E0,42043,Dauphin County,1,1,-4.4478685392040145,3.4705398366474682,6.461308818833637e-07
osi_target_t01h,E1_minus_E0,42045,Delaware County,2,1,-1.3594407459894597,1.0209291177736057,1.2989393569242226e-05
osi_target_t01h,E1_minus_E0,42047,Elk County,0,1,0.0,0.4967898807001436,-8.654464048777136e-05
osi_target_t01h,E1_minus_E0,42049,Erie County,1,2,-0.9204652463496665,1.4179046889844171,-6.0889699618195285e-05
osi_target_t01h,E1_minus_E0,42051,Fayette County,1,2,-0.12147871362470086,3.79663046404215,-4.94066247008045e-05
osi_target_t01h,E1_minus_E0,42053,Forest County,0,0,0.0,0.0,0.0
osi_target_t01h,E1_minus_E0,42055,Franklin County,1,2,-12.101356121825956,4.664882539034054,3.4633319542998764e-06
osi_target_t01h,E1_minus_E0,42057,Fulton County,3,0,-2.819042193748711,-0.3208991580298637,3.8139473816870005e-05
osi_target_t01h,E1_minus_E0,42059,Greene County,1,1,-0.0398708577551421,0.20305607204811338,-1.91135646858837e-05
osi_target_t01h,E1_minus_E0,42061,Huntingdon County,3,0,-7.138913978688855,-1.481269325812573,6.885680496031385e-05
osi_target_t01h,E1_minus_E0,42063,Indiana County,1,2,-6.61016176520951,2.3257895512711624,0.00047963697046807366
osi_target_t01h,E1_minus_E0,42065,Jefferson County,1,2,-4.463350661084853,1.147017124188765,0.00019901782847706688
osi_target_t01h,E1_minus_E0,42067,Juniata County,3,0,-3.144721698898878,-1.4382856804970978,3.1999264787808944e-05
osi_target_t01h,E1_minus_E0,42069,Lackawanna County,2,0,-4.2111435951982195,0.0,2.716768148371158e-05
osi_target_t01h,E1_minus_E0,42075,Lebanon County,2,0,-0.3108142651085499,0.0,1.5035771294097793e-05
osi_target_t01h,E1_minus_E0,42077,Lehigh County,1,2,-0.7553530033778233,0.6754379985829395,-1.5750030683520388e-06
osi_target_t01h,E1_minus_E0,42079,Luzerne County,2,1,-5.2684558859967145,1.8572902712514994,4.6039600279407845e-06
osi_target_t01h,E1_minus_E0,42081,Lycoming County,1,1,-1.6763019037319582,0.816927879598861,1.098642101885087e-05
osi_target_t01h,E1_minus_E0,42083,McKean County,0,3,0.8998535391791629,3.15092364541103,-6.692399025314336e-05
osi_target_t01h,E1_minus_E0,42085,Mercer County,1,1,-0.23356887842704843,1.2490300797376674,-2.7422298430738637e-05
osi_target_t01h,E1_minus_E0,42089,Monroe County,2,0,-0.23135044193600685,0.0,8.942310826707175e-06
osi_target_t01h,E1_minus_E0,42091,Montgomery County,1,2,-0.42247852086442217,1.7219414356960394,-1.2470708309448016e-05
osi_target_t01h,E1_minus_E0,42095,Northampton County,2,1,-0.6003222616376758,0.7119495432342582,-2.3733646428894818e-07
osi_target_t01h,E1_minus_E0,42097,Northumberland County,0,2,0.0,1.4518488461450652,-1.8437325416008826e-05
osi_target_t01h,E1_minus_E0,42101,Philadelphia County,1,2,-2.159896948418094,0.5025494053510604,2.145924514920635e-05
osi_target_t01h,E1_minus_E0,42103,Pike County,0,3,0.6478784324654541,1.3473063727300394,-2.1797851413281144e-05
osi_target_t01h,E1_minus_E0,42109,Snyder County,2,0,-0.36210710597704976,0.0,1.5813235323534902e-05
osi_target_t01h,E1_minus_E0,42113,Sullivan County,2,1,-1.6004685736139446,1.305576240860229,3.321965514406399e-05
