case,reference,pair,horizon,group,n,rmse,sse,mae,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
G2,G1,G2_minus_G1,1,test_like_except_Forest,23174,0.009372404873216658,2.0356498847930977,0.0030810564879667802,-0.0003115027108370364,0.009441979596184997,-6.957472296833904e-05,-0.736865847459045,0.030334895479589896
G2,G1,G2_minus_G1,1,g_zero,18876,0.008492899830951866,1.3615135641382785,0.0023905997804453153,-0.00023095959361307865,0.008519117521572849,-2.621769062098253e-05,-0.30775124952311383,0.008418994387792367
G2,G1,G2_minus_G1,1,g_positive,15301,0.012172959990060793,2.2673167912251184,0.004213106041372231,2.9642295724167097e-05,0.01315959691626666,-0.000986636926205868,-7.497470724093991,0.3824337460446898
G2,G1,G2_minus_G1,1,g_positive_low_early_damage,6006,0.0063074234702862695,0.23894024654610962,0.00195241991874884,0.0003837489217332281,0.0063304909487333265,-2.3067478447057026e-05,-0.3643868798465455,0.001750898059769801
G1,G0,G1_minus_G0,6,all,32982,0.009903725060082268,3.234998904306968,0.0031139172427650003,-6.97810308650284e-05,0.009909062742500467,-5.33768241819943e-06,-0.05386667293271197,0.0034879906019646967
G1,G0,G1_minus_G0,6,early_73_95,4302,0.017036304595276826,1.2485938706796424,0.005978732368991879,4.68127084355463e-05,0.017060083755936113,-2.3779160659286036e-05,-0.1393847826275274,0.0034879906019640305
G1,G0,G1_minus_G0,6,late_96_215,28680,0.00832231845317753,1.9864050336273262,0.002684194973830968,-8.727009176011457e-05,0.00832231845317753,0.0,0.0,0.0
G1,G0,G1_minus_G0,6,test_like,22578,0.010594136687282372,2.53405836045611,0.003137929205554241,-0.000351711653970454,0.01060151652629748,-7.379839015107456e-06,-0.06961116361797748,0.0035316622417318477
G1,G0,G1_minus_G0,6,not_test_like,10404,0.00820805804227419,0.7009405438508582,0.0030618082370118794,0.0005420441910183143,0.008207802339461214,2.557028129755723e-07,0.0031153627048974286,-4.367163976759514e-05
G1,G0,G1_minus_G0,6,all_except_Forest,32844,0.008876259309152269,2.5877123928948693,0.0030278881311822056,-6.266355616052889e-06,0.008858673610980824,1.7585698171444786e-05,0.19851389659109042,-0.010243425391322614
G1,G0,G1_minus_G0,6,test_like_except_Forest,22440,0.009169555165655943,1.8867718490440109,0.003012161536661174,-0.0002604830636010777,0.009144736598453808,2.4818567202135322e-05,0.2713972888659377,-0.010199753751554796
G1,G0,G1_minus_G0,6,g_zero,18216,0.008569690653571353,1.337775715308296,0.0024006393253527057,-0.00026692050858174695,0.008556550144804576,1.3140508766776998e-05,0.15357250929868282,-0.004099465576102412
G1,G0,G1_minus_G0,6,g_positive,14766,0.011335163271203836,1.8972231889986721,0.00399384887919886,0.00017341907248643747,0.011357806689709442,-2.264341850560618e-05,-0.19936435901943828,0.007587456178066887
G1,G0,G1_minus_G0,6,g_positive_low_early_damage,5796,0.00636004268867066,0.23444902883792926,0.0019648439009466983,0.00036256820141362234,0.0063317951462544715,2.8247542416188695e-05,0.4461221780508451,-0.002077942667062016
G2,G0,G2_minus_G0,6,all,32982,0.00973088308677933,3.1230684048610704,0.0030965822396270344,-0.00010024611154832882,0.009909062742500467,-0.00017817965572113764,-1.798148425853796,0.11541849004786231
G2,G0,G2_minus_G0,6,early_73_95,4302,0.016254766287616275,1.1366633712337442,0.005845830678267473,-0.00018675291013642374,0.017060083755936113,-0.0008053174683198376,-4.720477811485679,0.11541849004786231
G2,G0,G2_minus_G0,6,late_96_215,28680,0.00832231845317753,1.9864050336273262,0.002684194973830968,-8.727009176011457e-05,0.00832231845317753,0.0,0.0,0.0
G2,G0,G2_minus_G0,6,test_like,22578,0.010344655473374369,2.416114607368621,0.0031126017115200026,-0.0003672630817215278,0.01060151652629748,-0.00025686105292311093,-2.4228708438642443,0.12147541532922101
G2,G0,G2_minus_G0,6,not_test_like,10404,0.008243190643964164,0.7069537974924496,0.0030618179531603446,0.00047921459131311744,0.008207802339461214,3.538830450294968e-05,0.43115444353247767,-0.006056925281358927
G2,G0,G2_minus_G0,6,all_except_Forest,32844,0.008868676558212652,2.583293054380796,0.0030164773022942895,-4.282063242070097e-05,0.008858673610980824,1.0002947231827972e-05,0.11291698589537269,-0.005824086877249446
G2,G0,G2_minus_G0,6,test_like_except_Forest,22440,0.009144169257627325,1.8763392568883468,0.002995455727801846,-0.000284855145242744,0.009144736598453808,-5.673408264832841e-07,-0.0062040149584996485,0.00023283840410925905
G2,G0,G2_minus_G0,6,g_zero,18216,0.008556982193003295,1.3338109364830557,0.00238890388604692,-0.00028375043922777756,0.008556550144804576,4.320481987191843e-07,0.005049327023254335,-0.0001346867508620342
G2,G0,G2_minus_G0,6,g_positive,14766,0.011007912968994399,1.7892574683780145,0.003969606002922129,0.000126133059046879,0.011357806689709442,-0.0003498937207150436,-3.0806451480817953,0.11555317679872457
G2,G0,G2_minus_G0,6,g_positive_low_early_damage,5796,0.006345900944998399,0.23340757922642819,0.0019428600138733803,0.00033782904250645197,0.0063317951462544715,1.410579874392727e-05,0.22277724433759083,-0.0010364930555609442
G2,G1,G2_minus_G1,6,all,32982,0.00973088308677933,3.1230684048610704,0.0030965822396270344,-0.00010024611154832882,0.009903725060082268,-0.0001728419733029382,-1.7452218458647528,0.11193049944589761
G2,G1,G2_minus_G1,6,early_73_95,4302,0.016254766287616275,1.1366633712337442,0.005845830678267473,-0.00018675291013642374,0.017036304595276826,-0.0007815383076605516,-4.587487288042658,0.11193049944589828
G2,G1,G2_minus_G1,6,late_96_215,28680,0.00832231845317753,1.9864050336273262,0.002684194973830968,-8.727009176011457e-05,0.00832231845317753,0.0,0.0,0.0
G2,G1,G2_minus_G1,6,test_like,22578,0.010344655473374369,2.416114607368621,0.0031126017115200026,-0.0003672630817215278,0.010594136687282372,-0.00024948121390800347,-2.354898952809348,0.11794375308748917
G2,G1,G2_minus_G1,6,not_test_like,10404,0.008243190643964164,0.7069537974924496,0.0030618179531603446,0.00047921459131311744,0.00820805804227419,3.5132601689974105e-05,0.4280257462731196,-0.006013253641591332
G2,G1,G2_minus_G1,6,all_except_Forest,32844,0.008868676558212652,2.583293054380796,0.0030164773022942895,-4.282063242070097e-05,0.008876259309152269,-7.582750939616814e-06,-0.08542732558295407,0.004419338514073168
G2,G1,G2_minus_G1,6,test_like_except_Forest,22440,0.009144169257627325,1.8763392568883468,0.002995455727801846,-0.000284855145242744,0.009169555165655943,-2.5385908028618606e-05,-0.2768499405914504,0.010432592155664056
G2,G1,G2_minus_G1,6,g_zero,18216,0.008556982193003295,1.3338109364830557,0.00238890388604692,-0.00028375043922777756,0.008569690653571353,-1.2708460568057814e-05,-0.14829544124514982,0.003964778825240378
G2,G1,G2_minus_G1,6,g_positive,14766,0.011007912968994399,1.7892574683780145,0.003969606002922129,0.000126133059046879,0.011335163271203836,-0.00032725030220943745,-2.8870365108969676,0.10796572062065768
G2,G1,G2_minus_G1,6,g_positive_low_early_damage,5796,0.006345900944998399,0.23340757922642819,0.0019428600138733803,0.00033782904250645197,0.00636004268867066,-1.4141743672261425e-05,-0.222352967810302,0.0010414496115010718
G1,G0,G1_minus_G0,24,all,28680,0.008434736596420678,2.040432332014631,0.002779739911447673,-9.257391647402344e-05,0.008434736596420678,0.0,0.0,0.0
G1,G0,G1_minus_G0,24,early_73_95,0,,0.0,,,,,,0.0
G1,G0,G1_minus_G0,24,late_96_215,28680,0.008434736596420678,2.040432332014631,0.002779739911447673,-9.257391647402344e-05,0.008434736596420678,0.0,0.0,0.0
G1,G0,G1_minus_G0,24,test_like,19752,0.008729226744593158,1.5050905400798962,0.0027791338598639383,-0.00031485457247680483,0.008729226744593158,0.0,0.0,0.0
G1,G0,G1_minus_G0,24,not_test_like,8928,0.007743521051321531,0.5353417919347346,0.0027810807191181387,0.00039919215849987174,0.007743521051321531,0.0,0.0,0.0
G1,G0,G1_minus_G0,24,all_except_Forest,28560,0.00843035021217528,2.0297821822298237,0.0027663978434660018,-9.372491564381057e-05,0.00843035021217528,0.0,0.0,0.0
G1,G0,G1_minus_G0,24,test_like_except_Forest,19632,0.008724831045199229,1.494440390295089,0.0027597205454921695,-0.000317887692638248,0.008724831045199229,0.0,0.0,0.0
G1,G0,G1_minus_G0,24,g_zero,15840,0.008621104393602983,1.1772833048919464,0.0024554379023298887,-0.00031434844932125836,0.008621104393602983,0.0,0.0,0.0
G1,G0,G1_minus_G0,24,g_positive,12840,0.008198990454925524,0.8631490271226844,0.003179813418022884,0.00018101709601041585,0.008198990454925524,0.0,0.0,0.0
G1,G0,G1_minus_G0,24,g_positive_low_early_damage,5040,0.00652447866628225,0.21454686220853195,0.0019685432042717286,0.00021080210587369447,0.00652447866628225,0.0,0.0,0.0
G2,G0,G2_minus_G0,24,all,28680,0.008434736596420678,2.040432332014631,0.002779739911447673,-9.257391647402344e-05,0.008434736596420678,0.0,0.0,0.0
G2,G0,G2_minus_G0,24,early_73_95,0,,0.0,,,,,,0.0
G2,G0,G2_minus_G0,24,late_96_215,28680,0.008434736596420678,2.040432332014631,0.002779739911447673,-9.257391647402344e-05,0.008434736596420678,0.0,0.0,0.0
G2,G0,G2_minus_G0,24,test_like,19752,0.008729226744593158,1.5050905400798962,0.0027791338598639383,-0.00031485457247680483,0.008729226744593158,0.0,0.0,0.0
G2,G0,G2_minus_G0,24,not_test_like,8928,0.007743521051321531,0.5353417919347346,0.0027810807191181387,0.00039919215849987174,0.007743521051321531,0.0,0.0,0.0
G2,G0,G2_minus_G0,24,all_except_Forest,28560,0.00843035021217528,2.0297821822298237,0.0027663978434660018,-9.372491564381057e-05,0.00843035021217528,0.0,0.0,0.0
G2,G0,G2_minus_G0,24,test_like_except_Forest,19632,0.008724831045199229,1.494440390295089,0.0027597205454921695,-0.000317887692638248,0.008724831045199229,0.0,0.0,0.0
G2,G0,G2_minus_G0,24,g_zero,15840,0.008621104393602983,1.1772833048919464,0.0024554379023298887,-0.00031434844932125836,0.008621104393602983,0.0,0.0,0.0
G2,G0,G2_minus_G0,24,g_positive,12840,0.008198990454925524,0.8631490271226844,0.003179813418022884,0.00018101709601041585,0.008198990454925524,0.0,0.0,0.0
G2,G0,G2_minus_G0,24,g_positive_low_early_damage,5040,0.00652447866628225,0.21454686220853195,0.0019685432042717286,0.00021080210587369447,0.00652447866628225,0.0,0.0,0.0
G2,G1,G2_minus_G1,24,all,28680,0.008434736596420678,2.040432332014631,0.002779739911447673,-9.257391647402344e-05,0.008434736596420678,0.0,0.0,0.0
G2,G1,G2_minus_G1,24,early_73_95,0,,0.0,,,,,,0.0
G2,G1,G2_minus_G1,24,late_96_215,28680,0.008434736596420678,2.040432332014631,0.002779739911447673,-9.257391647402344e-05,0.008434736596420678,0.0,0.0,0.0
G2,G1,G2_minus_G1,24,test_like,19752,0.008729226744593158,1.5050905400798962,0.0027791338598639383,-0.00031485457247680483,0.008729226744593158,0.0,0.0,0.0
G2,G1,G2_minus_G1,24,not_test_like,8928,0.007743521051321531,0.5353417919347346,0.0027810807191181387,0.00039919215849987174,0.007743521051321531,0.0,0.0,0.0
G2,G1,G2_minus_G1,24,all_except_Forest,28560,0.00843035021217528,2.0297821822298237,0.0027663978434660018,-9.372491564381057e-05,0.00843035021217528,0.0,0.0,0.0
G2,G1,G2_minus_G1,24,test_like_except_Forest,19632,0.008724831045199229,1.494440390295089,0.0027597205454921695,-0.000317887692638248,0.008724831045199229,0.0,0.0,0.0
G2,G1,G2_minus_G1,24,g_zero,15840,0.008621104393602983,1.1772833048919464,0.0024554379023298887,-0.00031434844932125836,0.008621104393602983,0.0,0.0,0.0
G2,G1,G2_minus_G1,24,g_positive,12840,0.008198990454925524,0.8631490271226844,0.003179813418022884,0.00018101709601041585,0.008198990454925524,0.0,0.0,0.0
G2,G1,G2_minus_G1,24,g_positive_low_early_damage,5040,0.00652447866628225,0.21454686220853195,0.0019685432042717286,0.00021080210587369447,0.00652447866628225,0.0,0.0,0.0
G1,G0,G1_minus_G0,48,all,22944,0.007691202257793633,1.357242962755131,0.0022350036403240283,-0.0001565905410230873,0.007691202257793633,0.0,0.0,0.0
G1,G0,G1_minus_G0,48,early_73_95,0,,0.0,,,,,,0.0
G1,G0,G1_minus_G0,48,late_96_215,22944,0.007691202257793633,1.357242962755131,0.0022350036403240283,-0.0001565905410230873,0.007691202257793633,0.0,0.0,0.0
G1,G0,G1_minus_G0,48,test_like,16008,0.008507866544396744,1.1587197605413444,0.002355098459429913,-0.00040273058079918475,0.008507866544396744,0.0,0.0,0.0
G1,G0,G1_minus_G0,48,not_test_like,6936,0.005349966882878165,0.1985232022137866,0.0019578297844637335,0.0004114904504324736,0.005349966882878165,0.0,0.0,0.0
G1,G0,G1_minus_G0,48,all_except_Forest,22848,0.007693970652084993,1.352537269060277,0.002222268011495333,-0.00016230157973116252,0.007693970652084993,0.0,0.0,0.0
G1,G0,G1_minus_G0,48,test_like_except_Forest,15912,0.008516147332423101,1.1540140668464904,0.0023375359566116705,-0.00041241605441787567,0.008516147332423101,0.0,0.0,0.0
G1,G0,G1_minus_G0,48,g_zero,12672,0.008239216555809266,0.8602347847550245,0.0021052377390484247,-0.0004022190100579969,0.008239216555809266,0.0,0.0,0.0
G1,G0,G1_minus_G0,48,g_positive,10272,0.006955914931277051,0.49700817800010655,0.002395088677411688,0.0001464277572255864,0.006955914931277051,0.0,0.0,0.0
G1,G0,G1_minus_G0,48,g_positive_low_early_damage,4032,0.00544439200155404,0.11951414200287315,0.0017912540562451435,0.00043481969875470354,0.00544439200155404,0.0,0.0,0.0
