case,reference,pair,horizon,fold,n,rmse,sse,mae,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
G1,G0,G1_minus_G0,48,3,4608,0.0053724652793763,0.13300246968470258,0.002168728024357481,0.0005056889175742389,0.0053724652793763,0.0,0.0,0.0
G1,G0,G1_minus_G0,48,4,4608,0.006925166870368426,0.22099016992872228,0.0021494377477357354,-0.00019436995091425306,0.006925166870368426,0.0,0.0,0.0
G2,G0,G2_minus_G0,48,0,4608,0.0036632306388987446,0.06183594415303605,0.0015956445257807718,0.0004560453424232713,0.0036632306388987446,0.0,0.0,0.0
G2,G0,G2_minus_G0,48,1,4512,0.005855181393125153,0.15468556894855234,0.0019970723373512436,-0.00027187300705922685,0.005855181393125153,0.0,0.0,0.0
G2,G0,G2_minus_G0,48,2,4608,0.013066410316828946,0.7867288100401179,0.0032591786642496433,-0.001280845725181886,0.013066410316828946,0.0,0.0,0.0
G2,G0,G2_minus_G0,48,3,4608,0.0053724652793763,0.13300246968470258,0.002168728024357481,0.0005056889175742389,0.0053724652793763,0.0,0.0,0.0
G2,G0,G2_minus_G0,48,4,4608,0.006925166870368426,0.22099016992872228,0.0021494377477357354,-0.00019436995091425306,0.006925166870368426,0.0,0.0,0.0
G2,G1,G2_minus_G1,48,0,4608,0.0036632306388987446,0.06183594415303605,0.0015956445257807718,0.0004560453424232713,0.0036632306388987446,0.0,0.0,0.0
G2,G1,G2_minus_G1,48,1,4512,0.005855181393125153,0.15468556894855234,0.0019970723373512436,-0.00027187300705922685,0.005855181393125153,0.0,0.0,0.0
G2,G1,G2_minus_G1,48,2,4608,0.013066410316828946,0.7867288100401179,0.0032591786642496433,-0.001280845725181886,0.013066410316828946,0.0,0.0,0.0
G2,G1,G2_minus_G1,48,3,4608,0.0053724652793763,0.13300246968470258,0.002168728024357481,0.0005056889175742389,0.0053724652793763,0.0,0.0,0.0
G2,G1,G2_minus_G1,48,4,4608,0.006925166870368426,0.22099016992872228,0.0021494377477357354,-0.00019436995091425306,0.006925166870368426,0.0,0.0,0.0
