model,horizon,target_day,rmse,mae,n,r2,prediction_mean,prediction_max,prediction_zero_pct
E1_best_subset,osi_target_t48h,2026-03-18,0.005434086628993905,0.0009582717474189976,5736,-0.019324367418760424,0.0006744619403252314,0.010417835787953035,63.89470013947002
E1_best_subset,osi_target_t48h,2026-03-19,0.0011572035906886379,0.0004929158024911226,5736,-0.5179280795915135,0.00038207370100983804,0.003703734587118351,73.83193863319386
E3_best_subset,osi_target_t01h,2026-03-14,0.02211635840626181,0.0073105709067313954,5497,0.7866329873625436,0.01915126247156063,0.28441276668246857,32.70875022739676
E3_best_subset,osi_target_t01h,2026-03-15,0.01060618614257018,0.004938045018663756,5736,0.617539302935963,0.007186023897112422,0.1299540933434157,27.824267782426777
E3_best_subset,osi_target_t01h,2026-03-16,0.010059381488881724,0.0045828627460744766,5736,0.26500784067482985,0.004927151764032409,0.051771737566053896,15.080195258019527
E3_best_subset,osi_target_t01h,2026-03-17,0.011026168382647274,0.003663708878853986,5736,0.35491854610726525,0.003052799123738752,0.04601112872308772,42.57322175732218
E3_best_subset,osi_target_t01h,2026-03-18,0.0054761680904571956,0.0008727484322591621,5736,-0.035172751785837786,0.000519102519774827,0.015302293614034422,79.09693165969317
E3_best_subset,osi_target_t01h,2026-03-19,0.0011938981090235561,0.00036717403656536164,5736,-0.6157202886434618,0.00023414400222752916,0.014494844485824663,88.37168758716875
E3_best_subset,osi_target_t06h,2026-03-14,0.018398383427262143,0.006755389064844466,4302,0.8075241350073534,0.016509435452996404,0.2625449995059635,30.985588098558807
E3_best_subset,osi_target_t06h,2026-03-15,0.010847662289988487,0.004996154783805603,5736,0.5999257175557972,0.007053030653685762,0.1544988134019268,26.638772663877262
E3_best_subset,osi_target_t06h,2026-03-16,0.010196199538074305,0.004420901046907691,5736,0.24487856033586597,0.004729340663849139,0.04958621799333379,14.103905160390514
E3_best_subset,osi_target_t06h,2026-03-17,0.010889411391439691,0.00355543386116517,5736,0.3708211344544995,0.0029617495607651796,0.046323123821524884,41.05648535564853
E3_best_subset,osi_target_t06h,2026-03-18,0.005497393057016427,0.0008880814951541371,5736,-0.04321271189324749,0.0005479183204526288,0.01126673139703211,77.84170153417016
E3_best_subset,osi_target_t06h,2026-03-19,0.001168834260245656,0.00038144499042612554,5736,-0.5485937980708697,0.00026099321336188984,0.005399835642189869,86.41910739191074
E3_best_subset,osi_target_t24h,2026-03-15,0.010833101422345257,0.0050494184147037435,5736,0.6009990398566719,0.0065721112938390315,0.12133925926551027,22.66387726638773
E3_best_subset,osi_target_t24h,2026-03-16,0.009996322604472361,0.004474141847814486,5736,0.2741937963553034,0.004518894925986571,0.049651825711579736,11.889818688981869
E3_best_subset,osi_target_t24h,2026-03-17,0.010067372938437635,0.003539676087615783,5736,0.46222868949090423,0.0031518304666780196,0.0566885946713503,37.273361227336125
E3_best_subset,osi_target_t24h,2026-03-18,0.005447347008900439,0.001007009170974493,5736,-0.024305193479718046,0.000743096214939233,0.00930939835353037,65.93444909344491
E3_best_subset,osi_target_t24h,2026-03-19,0.0013258472491281235,0.0006272043151418217,5736,-0.9925931525539133,0.0005330196848232784,0.008991032965590033,73.3786610878661
E3_best_subset,osi_target_t48h,2026-03-16,0.009668334941767153,0.0042673365310770895,5736,0.32104104016209956,0.00425284693935209,0.061883615324855264,12.709205020920503
E3_best_subset,osi_target_t48h,2026-03-17,0.01030403701030325,0.0035646329532601894,5736,0.43664761771800586,0.0030548952026957306,0.062368074966302915,34.93723849372385
E3_best_subset,osi_target_t48h,2026-03-18,0.0054339359242374895,0.0009577043481751783,5736,-0.019267829895220467,0.0006736718414955025,0.01041458623347212,63.947001394700145
E3_best_subset,osi_target_t48h,2026-03-19,0.0011569008144240013,0.0004927471128752628,5736,-0.5171338676263513,0.0003819160754085732,0.003706366919884188,73.83193863319386
E1_aligned,osi_target_t01h,2026-03-14,0.021845348950755773,0.007277463174062601,5497,0.791830062942392,0.01899591548574227,0.31542849066124673,32.817900673094414
E1_aligned,osi_target_t01h,2026-03-15,0.010593057835486207,0.004968106581283206,5736,0.6184855344810889,0.007054479605118394,0.13347403599068747,22.80334728033473
E1_aligned,osi_target_t01h,2026-03-16,0.009829742654036648,0.004385847244628992,5736,0.29818209290376896,0.004714616570525613,0.05035181003457039,8.403068340306834
E1_aligned,osi_target_t01h,2026-03-17,0.010345896054473905,0.0035289227202792294,5736,0.432061203545155,0.0031313240528968926,0.05579837781892648,34.571129707112966
E1_aligned,osi_target_t01h,2026-03-18,0.00540648685141701,0.0008478378980161329,5736,-0.008996345976046038,0.0005679485169268502,0.008000239242164493,69.90934449093444
E1_aligned,osi_target_t01h,2026-03-19,0.0010785892529468208,0.0003960266696450261,5736,-0.31869338347794374,0.00028612004350203173,0.004451929607997655,79.82914923291492
E1_aligned,osi_target_t06h,2026-03-14,0.018656073517749776,0.00680864107589871,4302,0.8020946939842801,0.016525127867576588,0.28078105475604925,33.91445839144584
