feature_set,component,candidate,horizon,rmse,mae,n,r2,prediction_mean,prediction_max,prediction_zero_pct
base,R_t,hurdle,osi_target_t24h,0.003468476170937389,0.0006948879276484798,28680,0.06613580346761394,0.0003454707948074231,0.010404396409020878,0.0
base,R_t,hurdle,osi_target_t48h,0.0032937924323971557,0.0005748741375332367,22944,0.04755316423282008,0.0002540286284871308,0.010535859815906594,0.0
profile,P_t,huber,osi_target_t01h,0.01916478173682131,0.005796082580071292,34177,0.6921714507347969,0.008578880012112594,0.4530154969655036,15.884951868215467
profile,P_t,huber,osi_target_t06h,0.01644360079150773,0.005392674623996922,32982,0.675259250438552,0.007354185982750668,0.39520447236429834,15.560002425565461
profile,P_t,huber,osi_target_t24h,0.013794760267163498,0.004707548334199584,28680,0.4229672491047596,0.0047546212002331605,0.18626384073424487,11.827057182705717
profile,P_t,huber,osi_target_t48h,0.012377525851893879,0.003640189190361839,22944,0.3275084871476369,0.0031139602085999826,0.09191863037899367,12.072873082287309
profile,P_t,l2,osi_target_t01h,0.019083070507231285,0.005774322923085986,34177,0.69479077905932,0.00854622637295266,0.4446940877884911,14.650203353132223
profile,P_t,l2,osi_target_t06h,0.01644360079150773,0.005392674623996922,32982,0.675259250438552,0.007354185982750668,0.39520447236429834,15.560002425565461
profile,P_t,l2,osi_target_t24h,0.013794760267163498,0.004707548334199584,28680,0.4229672491047596,0.0047546212002331605,0.18626384073424487,11.827057182705717
profile,P_t,l2,osi_target_t48h,0.012377525851893879,0.003640189190361839,22944,0.3275084871476369,0.0031139602085999826,0.09191863037899367,12.072873082287309
profile,P_t,weighted_l2,osi_target_t01h,0.019386908008963234,0.006527080391901952,34177,0.6849944252759064,0.009743508184173182,0.44824855462481467,14.881352956666763
profile,P_t,weighted_l2,osi_target_t06h,0.016789485489473843,0.006029572026791224,32982,0.6614539785706492,0.008354989611120255,0.40651322693907943,18.41610575465405
profile,P_t,weighted_l2,osi_target_t24h,0.014447588007035288,0.005945166190168833,28680,0.3670595585454449,0.006298442752590765,0.19309727860172132,13.49023709902371
profile,P_t,weighted_l2,osi_target_t48h,0.01258168819856914,0.004338104607984575,22944,0.305140563168413,0.0041861550504783416,0.09235086496390171,12.264644351464435
