feature_set,component,candidate,horizon,fold,rmse,mae,n,best_rounds,train_q95,classification_rounds,magnitude_rounds,positive_train_rows,positive_valid_rows
base,D_t,weighted_l2,osi_target_t06h,1,0.015755624069023148,0.005943695471196717,6486,113.0,0.037407975999999996,,,,
base,D_t,weighted_l2,osi_target_t06h,2,0.018557406647622232,0.006360553182316545,6624,215.0,0.03575997899999987,,,,
base,D_t,weighted_l2,osi_target_t06h,3,0.022136698301593025,0.006076551871950439,6624,180.0,0.040035972699999936,,,,
base,D_t,weighted_l2,osi_target_t06h,4,0.013336442661591483,0.005016413641608011,6624,507.0,0.037254300099999985,,,,
base,D_t,weighted_l2,osi_target_t24h,0,0.006809177057092986,0.0032649501009441423,5760,660.0,0.023282400449999973,,,,
base,D_t,weighted_l2,osi_target_t24h,1,0.012698872212826832,0.0077493381637107955,5640,12.0,0.02259195664999997,,,,
base,D_t,weighted_l2,osi_target_t24h,2,0.018727553072925653,0.006099451884679903,5760,428.0,0.021771828149999995,,,,
base,D_t,weighted_l2,osi_target_t24h,3,0.009999304011406834,0.004844112007195146,5760,980.0,0.02449626554999999,,,,
base,D_t,weighted_l2,osi_target_t24h,4,0.010261683274381435,0.003951754675270241,5760,325.0,0.022685149699999997,,,,
base,D_t,weighted_l2,osi_target_t48h,0,0.007041710408302023,0.0037498081920574657,4608,56.0,0.016273621749999998,,,,
base,D_t,weighted_l2,osi_target_t48h,1,0.008503429209526502,0.003773606315979582,4512,49.0,0.015708379650000003,,,,
base,D_t,weighted_l2,osi_target_t48h,2,0.01813445851080476,0.0052866587129473406,4608,166.0,0.0149105565,,,,
base,D_t,weighted_l2,osi_target_t48h,3,0.007955499485636336,0.004918459814346464,4608,26.0,0.01555112225,,,,
base,D_t,weighted_l2,osi_target_t48h,4,0.009270093092735772,0.0034476361584115994,4608,232.0,0.01573007075,,,,
base,R_t,tweedie,osi_target_t01h,0,0.002308775670450174,0.0006436122984831275,6864,305.0,,,,,
base,R_t,tweedie,osi_target_t01h,1,0.003242044687222272,0.000853907521678709,6721,123.0,,,,,
base,R_t,tweedie,osi_target_t01h,2,0.00528679376013048,0.0009534898423077014,6864,200.0,,,,,
base,R_t,tweedie,osi_target_t01h,3,0.004754436348907113,0.0009973990416929767,6864,104.0,,,,,
base,R_t,tweedie,osi_target_t01h,4,0.004116612481935473,0.0009292593973449331,6864,108.0,,,,,
base,R_t,tweedie,osi_target_t06h,0,0.0023016238852386446,0.0006494847199391971,6624,202.0,,,,,
base,R_t,tweedie,osi_target_t06h,1,0.0031694934575677704,0.0008205788523050913,6486,151.0,,,,,
base,R_t,tweedie,osi_target_t06h,2,0.0053574327496917745,0.0009787541320021203,6624,93.0,,,,,
base,R_t,tweedie,osi_target_t06h,3,0.004641363906807359,0.00095966304937985,6624,96.0,,,,,
base,R_t,tweedie,osi_target_t06h,4,0.004010590852403438,0.0008601443718595067,6624,121.0,,,,,
base,R_t,tweedie,osi_target_t24h,0,0.0015526623623900314,0.00047312592420388705,5760,156.0,,,,,
base,R_t,tweedie,osi_target_t24h,1,0.0027792266258214195,0.0007125184819278178,5640,80.0,,,,,
base,R_t,tweedie,osi_target_t24h,2,0.005544831259819764,0.0008950938995341533,5760,169.0,,,,,
base,R_t,tweedie,osi_target_t24h,3,0.0024573697682118956,0.0006868332882271076,5760,91.0,,,,,
base,R_t,tweedie,osi_target_t24h,4,0.0036600012714781303,0.0007387183977129517,5760,94.0,,,,,
base,R_t,tweedie,osi_target_t48h,0,0.0013799097503838145,0.0003790527106213118,4608,115.0,,,,,
base,R_t,tweedie,osi_target_t48h,1,0.002325234259337181,0.0005579325088141296,4512,72.0,,,,,
base,R_t,tweedie,osi_target_t48h,2,0.005520265881972537,0.0008135270420444802,4608,97.0,,,,,
base,R_t,tweedie,osi_target_t48h,3,0.002195847709386829,0.0006060551492822838,4608,27.0,,,,,
base,R_t,tweedie,osi_target_t48h,4,0.003351180361294348,0.0005807092186439325,4608,148.0,,,,,
base,R_t,hurdle,osi_target_t01h,0,0.002341403311569922,0.0006423341145981953,6864,,,182.0,230.0,13511.0,3367.0
