horizon,feature_set,component,candidate,key,rmse,mae,n,r2,prediction_mean,prediction_max,prediction_zero_pct,rmse_change_vs_E0_pct
osi_target_t06h,profile,R_t,tweedie,profile__R_t__tweedie__osi_target_t06h,0.010515640074496613,0.003408862912401407,32982,0.7001555612067497,0.004864699101374621,0.2576395953151848,47.062033836638165,0.029282771253535955
osi_target_t06h,profile,R_t,hurdle,profile__R_t__hurdle__osi_target_t06h,0.010514323202312392,0.0034118400342016456,32982,0.700230655461462,0.004874209698848012,0.2577917581175636,47.00139470013947,0.016756117701710593
osi_target_t24h,base,P_t,huber,base__P_t__huber__osi_target_t24h,0.008372823768376926,0.0029248130640176667,28680,0.48607822648387855,0.003075882620338982,0.12131757109497565,42.62900976290098,0.0
osi_target_t24h,base,P_t,l2,base__P_t__l2__osi_target_t24h,0.008372823768376926,0.0029248130640176667,28680,0.48607822648387855,0.003075882620338982,0.12131757109497565,42.62900976290098,0.0
osi_target_t24h,base,P_t,weighted_l2,base__P_t__weighted_l2__osi_target_t24h,0.008561543272928582,0.003240620795409286,28680,0.4626500291288239,0.0035900244555103476,0.12546202435826403,40.1255230125523,2.253952904925871
osi_target_t24h,base,N_t,huber,base__N_t__huber__osi_target_t24h,0.008372823768376926,0.0029248130640176667,28680,0.48607822648387855,0.003075882620338982,0.12131757109497565,42.62900976290098,0.0
osi_target_t24h,base,N_t,tweedie,base__N_t__tweedie__osi_target_t24h,0.008385274959479798,0.002872323426126055,28680,0.48454858814245083,0.002973919887527109,0.12134504252424973,43.81450488145049,0.14870958051091954
osi_target_t24h,base,N_t,hurdle,base__N_t__hurdle__osi_target_t24h,0.008395790995320297,0.0028658860322537,28680,0.48325491453114244,0.002951194496715402,0.12135623123807346,44.034170153417016,0.27430682382345584
osi_target_t24h,base,D_t,huber,base__D_t__huber__osi_target_t24h,0.008372823768376926,0.0029248130640176667,28680,0.48607822648387855,0.003075882620338982,0.12131757109497565,42.62900976290098,0.0
osi_target_t24h,base,D_t,l2,base__D_t__l2__osi_target_t24h,0.008372823768376926,0.0029248130640176667,28680,0.48607822648387855,0.003075882620338982,0.12131757109497565,42.62900976290098,0.0
osi_target_t24h,base,D_t,weighted_l2,base__D_t__weighted_l2__osi_target_t24h,0.008485223678318153,0.003097549829209201,28680,0.4721874554560317,0.00333341250046249,0.12393570850798094,42.15481171548117,1.3424373073006368
osi_target_t24h,base,R_t,huber,base__R_t__huber__osi_target_t24h,0.008372823768376926,0.0029248130640176667,28680,0.48607822648387855,0.003075882620338982,0.12131757109497565,42.62900976290098,0.0
osi_target_t24h,base,R_t,tweedie,base__R_t__tweedie__osi_target_t24h,0.008367997134025156,0.0029389138513111657,28680,0.48667057085688237,0.0031013346887614444,0.12134283903376612,42.26638772663877,-0.05764643428899374
osi_target_t24h,base,R_t,hurdle,base__R_t__hurdle__osi_target_t24h,0.008370422986922402,0.002939712824898372,28680,0.48637290292954705,0.003103710602820293,0.12133149477547117,42.21408647140865,-0.02867349798513219
osi_target_t24h,profile,P_t,huber,profile__P_t__huber__osi_target_t24h,0.008482103968671507,0.0029599715551901625,28680,0.4725754992478305,0.0031128050667904696,0.12309004660399306,41.92817294281729,1.3051773609199513
osi_target_t24h,profile,P_t,l2,profile__P_t__l2__osi_target_t24h,0.008482103968671507,0.0029599715551901625,28680,0.4725754992478305,0.0031128050667904696,0.12309004660399306,41.92817294281729,1.3051773609199513
osi_target_t24h,profile,P_t,weighted_l2,profile__P_t__weighted_l2__osi_target_t24h,0.008710224675928534,0.003472876288490191,28680,0.4438245272741599,0.0038088303115091046,0.12582342175098363,29.808228730822872,4.029714668376605
osi_target_t24h,profile,N_t,huber,profile__N_t__huber__osi_target_t24h,0.008377505358860022,0.0029263746567817907,28680,0.4855033561678834,0.003074730144173345,0.12140470939269717,42.58716875871688,0.055914117060207325
osi_target_t24h,profile,N_t,tweedie,profile__N_t__tweedie__osi_target_t24h,0.008387932516673016,0.002871129564256513,28680,0.48422181086039673,0.0029706384907535817,0.12135099356356066,43.831938633193865,0.18044985436280747
osi_target_t24h,profile,N_t,hurdle,profile__N_t__hurdle__osi_target_t24h,0.008397325786509478,0.0028679567398025305,28680,0.48306597026239007,0.00295759830259661,0.12134231429751093,43.87029288702929,0.29263745195609037
osi_target_t24h,profile,D_t,huber,profile__D_t__huber__osi_target_t24h,0.008427468965045471,0.0028975747333636675,28680,0.4793481196250612,0.003039707670185168,0.12040147231819488,42.350069735006976,0.65264955026203
osi_target_t24h,profile,D_t,l2,profile__D_t__l2__osi_target_t24h,0.008427468965045471,0.0028975747333636675,28680,0.4793481196250612,0.003039707670185168,0.12040147231819488,42.350069735006976,0.65264955026203
osi_target_t24h,profile,D_t,weighted_l2,profile__D_t__weighted_l2__osi_target_t24h,0.008499141187515075,0.0029636615073690372,28680,0.4704545935866621,0.0032190404651513413,0.1248829405334405,40.554393305439326,1.5086597142439873
osi_target_t24h,profile,R_t,huber,profile__R_t__huber__osi_target_t24h,0.008372164982760468,0.0029251560112987358,28680,0.4861590954863525,0.00307604137143492,0.12125396960506542,42.642956764295675,-0.007868141438094334
osi_target_t24h,profile,R_t,tweedie,profile__R_t__tweedie__osi_target_t24h,0.008371635859804927,0.0029407917709057363,28680,0.4862240431855517,0.003103017317895988,0.121340795065892,42.25244072524407,-0.014187669594634134
osi_target_t24h,profile,R_t,hurdle,profile__R_t__hurdle__osi_target_t24h,0.008367389201949287,0.0029394899672500656,28680,0.48674515455584855,0.0031037905172532267,0.12133925926551027,42.22803347280335,-0.0649072114495608
osi_target_t48h,base,P_t,huber,base__P_t__huber__osi_target_t48h,0.007593428433818521,0.0023066625802577725,22944,0.37699845446964386,0.002066386768712737,0.061932949881020403,46.71373779637378,0.0
osi_target_t48h,base,P_t,l2,base__P_t__l2__osi_target_t48h,0.007593428433818521,0.0023066625802577725,22944,0.37699845446964386,0.002066386768712737,0.061932949881020403,46.71373779637378,0.0
osi_target_t48h,base,P_t,weighted_l2,base__P_t__weighted_l2__osi_target_t48h,0.007694143880595145,0.002717689522149378,22944,0.36036249231623574,0.0026515887241872578,0.06292710826714265,33.49459553695955,1.3263501151610457
osi_target_t48h,base,N_t,huber,base__N_t__huber__osi_target_t48h,0.007593428433818521,0.0023066625802577725,22944,0.37699845446964386,0.002066386768712737,0.061932949881020403,46.71373779637378,0.0
osi_target_t48h,base,N_t,tweedie,base__N_t__tweedie__osi_target_t48h,0.007605062620514154,0.0022629831345239108,22944,0.37508794226402753,0.0019852774935528385,0.06218159225047259,48.2784170153417,0.1532138848351794
osi_target_t48h,base,N_t,hurdle,base__N_t__hurdle__osi_target_t48h,0.0076060699525902845,0.002260355083122767,22944,0.37492238527077504,0.0019777879177755916,0.06177393769934513,48.02126917712692,0.16647972496142138
osi_target_t48h,base,D_t,huber,base__D_t__huber__osi_target_t48h,0.007593428433818521,0.0023066625802577725,22944,0.37699845446964386,0.002066386768712737,0.061932949881020403,46.71373779637378,0.0
osi_target_t48h,base,D_t,l2,base__D_t__l2__osi_target_t48h,0.007593428433818521,0.0023066625802577725,22944,0.37699845446964386,0.002066386768712737,0.061932949881020403,46.71373779637378,0.0
osi_target_t48h,base,D_t,weighted_l2,base__D_t__weighted_l2__osi_target_t48h,0.0076326984714521345,0.0024801454621339817,22944,0.3705379850019519,0.002340434914197166,0.06316466791552916,36.21426080892608,0.5171581977215789
osi_target_t48h,base,R_t,huber,base__R_t__huber__osi_target_t48h,0.007593428433818521,0.0023066625802577725,22944,0.37699845446964386,0.002066386768712737,0.061932949881020403,46.71373779637378,0.0
osi_target_t48h,base,R_t,tweedie,base__R_t__tweedie__osi_target_t48h,0.0075933768595238295,0.0023209817953207985,22944,0.3770069172493926,0.0020898567944410396,0.06239238178410124,46.22995118549512,-0.0006791964280883356
osi_target_t48h,base,R_t,hurdle,base__R_t__hurdle__osi_target_t48h,0.007592908761336317,0.0023218529772275676,22944,0.3770837244327211,0.0020917024513388586,0.06225349433347234,46.29968619246862,-0.006843713438975385
osi_target_t48h,profile,P_t,huber,profile__P_t__huber__osi_target_t48h,0.007656970822024628,0.0023042604603024162,22944,0.3665281800874304,0.0020287904930322014,0.05795014765714693,45.650278940027896,0.8368076259613
osi_target_t48h,profile,P_t,l2,profile__P_t__l2__osi_target_t48h,0.007656970822024628,0.0023042604603024162,22944,0.3665281800874304,0.0020287904930322014,0.05795014765714693,45.650278940027896,0.8368076259613
osi_target_t48h,profile,P_t,weighted_l2,profile__P_t__weighted_l2__osi_target_t48h,0.007700135609802551,0.0026071405729016185,22944,0.35936588318898266,0.0025375608453651914,0.05855384317697994,33.43793584379359,1.4052568864518777
osi_target_t48h,profile,N_t,huber,profile__N_t__huber__osi_target_t48h,0.007595166329262224,0.0023034382651935885,22944,0.37671325116364374,0.0020624341440568625,0.0617685330693103,46.56555090655509,0.022886835094970692
osi_target_t48h,profile,N_t,tweedie,profile__N_t__tweedie__osi_target_t48h,0.007610512884472053,0.0022625380136058323,22944,0.37419191910458616,0.0019853982810191942,0.06131792376911808,48.12587168758717,0.22498994758999302
osi_target_t48h,profile,N_t,hurdle,profile__N_t__hurdle__osi_target_t48h,0.00760981297039751,0.0022608250188764357,22944,0.3743070208721456,0.0019775942531923573,0.06164858578156063,48.06049511854951,0.21577258180267567
osi_target_t48h,profile,D_t,huber,profile__D_t__huber__osi_target_t48h,0.0076462505268154925,0.0023095593825018853,22944,0.3683007481519327,0.0020413298976195496,0.05965935191648277,44.63476290097629,0.6956290357820416
osi_target_t48h,profile,D_t,l2,profile__D_t__l2__osi_target_t48h,0.0076462505268154925,0.0023095593825018853,22944,0.3683007481519327,0.0020413298976195496,0.05965935191648277,44.63476290097629,0.6956290357820416
osi_target_t48h,profile,D_t,weighted_l2,profile__D_t__weighted_l2__osi_target_t48h,0.007645988582900687,0.0024005149623433815,22944,0.36834402869580485,0.0022289609666231564,0.06084009872848946,41.85407949790795,0.6921794225132949
osi_target_t48h,profile,R_t,huber,profile__R_t__huber__osi_target_t48h,0.007594048604522224,0.0023071131432845474,22944,0.37689668671402,0.002066882334498492,0.062055766662467565,46.80962343096235,0.008167202853193167
osi_target_t48h,profile,R_t,tweedie,profile__R_t__tweedie__osi_target_t48h,0.007593087472893407,0.0023224065031293537,22944,0.3770544013758743,0.002092330355511359,0.06256433025046032,46.15585774058577,-0.004490210556218344
osi_target_t48h,profile,R_t,hurdle,profile__R_t__hurdle__osi_target_t48h,0.007591376001408251,0.00232060523634693,22944,0.3773351918916883,0.002090832514737974,0.062368074966302915,46.35634588563459,-0.027029061090899642
