model,horizon,rmse,mae,n,r2,prediction_mean,prediction_max,prediction_zero_pct,family,mask,components_replaced
E3_subset_1101,osi_target_t24h,0.008490826360629691,0.0029174298030118827,28680,0.47149020988931356,0.0030314687344387137,0.12314515724311269,43.0718270571827,E3,1101,P_t+N_t+R_t
E3_subset_1110,osi_target_t24h,0.008591796018439714,0.0028887698179027956,28680,0.4588458006750207,0.002967919063987529,0.1222073702957973,43.97838214783821,E3,1110,P_t+N_t+D_t
E3_subset_1111,osi_target_t24h,0.008583942859525412,0.002901655996975735,28680,0.45983461086251143,0.0029947179251444064,0.12222905846633192,43.60529986052998,E3,1111,P_t+N_t+D_t+R_t
E3_subset_0000,osi_target_t48h,0.007593428433818521,0.0023066625802577725,22944,0.37699845446964386,0.002066386768712737,0.061932949881020403,46.71373779637378,E3,0000,none
E3_subset_0001,osi_target_t48h,0.007591376001408251,0.00232060523634693,22944,0.3773351918916883,0.002090832514737974,0.062368074966302915,46.35634588563459,E3,0001,R_t
E3_subset_0010,osi_target_t48h,0.007645988582900687,0.0024005149623433815,22944,0.36834402869580485,0.0022289609666231564,0.06084009872848946,41.85407949790795,E3,0010,D_t
E3_subset_0011,osi_target_t48h,0.0076446473703221446,0.0024168038696511063,22944,0.36856561171828484,0.0022558198978126645,0.060924677160388185,41.40951882845189,E3,0011,D_t+R_t
E3_subset_0100,osi_target_t48h,0.00760981297039751,0.0022608250188764357,22944,0.3743070208721456,0.0019775942531923573,0.06164858578156063,48.06049511854951,E3,0100,N_t
E3_subset_0101,osi_target_t48h,0.007606511456064266,0.00227366477909132,22944,0.37484981640150317,0.002002044042729195,0.06208371086684314,47.66387726638773,E3,0101,N_t+R_t
E3_subset_0110,osi_target_t48h,0.0076580789588735045,0.002344330808882054,22944,0.3663448114215687,0.0021338513850095806,0.0591816236566795,43.38389121338912,E3,0110,N_t+D_t
E3_subset_0111,osi_target_t48h,0.007655635215723993,0.002359430112406913,22944,0.36674915393822893,0.0021602281388355474,0.05961674874196201,42.95240585774059,E3,0111,N_t+D_t+R_t
E3_subset_1000,osi_target_t48h,0.007656970822024628,0.0023042604603024162,22944,0.3665281800874304,0.0020287904930322014,0.05795014765714693,45.650278940027896,E3,1000,P_t
E3_subset_1001,osi_target_t48h,0.007654023494705486,0.0023186189690189963,22944,0.3670157591865719,0.002054342518709781,0.05817658915011412,45.17956764295676,E3,1001,P_t+R_t
E3_subset_1010,osi_target_t48h,0.007735082407975278,0.002404648316133433,22944,0.3535376962186344,0.0021814170677258477,0.05692097615054193,44.30352161785216,E3,1010,P_t+D_t
E3_subset_1011,osi_target_t48h,0.007733303319693009,0.0024195514870702776,22944,0.3538350379105366,0.0022067864613755186,0.05700555458244066,43.976638772663875,E3,1011,P_t+D_t+R_t
E3_subset_1100,osi_target_t48h,0.007674650840216606,0.0022576607070396403,22944,0.3635994178457508,0.0019399783431087497,0.05767021856422609,46.97960251046025,E3,1100,P_t+N_t
E3_subset_1101,osi_target_t48h,0.007671150240251615,0.002270544933909471,22944,0.3641798418488871,0.0019647025295240913,0.05789666005719329,46.54811715481171,E3,1101,P_t+N_t+R_t
E3_subset_1110,osi_target_t48h,0.007750405921968942,0.0023510043267030017,22944,0.3509738227382996,0.0020884625951316754,0.0548141217452367,45.767956764295675,E3,1110,P_t+N_t+D_t
E3_subset_1111,osi_target_t48h,0.00774770820201748,0.002366630574453262,22944,0.3514255632444533,0.0021143741927035745,0.054898700177135426,45.34954672245467,E3,1111,P_t+N_t+D_t+R_t
E2_profile_huber_all,osi_target_t01h,0.011957055540273829,0.0036023947164733135,34177,0.7243441945635581,0.005716758322680152,0.30192190279859404,47.13696345495509,E2,1111,P_t+N_t+D_t+R_t
E2_profile_huber_all,osi_target_t06h,0.010461012289881028,0.0034600160972288836,32982,0.7032627979377823,0.004942354228041794,0.26658980304577384,40.710084288399734,E2,1111,P_t+N_t+D_t+R_t
E2_profile_huber_all,osi_target_t24h,0.00857833808427345,0.002945109333392343,28680,0.46053976868312596,0.0030736071564289535,0.12219748463502357,42.56276150627615,E2,1111,P_t+N_t+D_t+R_t
E2_profile_huber_all,osi_target_t48h,0.007729676596327991,0.0023075468375261523,22944,0.35444096579329354,0.001995842338720016,0.05569292893471417,44.57810320781032,E2,1111,P_t+N_t+D_t+R_t
