model,horizon,severity,rmse,mae,n,r2,prediction_mean,prediction_max,prediction_zero_pct
V19_best_by_horizon,osi_target_t06h,0.001_0.01,0.006020416402385985,0.003582373174138469,6529,-5.220981343374627,0.0055901042477462795,0.0719099293097428,8.454587226221474
V19_best_by_horizon,osi_target_t06h,0.01_0.05,0.01535992916106435,0.01152533657164266,2435,-1.1262382284803802,0.015753598167888447,0.11307558588495185,1.0266940451745379
V19_best_by_horizon,osi_target_t06h,ge_0.05,0.058305390424876424,0.040633892037307384,741,0.0790689828128539,0.07651132909024097,0.27330678533015684,0.8097165991902834
V19_best_by_horizon,osi_target_t24h,lt_0.001,0.0024049934191717813,0.0011893962019562472,21007,-132.19989517771916,0.0012351333371968813,0.02171064058583226,56.27647926881516
V19_best_by_horizon,osi_target_t24h,0.001_0.01,0.005308398337849395,0.0034647070251545187,5585,-3.913488753581765,0.005386335068548595,0.03765240907454622,9.042076991942704
V19_best_by_horizon,osi_target_t24h,0.01_0.05,0.014612064128688235,0.011430315653810343,1776,-1.1220994856629956,0.01183621426631847,0.07678069654676656,1.6328828828828827
V19_best_by_horizon,osi_target_t24h,ge_0.05,0.06524384957516266,0.052547152813808964,312,-2.0278226122958682,0.04268430700067401,0.13347403599068747,1.9230769230769231
V19_best_by_horizon,osi_target_t48h,lt_0.001,0.002177642772871676,0.0010680731855306875,17970,-114.84037919057583,0.001100109913410487,0.023148336734872738,56.021146355036166
V19_best_by_horizon,osi_target_t48h,0.001_0.01,0.004468283098579011,0.0029711832002331925,3828,-2.693413811955983,0.004030026155258763,0.028835575400637036,13.479623824451412
V19_best_by_horizon,osi_target_t48h,0.01_0.05,0.015615345379840814,0.012596535888697672,994,-1.4199986756994716,0.008782586908179506,0.05940211912926474,4.7283702213279675
V19_best_by_horizon,osi_target_t48h,ge_0.05,0.07772333604697926,0.0668160883874958,152,-1.9513627038642087,0.026620095823030532,0.062368074966302915,3.9473684210526314
