model,horizon,severity,rmse,mae,n,r2,prediction_mean,prediction_max,prediction_zero_pct
E3_aligned,osi_target_t24h,0.001_0.01,0.005150485487408528,0.0033767353322817256,5585,-3.6255064712828142,0.005279289098723351,0.037843872282436845,8.612354521038496
E3_aligned,osi_target_t24h,0.01_0.05,0.01461608915265871,0.011470665351165737,1776,-1.1232687493123774,0.011652502838252863,0.0752242168556141,1.3513513513513513
E3_aligned,osi_target_t24h,ge_0.05,0.06585765859555354,0.053082383926793715,312,-2.085061637202743,0.042188677199079545,0.13060398780968957,1.9230769230769231
E3_aligned,osi_target_t48h,lt_0.001,0.0020864639714832586,0.0010581430385541398,17970,-105.34289365849149,0.0010961563941467942,0.021054233863195274,55.84307178631052
E3_aligned,osi_target_t48h,0.001_0.01,0.004437256605391302,0.002937997212705162,3828,-2.6422998503194446,0.004393659912479446,0.028203373449103182,11.389759665621735
E3_aligned,osi_target_t48h,0.01_0.05,0.015106036143789471,0.011940487132482525,994,-1.2647119855609383,0.009232464935665452,0.04775002187308521,2.414486921529175
E3_aligned,osi_target_t48h,ge_0.05,0.08011621058293962,0.06858665501444468,152,-2.1358878132577117,0.02484952919608165,0.049214771784270535,3.9473684210526314
V18_current_rule,osi_target_t01h,lt_0.001,0.0023265976141727766,0.0011254431792892341,23816,-122.7131230618857,0.0011665541970923917,0.02343550810649563,57.81407457171649
V18_current_rule,osi_target_t01h,0.001_0.01,0.006014118266619779,0.003598970551046578,6769,-5.15882724064289,0.005569586265743414,0.06681102667905356,9.21849608509381
V18_current_rule,osi_target_t01h,0.01_0.05,0.01581963473256895,0.011666076874313886,2641,-1.1580717768773123,0.016966423058332725,0.13829794484514585,1.1737978038621735
V18_current_rule,osi_target_t01h,ge_0.05,0.06174058621351865,0.039665586649732215,951,0.24634044676511757,0.08547627833638408,0.2926764026968674,0.6309148264984227
V18_current_rule,osi_target_t06h,lt_0.001,0.002330827849243401,0.0011294214128826283,23277,-123.4413449570558,0.0011715917956639146,0.02343550810649563,57.57614812905443
V18_current_rule,osi_target_t06h,0.001_0.01,0.0059464475059290665,0.003581359208402078,6529,-5.069054214740574,0.005505154552368541,0.06681102667905356,9.358247817429929
V18_current_rule,osi_target_t06h,0.01_0.05,0.015680499056383513,0.011750759128640684,2435,-1.215915820035887,0.015714665438911476,0.11923228318828492,1.273100616016427
V18_current_rule,osi_target_t06h,ge_0.05,0.05874338787632735,0.04127441693635241,741,0.0651807127376336,0.07628568924072121,0.2724774255106815,0.8097165991902834
V18_current_rule,osi_target_t24h,lt_0.001,0.0024655270960190277,0.0012915390070088399,21007,-138.98956303084506,0.001329850046186257,0.02300620194301357,55.18160613128957
V18_current_rule,osi_target_t24h,0.001_0.01,0.005053888568710253,0.003343531774211239,5585,-3.4536315150826002,0.00499589949423621,0.030707061488371556,10.581915846016114
V18_current_rule,osi_target_t24h,0.01_0.05,0.015179916858292623,0.012055225250244838,1776,-1.2902420632876468,0.010789498348932908,0.09158391813809054,2.027027027027027
V18_current_rule,osi_target_t24h,ge_0.05,0.06531471182791375,0.05342491587303645,312,-2.0344033045766023,0.042358672718183395,0.12131757109497565,2.2435897435897436
V18_current_rule,osi_target_t48h,lt_0.001,0.002150194690162134,0.001050855968328026,17970,-111.93856466979823,0.0010820913606485604,0.022907799477709535,56.449638286032275
V18_current_rule,osi_target_t48h,0.001_0.01,0.004433606430343148,0.0029536634219885977,3828,-2.6363098592798333,0.003985659946960478,0.028424875468426584,13.662486938349009
V18_current_rule,osi_target_t48h,0.01_0.05,0.015651158928630872,0.01263405441301692,994,-1.4311118627894164,0.00873430665814308,0.05918885925226993,4.527162977867203
V18_current_rule,osi_target_t48h,ge_0.05,0.07784675099364101,0.06694283437281927,152,-1.9607429357179904,0.02649334983770704,0.061932949881020403,3.9473684210526314
V19_best_by_horizon,osi_target_t01h,lt_0.001,0.002468191685164728,0.0012013644172266926,23816,-138.2294102597489,0.0012463887706025743,0.023488873164060516,56.7979509573396
V19_best_by_horizon,osi_target_t01h,0.001_0.01,0.006161790517088896,0.003696059525503599,6769,-5.464991416675474,0.0057466734329271844,0.0722631338754168,8.89348500517063
V19_best_by_horizon,osi_target_t01h,0.01_0.05,0.015430213981061218,0.01142115211675139,2641,-1.0531320350139532,0.017067699443382676,0.13103649057639705,1.1737978038621735
V19_best_by_horizon,osi_target_t01h,ge_0.05,0.061342987139821475,0.03916048103862814,951,0.2560160749569056,0.08530943581548611,0.31542849066124673,0.6309148264984227
V19_best_by_horizon,osi_target_t06h,lt_0.001,0.002412309487716838,0.0011978147183580967,23277,-132.2939227634143,0.001244882639481953,0.03289436705940099,54.08772608153972
