split_seed,horizon,scenario,group_type,group,fipsCode,countyName,stateAbbr,fold,n,rmse,mae,sse,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
20260917,1,O_N_all,county,39077,39077,Huron County,OH,3.0,143,0.003912213460175098,0.0024558882482094437,0.002188674224590456,0.0022250510933183648,0.00406854279301797,-0.00015632933284287238,-3.8423912637996382,0.00017841056099198544
20260917,1,O_N_all,county,39081,39081,Jefferson County,OH,3.0,143,0.00921092953694596,0.004747500002817595,0.012132294879645438,-0.0019974105400377053,0.009191572332932593,1.9357204013366325e-05,0.21059730927657228,-5.0939600576378405e-05
20260917,1,O_N_all,county,39085,39085,Lake County,OH,4.0,143,0.002615885950438796,0.001356268681485805,0.0009785288807155404,-0.0005903469377090597,0.0026962567842054135,-8.037083376661756e-05,-2.9808300988773517,6.105261171590105e-05
20260917,1,O_N_all,county,39087,39087,Lawrence County,OH,2.0,143,0.0029354914515259986,0.0010752865667804084,0.0012322467388634563,0.0002459794189713719,0.003601734788547931,-0.0006662433370219325,-18.497845514342657,0.0006228198297827496
20260917,1,O_N_all,county,39089,39089,Licking County,OH,0.0,143,0.01987217233992136,0.008582619908363258,0.05647116239157759,-0.008397903359438701,0.020553218840010105,-0.0006810465000887458,-3.3135758704762153,0.003937014678426935
20260917,1,O_N_all,county,39091,39091,Logan County,OH,1.0,143,0.027818246700029258,0.01562425733482009,0.1106612434733075,0.015618662929225683,0.028265721803240974,-0.0004474751032117162,-1.5831016321699143,0.0035887536820168597
20260917,1,O_N_all,county,39093,39093,Lorain County,OH,1.0,143,0.002045131071357608,0.001072883300755339,0.0005981062371616216,8.319625278558959e-05,0.0020834631374549253,-3.833206609731715e-05,-1.8398245406032077,2.263082909247213e-05
20260917,1,O_N_all,county,39095,39095,Lucas County,OH,2.0,143,0.0009036639940549092,0.0005607609603820172,0.00011677503182363173,-0.00016690367535141844,0.0009459067244114285,-4.224273035651925e-05,-4.4658452325522795,1.117272115037468e-05
20260917,1,O_N_all,county,39097,39097,Madison County,OH,2.0,143,0.009200574789305156,0.0035914565985262835,0.012105032432864454,0.0007819689521664102,0.008684921749725596,0.0005156530395795597,5.937336621321343,-0.0013188476236279459
20260917,1,O_N_all,county,39099,39099,Mahoning County,OH,3.0,143,0.0016091362110435701,0.000860670395884476,0.00037027266643390697,0.0004725004565657818,0.0019009722698992385,-0.00029183605885566835,-15.351936662976007,0.00014648580020849156
20260917,1,O_N_all,county,39101,39101,Marion County,OH,0.0,143,0.006659079498700178,0.0049299243947733135,0.006341097587111287,-0.0036553389817062646,0.006875820213606949,-0.00021674071490677092,-3.1522161454694553,0.0004194996290966769
20260917,1,O_N_all,county,39103,39103,Medina County,OH,2.0,143,0.008056657066400992,0.00540929826191419,0.009282090401239236,0.00525433279337391,0.008231773920203127,-0.00017511685380213436,-2.1273282709131203,0.00040789016664786147
20260917,1,O_N_all,county,39105,39105,Meigs County,OH,2.0,143,0.003181626989647534,0.0014886979243525843,0.001447553293079269,-0.00023723662975253502,0.003486731247989565,-0.000305104258342031,-8.750438064819388,0.00029093986270681315
20260917,1,O_N_all,county,39107,39107,Mercer County,OH,1.0,143,0.02313858316700889,0.011622157679440543,0.07656134642965196,0.011592787050069914,0.02245544450696605,0.0006831386600428396,3.042196113423268,-0.00445402714487525
20260917,1,O_N_all,county,39109,39109,Miami County,OH,3.0,143,0.002532446339645385,0.001647886271520438,0.0009170996782352133,0.0015175790984519948,0.002632542594885284,-0.00010009625523989913,-3.802265362557633,7.393043525039057e-05
20260917,1,O_N_all,county,39111,39111,Monroe County,OH,4.0,143,0.018345368716073413,0.01047032474712593,0.04812701512600196,0.010067584476643007,0.018566033771828694,-0.0002206650557552807,-1.1885417126091258,0.0011647431063838073
20260917,1,O_N_all,county,39113,39113,Montgomery County,OH,2.0,143,0.001259700300702383,0.0007618679838121205,0.00022691881320532344,-0.0007115736864169459,0.0013522729540802224,-9.257265337783943e-05,-6.845707673034451,3.4577013148846206e-05
20260917,1,O_N_all,county,39115,39115,Morgan County,OH,0.0,143,0.0236815224202096,0.005919046136589116,0.08019647409186124,-0.005731114389801861,0.03175474218515939,-0.00807321976494979,-25.423666543647194,0.06399952803630836
20260917,1,O_N_all,county,39117,39117,Morrow County,OH,4.0,143,0.015507381822835791,0.0087961150833893,0.03438848141288817,-0.005520798442191949,0.01614058285630621,-0.000633201033470419,-3.9230369752293326,0.0028656519237157327
20260917,1,O_N_all,county,39119,39119,Muskingum County,OH,3.0,143,0.00708366875214786,0.004504907294908398,0.00717550590759231,0.00413328917381965,0.007209478080776411,-0.00012580932862855075,-1.745054596448703,0.0002571442026066467
20260917,1,O_N_all,county,39121,39121,Noble County,OH,0.0,143,0.00770448277669301,0.0043657693240563575,0.008488344844459369,-0.00340150692360845,0.0076951262221897606,9.356554503249168e-06,0.12159065664534285,-2.060448117252589e-05
20260917,1,O_N_all,county,39123,39123,Ottawa County,OH,1.0,143,0.0012351087533026856,0.0005948887856989121,0.00021814558944534282,0.00037302363203952884,0.0015392068510369076,-0.000304098097734222,-19.756805105783037,0.00012064396598454751
20260917,1,O_N_all,county,39125,39125,Paulding County,OH,2.0,143,0.017281350986851032,0.00892623832502654,0.04270624814609543,0.0021296896571158684,0.018406129249067572,-0.00112477826221654,-6.110889731329683,0.005740091786378021
20260917,1,O_N_all,county,39127,39127,Perry County,OH,4.0,143,0.011938919456881887,0.007424357672638906,0.02038290508510154,0.007191817205758311,0.011987905566551675,-4.8986109669788e-05,-0.4086294256977485,0.00016760773667463466
20260917,1,O_N_all,county,39129,39129,Pickaway County,OH,2.0,143,0.0008841435457617583,0.00041771423825224694,0.00011178450276024096,-0.00022337055881833159,0.0009145830072406266,-3.04394614788683e-05,-3.3282338768469644,7.82957426982208e-06
